ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Nombre,Descripcion,Frecuencia,Intervalo,DiaDelMes,MesDelAño,DiaSemana,FechaInicio,FechaFin,Activa,Prioridad,DiasAnticipacionAviso,UltimaGeneracion,FechaCreacion,FechaActualizacion
812fde8d,Cat0002,17439460,,,,,Pólizas Corredor,Renovar y enviar pólizas de corredor a la CMF,Anual,1,,4,,1/1/2025,,TRUE,Alta,30,1/4/2026,9/4/2026 15:18:32,9/4/2026 15:18:32
b9f0045e,Cat0002,17439460,,,,,FECU,Solicitar FECU a las Compañías y enviar a la CMF,Anual,1,,2,,1/1/2025,,TRUE,Alta,30,1/2/2026,9/4/2026 16:13:26,9/4/2026 16:13:26
bb67619e,Cat0010,Prv0001,,,,,Impuestos,Declaración de Impuestos a la Renta,Anual,1,,4,,1/1/2025,,TRUE,Alta,30,1/4/2026,9/4/2026 16:14:55,9/4/2026 16:14:55
25263faa,Cat0010,Prv0001,,,,,IVA,Declarar y pagar IVA mensual,Mensual,1,20,,,1/1/2025,,TRUE,Alta,15,20/5/2026,9/4/2026 16:15:57,9/4/2026 16:15:57
985b0b0f,Cat0005,835a22d1,,,,,Patente Comercial,Pagar patente,Mensual,6,10,2,,1/1/2026,,TRUE,Alta,30,1/1/2026,9/4/2026 16:17:51,9/4/2025 16:17:51
a65425da,Cat0007,e3fc465b,,,,,Arriendo Comercial,Pagar arriendo comercial Cowork,Anual,1,,7,,1/1/2025,,TRUE,Media,30,1/1/2026,9/4/2026 16:19:08,9/4/2026 16:19:08
1fd3cba0,Cat0007,f9868661,,,,,Servicios Web,Pagar servicios de correos en google y de host,Mensual,1,28,,,1/1/2025,,TRUE,Media,5,28/4/2026,9/4/2026 16:24:08,9/4/2026 16:24:08
985cf347,Cat0006,,,,,,Cobranza,Realizar cobranza,Semanal,1,,,Miércoles,9/4/2025,,TRUE,Media,3,13/5/2026,9/4/2026 17:24:57,9/4/2026 17:24:57
7075efec,Cat0006,,,,,,Revisar Prospectos,,Diaria,1,,,,8/4/2026,,TRUE,Baja,0,14/5/2026,9/4/2026 17:32:54,9/4/2026 17:32:54
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,,,,,
