ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
a6e9fd63,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,10/4/2026 16:18:15,10/4/2026 16:18:15
432dc1e2,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,10/4/2026 16:18:15,10/4/2026 16:18:15
7efecae0,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,10/4/2026 16:18:15,10/4/2026 16:18:15
1e0b8507,Cat0010,Prv0001,,,,,IVA 20/04/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/4/2026,,20/4/2026,Alta,15,TRUE,FALSE,,10/4/2026 16:18:15,10/4/2026 16:18:15
2545fc50,Cat0006,,,,,,Revisar Prospectos 10/04/26,,Obligación,7075efec,10/4/2026,,10/4/2026,Baja,0,TRUE,FALSE,,10/4/2026 16:18:15,10/4/2026 16:18:15
3b01e4a1,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,28/4/2026 8:00:18,28/4/2026 8:00:18
3f82f844,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,28/4/2026 8:00:18,28/4/2026 8:00:18
a607b2b1,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,28/4/2026 8:00:18,28/4/2026 8:00:18
d24b4d9c,Cat0010,Prv0001,,,,,IVA 20/04/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/4/2026,,20/4/2026,Alta,15,TRUE,FALSE,,28/4/2026 8:00:18,28/4/2026 8:00:18
33164c33,Cat0007,f9868661,,,,,Servicios Web 28/04/26,Pagar servicios de correos en google y de host,Obligación,1fd3cba0,28/4/2026,,28/4/2026,Media,5,TRUE,FALSE,,28/4/2026 8:00:18,28/4/2026 8:00:18
