ID,Fecha,Valor
UF0001,1/1/2026,"$39.731,79"
UF0002,2/1/2026,"39.735,63"
UF0003,3/1/2026,"39.739,47"
UF0004,4/1/2026,"39.743,31"
UF0005,5/1/2026,"39.747,15"
UF0006,6/1/2026,"39.751,00"
UF0007,7/1/2026,"39.754,84"
UF0008,8/1/2026,"39.758,68"
UF0009,9/1/2026,"39.762,52"
UF0010,10/1/2026,"39.759,95"
UF0011,11/1/2026,"39.757,38"
UF0012,12/1/2026,"39.754,82"
UF0013,13/1/2026,"39.752,25"
UF0014,14/1/2026,"39.749,68"
UF0015,15/1/2026,"39.747,12"
UF0016,16/1/2026,"39.744,55"
UF0017,17/1/2026,"39.741,98"
UF0018,18/1/2026,"39.739,42"
UF0019,19/1/2026,"39.736,85"
UF0020,20/1/2026,"39.734,28"
UF0021,21/1/2026,"39.731,72"
UF0022,22/1/2026,"39.729,15"
UF0023,23/1/2026,"39.726,59"
UF0024,24/1/2026,"39.724,02"
UF0025,25/1/2026,"39.721,45"
UF0026,26/1/2026,"39.718,89"
UF0027,27/1/2026,"39.716,32"
UF0028,28/1/2026,"39.713,76"
UF0029,29/1/2026,"39.711,20"
UF0030,30/1/2026,"39.708,63"
UF0031,31/1/2026,"39.706,07"
UF0032,1/2/2026,"39.703,50"
UF0033,2/2/2026,"39.700,94"
UF0034,3/2/2026,"39.698,37"
UF0035,4/2/2026,"39.695,81"
UF0036,5/2/2026,"39.693,25"
UF0037,6/2/2026,"39.690,68"
UF0038,7/2/2026,"39.688,12"
UF0039,8/2/2026,"39.685,56"
UF0040,9/2/2026,"39.682,99"
UF0041,10/2/2026,"39.688,65"
UF0042,11/2/2026,"39.694,31"
UF0043,12/2/2026,"39.699,97"
UF0044,13/2/2026,"39.705,63"
UF0045,14/2/2026,"39.711,29"
UF0046,15/2/2026,"39.716,95"
UF0047,16/2/2026,"39.722,61"
UF0048,17/2/2026,"39.728,28"
UF0049,18/2/2026,"39.733,94"
UF0050,19/2/2026,"39.739,61"
UF0051,20/2/2026,"39.745,27"
UF0052,21/2/2026,"39.750,94"
UF0053,22/2/2026,"39.756,61"
UF0054,23/2/2026,"39.762,28"
UF0055,24/2/2026,"39.767,95"
UF0056,25/2/2026,"39.773,62"
UF0057,26/2/2026,"39.779,29"
UF0058,27/2/2026,"39.784,96"
UF0059,28/2/2026,"39.790,63"
UF0060,1/3/2026,"39.796,31"
UF0061,2/3/2026,"39.801,98"
UF0062,3/3/2026,"39.807,65"
UF0063,4/3/2026,"39.813,33"
UF0064,5/3/2026,"39.819,01"
UF0065,6/3/2026,"39.824,68"
UF0066,7/3/2026,"39.830,36"
UF0067,8/3/2026,"39.836,04"
UF0068,9/3/2026,"39.841,72"
UF0069,10/3/2026,"39.841,72"
UF0070,11/3/2026,"39.841,72"
UF0071,12/3/2026,"39.841,72"
UF0072,13/3/2026,"39.841,72"
UF0073,14/3/2026,"39.841,72"
UF0074,15/3/2026,"39.841,72"
UF0075,16/3/2026,"39.841,72"
UF0076,17/3/2026,"39.841,72"
UF0077,18/3/2026,"39.841,72"
UF0078,19/3/2026,"39.841,72"
UF0079,20/3/2026,"39.841,72"
UF0080,21/3/2026,"39.841,72"
UF0081,22/3/2026,"39.841,72"
UF0082,23/3/2026,"39.841,72"
UF0083,24/3/2026,"39.841,72"
UF0084,25/3/2026,"39.841,72"
UF0085,26/3/2026,"39.841,72"
UF0086,27/3/2026,"39.841,72"
UF0087,28/3/2026,"39.841,72"
UF0088,29/3/2026,"39.841,72"
UF0089,30/3/2026,"39.841,72"
UF0090,31/3/2026,"39.841,72"
UF0091,1/4/2026,"39.841,72"
UF0092,2/4/2026,"39.841,72"
UF0093,3/4/2026,"39.841,72"
UF0094,4/4/2026,"39.841,72"
UF0095,5/4/2026,"39.841,72"
UF0096,6/4/2026,"39.841,72"
UF0097,7/4/2026,"39.841,72"
UF0098,8/4/2026,"39.841,72"
UF0099,9/4/2026,"39.841,72"
UF0100,10/4/2026,"39.854,94"
UF0101,11/4/2026,"39.868,16"
UF0102,12/4/2026,"39.881,38"
