ID,Fecha,Valor
USD001,2/1/2026,"907,13"
USD002,5/1/2026,"901,55"
USD003,6/1/2026,"905,14"
USD004,7/1/2026,"896,82"
USD005,8/1/2026,"895,33"
USD006,9/1/2026,"896,89"
USD007,12/1/2026,"895,54"
USD008,13/1/2026,"885,71"
USD009,14/1/2026,"883,96"
USD010,15/1/2026,"882,74"
USD011,16/1/2026,"884,57"
USD012,19/1/2026,"887,01"
USD013,20/1/2026,"888,66"
USD014,21/1/2026,"889,54"
USD015,22/1/2026,"878,21"
USD016,23/1/2026,"872,22"
USD017,26/1/2026,"870,71"
USD018,27/1/2026,"862,98"
USD019,28/1/2026,"862,17"
USD020,29/1/2026,"857,95"
USD021,30/1/2026,"858,45"
USD022,2/2/2026,"865,1"
USD023,3/2/2026,"868,52"
USD024,4/2/2026,"859,53"
USD025,5/2/2026,"857,59"
USD026,6/2/2026,"865,67"
USD027,9/2/2026,"859,66"
USD028,10/2/2026,"854,25"
USD029,11/2/2026,"856,06"
USD030,12/2/2026,"856,38"
USD031,13/2/2026,"854,41"
USD032,16/2/2026,"863,5"
USD033,17/2/2026,"862,91"
USD034,18/2/2026,"868,24"
USD035,19/2/2026,"863,29"
USD036,20/2/2026,"866,74"
USD037,23/2/2026,"867,13"
USD038,24/2/2026,"867,29"
USD039,25/2/2026,"865,36"
USD040,26/2/2026,"857,58"
USD041,27/2/2026,"861,19"
USD042,2/3/2026,"871,41"
USD043,3/3/2026,"884,21"
USD044,4/3/2026,"906,32"
USD045,5/3/2026,"895,14"
USD046,6/3/2026,"907,66"
USD047,9/3/2026,"921,76"
USD048,10/3/2026,"916,36"
USD049,11/3/2026,"893,69"
USD050,12/3/2026,"895,86"
USD051,13/3/2026,"909,94"
USD052,16/3/2026,"913,98"
USD053,17/3/2026,"909,11"
USD054,18/3/2026,"906,15"
USD055,19/3/2026,"912,41"
USD056,20/3/2026,"920,52"
USD057,23/3/2026,"923,67"
USD058,24/3/2026,"915,15"
USD059,25/3/2026,"915,76"
USD060,26/3/2026,"913,83"
USD061,27/3/2026,"923,25"
USD062,30/3/2026,"929,9"
USD063,31/3/2026,"931,57"
USD064,1/4/2026,"927,46"
USD065,2/4/2026,"915,95"
USD066,6/4/2026,"922,17"
USD067,7/4/2026,"914,47"
USD068,8/4/2026,"922,59"
USD069,9/4/2026,"895,28"
USD070,10/4/2026,"894,17"
USD071,13/4/2026,"890,33"
USD072,14/4/2026,"899,39"
USD073,15/4/2026,"886,97"
USD074,16/4/2026,"886,09"
USD075,17/4/2026,"886,32"
USD076,20/4/2026,"876,32"
USD077,21/4/2026,"881,22"
USD078,22/4/2026,"887,79"
USD079,23/4/2026,"889,87"
USD080,24/4/2026,"892,18"
USD081,27/4/2026,"895,07"
USD082,28/4/2026,"894,18"
USD083,29/4/2026,"896,03"
USD084,30/4/2026,"901,76"
USD085,4/5/2026,"903,05"
USD086,5/5/2026,"910,01"
USD087,6/5/2026,"905,36"
USD088,7/5/2026,"892,83"
USD089,8/5/2026,"887,71"
USD090,11/5/2026,"890,89"
USD091,12/5/2026,"894,25"
USD092,13/5/2026,"899,91"
USD093,14/5/2026,"889,19"
USD094,,
USD095,,
USD096,,
USD097,,
USD098,,
USD099,,
USD100,,
USD101,,
USD102,,
USD103,,
USD104,,
USD105,,
USD106,,
USD107,,
USD108,,
USD109,,
USD110,,
USD111,,
USD112,,
USD113,,
USD114,,
USD115,,
USD116,,
USD117,,
USD118,,
USD119,,
USD120,,
USD121,,
USD122,,
USD123,,
USD124,,
USD125,,
USD126,,
USD127,,
USD128,,
USD129,,
USD130,,
USD131,,
USD132,,
USD133,,
USD134,,
USD135,,
USD136,,
USD137,,
USD138,,
USD139,,
USD140,,
USD141,,
USD142,,
USD143,,
USD144,,
USD145,,
USD146,,
USD147,,
USD148,,
USD149,,
USD150,,
USD151,,
USD152,,
USD153,,
USD154,,
USD155,,
USD156,,
USD157,,
USD158,,
USD159,,
USD160,,
USD161,,
USD162,,
USD163,,
USD164,,
USD165,,
USD166,,
USD167,,
USD168,,
USD169,,
USD170,,
USD171,,
USD172,,
USD173,,
USD174,,
USD175,,
USD176,,
USD177,,
USD178,,
USD179,,
USD180,,
USD181,,
USD182,,
USD183,,
USD184,,
USD185,,
USD186,,
USD187,,
USD188,,
USD189,,
USD190,,
USD191,,
USD192,,
USD193,,
USD194,,
USD195,,
USD196,,
USD197,,
USD198,,
USD199,,
USD200,,
USD201,,
USD202,,
USD203,,
USD204,,
USD205,,
USD206,,
USD207,,
USD208,,
USD209,,
USD210,,
USD211,,
USD212,,
USD213,,
USD214,,
USD215,,
USD216,,
USD217,,
USD218,,
USD219,,
USD220,,
USD221,,
USD222,,
USD223,,
USD224,,
USD225,,
USD226,,
USD227,,
USD228,,
USD229,,
USD230,,
USD231,,
USD232,,
USD233,,
USD234,,
USD235,,
USD236,,
USD237,,
USD238,,
USD239,,
USD240,,
USD241,,
USD242,,
USD243,,
USD244,,
USD245,,
USD246,,
USD247,,
USD248,,
USD249,,
USD250,,
USD251,,
USD252,,
USD253,,
USD254,,
USD255,,
USD256,,
USD257,,
USD258,,
USD259,,
USD260,,
USD261,,
USD262,,
USD263,,
USD264,,
USD265,,
USD266,,
USD267,,
USD268,,
USD269,,
USD270,,
USD271,,
USD272,,
USD273,,
USD274,,
USD275,,
USD276,,
USD277,,
USD278,,
USD279,,
USD280,,
USD281,,
USD282,,
USD283,,
USD284,,
USD285,,
USD286,,
USD287,,
USD288,,
USD289,,
USD290,,
USD291,,
USD292,,
USD293,,
USD294,,
USD295,,
USD296,,
USD297,,
USD298,,
USD299,,
USD300,,
USD301,,
USD302,,
USD303,,
USD304,,
USD305,,
USD306,,
USD307,,
USD308,,
USD309,,
USD310,,
USD311,,
USD312,,
USD313,,
USD314,,
USD315,,
USD316,,
USD317,,
USD318,,
USD319,,
USD320,,
USD321,,
USD322,,
USD323,,
USD324,,
USD325,,
USD326,,
USD327,,
USD328,,
USD329,,
USD330,,
USD331,,
USD332,,
USD333,,
USD334,,
USD335,,
USD336,,
USD337,,
USD338,,
USD339,,
USD340,,
USD341,,
USD342,,
USD343,,
USD344,,
USD345,,
USD346,,
USD347,,
USD348,,
USD349,,
USD350,,
USD351,,
USD352,,
USD353,,
USD354,,
USD355,,
USD356,,
USD357,,
USD358,,
USD359,,
USD360,,
USD361,,
USD362,,
USD363,,
USD364,,
USD365,,
USD366,,
