Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,,,,"927,46",,,,,,,,
2,"907,13","865,1","871,41","915,95",,,,,,,,
3,,"868,52","884,21",,,,,,,,,
4,,"859,53","906,32",,"903,05",,,,,,,
5,"901,55","857,59","895,14",,"910,01",,,,,,,
6,"905,14","865,67","907,66","922,17","905,36",,,,,,,
7,"896,82",,,"914,47","892,83",,,,,,,
8,"895,33",,,"922,59","887,71",,,,,,,
9,"896,89","859,66","921,76","895,28",,,,,,,,
10,,"854,25","916,36","894,17",,,,,,,,
11,,"856,06","893,69",,"890,89",,,,,,,
12,"895,54","856,38","895,86",,"894,25",,,,,,,
13,"885,71","854,41","909,94","890,33","899,91",,,,,,,
14,"883,96",,,"899,39","889,19",,,,,,,
15,"882,74",,,"886,97",,,,,,,,
16,"884,57","863,5","913,98","886,09",,,,,,,,
17,,"862,91","909,11","886,32",,,,,,,,
18,,"868,24","906,15",,,,,,,,,
19,"887,01","863,29","912,41",,,,,,,,,
20,"888,66","866,74","920,52","876,32",,,,,,,,
21,"889,54",,,"881,22",,,,,,,,
22,"878,21",,,"887,79",,,,,,,,
23,"872,22","867,13","923,67","889,87",,,,,,,,
24,,"867,29","915,15","892,18",,,,,,,,
25,,"865,36","915,76",,,,,,,,,
26,"870,71","857,58","913,83",,,,,,,,,
27,"862,98","861,19","923,25","895,07",,,,,,,,
28,"862,17",,,"894,18",,,,,,,,
29,"857,95",,,"896,03",,,,,,,,
30,"858,45",,"929,9","901,76",,,,,,,,
31,,,"931,57",,,,,,,,,
Promedio,"883,97","862,02","909,89","897,89","897,02",,,,,,,
