ID,Tipo Movimiento,Tipo Compra,Tipo Documento,Tipo Factura,Estado Documento,Fecha,N°,Glosa,Entidad,Afecta,Exenta,Iva,Total,Sueldo,Previred,Bruto,Retención,Líquido,Cta Cte,Archivo,Doc Ingresado?,N° Ingreso,Origen Dinero,Datos Declaración,Certificado Declaración,Formulario Compacto,Comprobante Pago,Comentarios
b6d208e9,Compra,,FA,,,1/9/2022,2879508,,Com0008,50732,,,,,,,,,,,,,,,,,,
ee168619,Compra,,FA,,,2/9/2022,54627,,Prv0002,12288,,,,,,,,,,,,,,,,,,
7f8ef53d,Compra,,FA,,,5/9/2022,3274,,Prv0003,146370,,,,,,,,,,,,,,,,,,
38a5628b,Compra,,FA,,,30/9/2022,54948,,Prv0002,13062,,,,,,,,,,,,,,,,,,
e6ee15cc,Compra,,FA,,,5/10/2022,55074,,Prv0002,9410,,,,,,,,,,,,,,,,,,
e6e6c3b6,Compra,,FA,,,27/10/2022,55308,,Prv0002,23568,,,,,,,,,,,,,,,,,,
Fac0001,Venta,,FA,,Nulo,28/11/2022,1,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0002,Venta,,FA,,Nulo,28/11/2022,2,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0003,Venta,,FA,,Nulo,28/11/2022,3,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0004,Venta,,FA,,Nulo,28/11/2022,4,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0005,Venta,,FA,,Nulo,28/11/2022,5,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0006,Venta,,FA,,Nulo,28/11/2022,6,Error de Emisión,Com0008,0,,,,,,,,,,,,,,,,,,
Fac0007,Venta,,FA,Afecta,Ok,28/11/2022,7,Comisiones,Com0008,78209,,14860,93069,,,,,,Cta0007,/Contabilidad/Documentos Contables/Fac0007.Archivo.170436.069 .pdf,TRUE,,,,,,,
ab4115ac,Compra,,FA,,,28/11/2022,55669,,Prv0002,22536,,,,,,,,,,,,,,,,,,
0bbff715,Compra,,FA,,,28/12/2022,56051,,Prv0002,12773,,,,,,,,,,,,,,,,,,
Fac0208,Compra,,FA,,,3/1/2023,56108,,Prv0002,21600,,,,,,,,,,,,,,,,,,
Fac0209,Compra,,FA,,,17/1/2023,56334,,Prv0002,8320,,,,,,,,,,,,,,,,,,
Fac0210,Compra,,FA,,,17/1/2023,56335,,Prv0002,151200,,,,,,,,,,,,,,,,,,
Fac0008,Venta,,FA,Afecta,Ok,19/1/2023,8,Comisión Afecta,Com0001,56214,,10681,66895,,,,,,Cta0020,/Contabilidad/Documentos Contables/Fac0008.Archivo.170519.895.pdf,TRUE,,,,,,,
Fac0009,Venta,,FA,,Nulo,23/1/2023,9,Error de Emisión,,0,,,,,,,,,,,,,,,,,,
Fac0010,Venta,,FA,Afecta,Ok,23/1/2023,10,Comisión Afecta,Com0006,36269,,6891,43160,,,,,,Cta0017,/Contabilidad/Documentos Contables/Fac0010.Archivo.170635.160 .pdf,TRUE,,,,,,,
Fac0011,Venta,,FA,Afecta,Ok,23/1/2023,11,Comisión Afecta,Com0006,63294,,12026,75320,,,,,,Cta0016,/Contabilidad/Documentos Contables/Fac0011.Archivo.170723.320 .pdf,TRUE,,,,,,,
Fac0012,Venta,,FA,Afecta,Ok,24/1/2023,12,Comisión Afecta,Com0007,140011,,26602,166613,,,,,,Cta0019,/Contabilidad/Documentos Contables/Fac0012.Archivo.170744.613.pdf,TRUE,,,,,,,
Fac0013,Venta,,FA,Exenta,Ok,24/1/2023,13,Comisión Exenta,Com0007,66634,,12660,79294,,,,,,Cta0019,/Contabilidad/Documentos Contables/Fac0013.Archivo.170804.294.pdf,TRUE,,,,,,,
Fac0211,Compra,,FA,,,27/1/2023,56427,,Prv0002,24960,,,,,,,,,,,,,,,,,,
Fac0014,Venta,,FA,Afecta,Ok,6/2/2023,14,Comisión Afecta,Com0001,22588,,4292,26880,,,,,,Cta0021,/Contabilidad/Documentos Contables/Fac0014.Archivo.170822.880.pdf,TRUE,,,,,,,
Fac0015,Venta,,FA,Afecta,Ok,7/2/2023,15,Comisiones,Com0007,88712,,16855,105567,,,,,,Cta0022,/Contabilidad/Documentos Contables/Fac0015.Archivo.170849.567 .pdf,TRUE,,,,,,,
Fac0016,Venta,,FA,Afecta,Ok,21/2/2023,16,Comisiones,Com0007,521348,,99056,620404,,,,,,Cta0029,/Contabilidad/Documentos Contables/Fac0016.Archivo.170907.404.pdf,TRUE,,,,,,,
Fac0017,Venta,,FA,Afecta,Ok,22/2/2023,17,Comisiones,Com0006,94676,,17988,112664,,,,,,Cta0030,/Contabilidad/Documentos Contables/Fac0017.Archivo.170926.664.pdf,TRUE,,,,,,,
72c83ca2,Compra,,FA,,,27/2/2023,56781,,Prv0002,24120,,,,,,,,,,,,,,,,,,
Fac0018,Venta,,FA,Afecta,Ok,7/3/2023,18,Comisiones,Com0007,821683,,156120,977803,,,,,,Cta0039,/Contabilidad/Documentos Contables/Fac0018.Archivo.170950.803.pdf,TRUE,,,,,,,
Fac0019,Venta,,FA,Afecta,Ok,10/3/2023,19,Comisiones,Com0001,164551,,31265,195816,,,,,,Cta0046,/Contabilidad/Documentos Contables/Fac0019.Archivo.171024.816.pdf,TRUE,,,,,,,
Fac0020,Venta,,FA,,Nulo,21/3/2023,20,,Com0007,0,,,,,,,,,,,,,,,,,,
Fac0021,Venta,,FA,Afecta,Ok,21/3/2023,21,Comisiones,Com0007,563464,,107058,670522,,,,,,Cta0045,/Contabilidad/Documentos Contables/Fac0021.Archivo.171142.522.pdf,TRUE,,,,,,,
Fac0022,Venta,,FA,Afecta,Ok,21/3/2023,22,Comisiones,Com0008,737018,,140033,877051,,,,,,Cta0043,/Contabilidad/Documentos Contables/Fac0022.Archivo.171408.051.pdf,TRUE,,,,,,,
Fac0023,Venta,,FA,Afecta,Ok,21/3/2023,23,Comisiones,Com0008,832405,,158157,990562,,,,,,Cta0044,/Contabilidad/Documentos Contables/Fac0023.Archivo.171434.562.pdf,TRUE,,,,,,,
617a119c,Compra,,FA,,,27/3/2023,57145,,Prv0002,25050,,,,,,,,,,,,,,,,,,
Fac0024,Venta,,FA,,Nulo,6/4/2023,24,,Com0007,0,,,,,,,,,,,,,,,,,,
Fac0025,Venta,,FA,Afecta,Ok,6/4/2023,25,Comisiones,Com0007,82373,,15651,98024,,,,,,Cta0049,/Contabilidad/Documentos Contables/Fac0025.Archivo.171520.024.pdf,TRUE,,,,,,,
Fac0026,Venta,,FA,Exenta,Ok,6/4/2023,26,Comisiones,Com0007,16577,,3150,19727,,,,,,Cta0049,/Contabilidad/Documentos Contables/Fac0026.Archivo.171542.727.pdf,TRUE,,,,,,,
Fac0027,Venta,,FA,Afecta,Ok,12/4/2023,27,Comisiones,Com0001,280654,,53324,333978,,,,,,Cta0050,/Contabilidad/Documentos Contables/Fac0027.Archivo.171605.978.pdf,TRUE,,,,,,,
Fac0028,Venta,,FA,Afecta,Ok,21/4/2023,28,Comisiones,Com0007,168461,,32008,200469,,,,,,Cta0055,/Contabilidad/Documentos Contables/Fac0028.Archivo.171621.469.pdf,TRUE,,,,,,,
Fac0029,Venta,,FA,Afecta,Ok,6/5/2023,29,Comisiones,Com0008,50624,,9619,60243,,,,,,Cta0056,/Contabilidad/Documentos Contables/Fac0029.Archivo.171636.243.pdf,TRUE,,,,,,,
Fac0030,Venta,,FA,Afecta,Ok,15/5/2023,30,Comisiones,Com0001,89662,,17036,106698,,,,,,Cta0064,/Contabilidad/Documentos Contables/Fac0030.Archivo.171747.698.pdf,TRUE,,,,,,,
Fac0031,Venta,,FA,Afecta,Ok,15/5/2023,31,Comisiones,Com0006,97801,,18582,116383,,,,,,Cta0065,/Contabilidad/Documentos Contables/Fac0031.Archivo.171810.383.pdf,TRUE,,,,,,,
Fac0032,Venta,,FA,,Nulo,7/6/2023,32,,Com0001,0,,,,,,,,,,,,,,,,,,
Fac0033,Venta,,FA,Afecta,Ok,7/6/2023,33,Comisiones,Com0001,143452,,27256,170708,,,,,,Cta0074,/Contabilidad/Documentos Contables/Fac0033.Archivo.171840.708.pdf,TRUE,,,,,,,
Fac0034,Venta,,FA,Afecta,Ok,7/6/2023,34,Comisión Afecta,Com0007,52511,,9977,62488,,,,,,Cta0075,/Contabilidad/Documentos Contables/Fac0034.Archivo.171859.488.pdf,TRUE,,,,,,,
Fac0035,Venta,,FA,Afecta,Ok,23/6/2023,35,Comisiones,Com0007,142840,,27140,169980,,,,,,Cta0081,/Contabilidad/Documentos Contables/Fac0035.Archivo.171919.980.pdf,TRUE,,,,,,,
Fac0036,Venta,,FA,Afecta,Ok,5/7/2023,36,Comisiones,Com0005,122396,,23255,145651,,,,,,Cta0097,/Contabilidad/Documentos Contables/Fac0036.Archivo.171939.651.pdf,TRUE,,,,,,,
Fac0037,Venta,,FA,Afecta,Ok,5/7/2023,37,Comisiones,Com0006,214797,,40811,255608,,,,,,Cta0099,/Contabilidad/Documentos Contables/Fac0037.Archivo.172006.608.pdf,TRUE,,,,,,,
Fac0038,Venta,,FA,Afecta,Ok,6/7/2023,38,Comisiones,Com0004,119240,,22656,141896,,,,,,Cta0106,/Contabilidad/Documentos Contables/Fac0038.Archivo.172035.896 (1).pdf,TRUE,,,,,,,
Fac0039,Venta,,FA,Afecta,Ok,6/7/2023,39,Diferencia Liq 17422,Com0004,13254,,2518,15772,,,,,,Cta0106,/Contabilidad/Documentos Contables/Fac0039.Archivo.172053.772 (1).pdf,TRUE,,,,,,,
Fac0040,Venta,,FA,Afecta,Ok,17/7/2023,40,Comisiones,Com0001,100640,,19122,119762,,,,,,Cta0115,/Contabilidad/Documentos Contables/Fac0040.Archivo.172152.762.pdf,TRUE,,,,,,,
Fac0041,Venta,,FA,Afecta,Ok,20/7/2023,41,Comisiones,Com0006,1717098,,326249,2043347,,,,,,Cta0107,/Contabilidad/Documentos Contables/Fac0041.Archivo.172215.347.pdf,TRUE,,,,,,,
Fac0042,Venta,,FA,Afecta,Ok,20/7/2023,42,Comisiones,Com0006,1110237,,210945,1321182,,,,,,Cta0108,/Contabilidad/Documentos Contables/Fac0042.Archivo.172249.182.pdf,TRUE,,,,,,,
Fac0043,Venta,,FA,Afecta,Ok,21/7/2023,43,Comisiones,Com0007,158185,,30055,188240,,,,,,Cta0112,/Contabilidad/Documentos Contables/Fac0043.Archivo.172302.240.pdf,TRUE,,,,,,,
Fac0044,Venta,,FA,Afecta,Ok,7/8/2023,44,Comisiones,Com0006,7566,,1438,9004,,,,,,Cta0116,/Contabilidad/Documentos Contables/Fac0044.Archivo.172327.004.pdf,TRUE,,,,,,,
Fac0045,Venta,,FA,Exenta,Ok,7/8/2023,45,Comisiones,Com0006,48278,,9173,57451,,,,,,Cta0117,/Contabilidad/Documentos Contables/Fac0045.Archivo.172349.451.pdf,TRUE,,,,,,,
Fac0046,Venta,,FA,Afecta,Ok,22/8/2023,46,Comisiones,Com0006,332459,,63167,395626,,,,,,Cta0126,/Contabilidad/Documentos Contables/Fac0046.Archivo.172408.626.pdf,TRUE,,,,,,,
Fac0047,Venta,,FA,Exenta,Ok,22/8/2023,47,Comisiones,Com0006,93494,,17764,111258,,,,,,Cta0125,/Contabilidad/Documentos Contables/Fac0047.Archivo.172433.258.pdf,TRUE,,,,,,,
Fac0048,Venta,,FA,Afecta,Ok,7/9/2023,48,Comisiones,Com0005,455711,,86585,542296,,,,,,Cta0128,/Contabilidad/Documentos Contables/Fac0048.Archivo.172454.296.pdf,TRUE,,,,,,,
Fac0049,Venta,,FA,Afecta,Ok,7/9/2023,49,Comisiones,Com0007,201176,,38223,239399,,,,,,Cta0129,/Contabilidad/Documentos Contables/Fac0049.Archivo.172513.399.pdf,TRUE,,,,,,,
Fac0050,Venta,,FA,Afecta,Ok,3/10/2023,50,Comisiones,Com0010,275083,,52266,327349,,,,,,Cta0135,/Contabilidad/Documentos Contables/Fac0050.Archivo.172559.349.pdf,TRUE,,,,,,,
Fac0051,Venta,,FA,Afecta,Ok,4/10/2023,51,Comisiones,Com0001,5095,,968,6063,,,,,,Cta0140,/Contabilidad/Documentos Contables/Fac0051.Archivo.172704.063.pdf,TRUE,,,,,,,
Fac0052,Venta,,FA,Exenta,Ok,4/10/2023,52,Comisiones,Com0001,16625,,3159,19784,,,,,,Cta0140,/Contabilidad/Documentos Contables/Fac0052.Archivo.172731.784.pdf,TRUE,,,,,,,
Fac0053,Venta,,FA,Afecta,Ok,6/10/2023,53,Comisiones,Com0007,32381,,6152,38533,,,,,,Cta0137,/Contabilidad/Documentos Contables/Fac0053.Archivo.172805.533.pdf,TRUE,,,,,,,
