ID,Fecha,PPM,Remanente Crédito Mes Anterior
ppm0001,1/9/2022,5%,"$0,00"
ppm0002,1/10/2022,5%,"$0,00"
ppm0003,1/11/2022,15%,"$0,00"
ppm0004,1/12/2022,15%,"$0,00"
ppm0005,1/1/2023,10%,"$2.478,00"
ppm0006,1/2/2023,10%,"$0,00"
ppm0007,1/3/2023,5%,"$0,00"
ppm0008,1/4/2023,10%,"$0,00"
ppm0009,1/5/2023,10%,"$0,00"
ppm0010,1/6/2023,15%,"$0,00"
ppm0011,1/7/2023,0.5%,"$0,00"
ppm0012,1/8/2023,10%,"$0,00"
ppm0013,1/9/2023,8%,"$0,00"
ppm0014,1/10/2023,2%,"$0,00"
ppm0015,1/11/2023,2%,"$0,00"
ppm0016,1/12/2023,2%,"$0,00"
ppm0017,1/1/2024,6%,"$0,00"
ppm0018,1/2/2024,6%,"$0,00"
ppm0019,1/3/2024,6%,"$0,00"
ppm0020,1/4/2024,10%,"$0,00"
ppm0021,1/5/2024,10%,"$0,00"
ppm0022,1/6/2024,15%,"$0,00"
ppm0023,1/7/2024,12%,"$0,00"
ppm0024,1/8/2024,12%,"$0,00"
ppm0025,1/9/2024,12%,"$0,00"
ppm0026,1/10/2024,11%,"$0,00"
ppm0027,1/11/2024,10%,"$0,00"
ppm0028,1/12/2024,10%,"$0,00"
ppm0029,1/1/2025,10%,"$0,00"
ppm0030,1/2/2025,10%,"$0,00"
ppm0031,1/3/2025,0.25%,"$0,00"
ppm0032,1/4/2025,10%,"$0,00"
ppm0033,1/5/2025,10%,"$0,00"
ppm0034,1/6/2025,10%,"$0,00"
ppm0035,1/7/2025,,
ppm0036,1/8/2025,,
ppm0037,1/9/2025,,
ppm0038,1/10/2025,,
ppm0039,1/11/2025,,
