ID,Cobranza,Cuota
,,
711616ad,b6d229d3,Cuo3552
42fe6a49,12083796,f4af4f58
fd79441f,b6c12fc5,89587021
ea365104,b6c12fc5,2c70a1c6
742fc2a5,4aad5640,58e75e64
50ad2ebd,ecfbd925,b2c08032
94d788cc,c4fa007a,b2c08032
c9eb05f7,c4fa007a,73c88bae
6e2355fd,e2155ec7,0813455c
5ac57717,fac42444,ed8bd903
d5accf43,63cdff57,Cuo3588
64d5a569,63cdff57,c47785ad
c83e7ae3,63cdff57,615eb689
15ad8de4,63cdff57,61bea214
c9541ab3,63cdff57,afdf4c98
12a70ff9,63cdff57,c89b2d36
7e52cee8,63cdff57,e63510b0
329fd49a,ef570299,619e5ed5
ec3deeda,4137a2d8,5f4b8f22
d18a1401,4e270d0d,6c842564
439f489c,4e270d0d,e87c06e3
