ID,Comisión Emitida,Documento,Tipo,Afecto UF,Exento UF,Cambio UF,Afecto $,Exento $,Afecto USD,Exento USD,Cambio USD
Comi0001,BCom0001,Doc0481,Comisión,0.03,0,"$34,470.59","$1,144",$0,$1.21,$0.00,$949.38
Comi0002,BCom0001,Doc0482,Comisión,0.03,0,"$34,470.59","$1,144",$0,$1.21,$0.00,$949.38
Comi0003,BCom0002,Doc0023,Comisión,2.25,0,"$34,759.75","$78,209",$0,,,
Comi0004,BCom0003,Doc0037,Comisión,0.61,0,"$35,587.47","$21,679",$0,,,
Comi0005,BCom0004,Doc0030,Comisión,1.82,0,"$34,777.09","$63,294",$0,,,
Comi0006,BCom0005,Doc0047,Comisión,1.6,0,"$35,133.75","$56,214",$0,,,
Comi0007,BCom0006,Doc0042,Comisión,1.03,0,"$35,212.56","$36,269",$0,,,
Comi0008,BCom0007,Doc0044,Comisión,0.18,0,"$35,060.71","$6,353",$0,,,
Comi0009,BCom0007,Doc0050,Comisión,0.47,0,"$34,992.24","$16,235",$0,,,
Comi0010,BCom0008,Doc0043,Comisión,3.97,1.89,"$35,284.09","$140,078","$66,687",,,
Comi0011,BCom0009,Doc0048,Comisión,2.52,0,"$35,318.20","$88,712",$0,,,
Comi0012,BCom0010,Doc0037,Saldo,0.61,0,"$35,587.47","$21,679",$0,,,
Comi0013,BCom0010,Doc0001,Comisión,0.02,0,"$35,569.74",$889,$0,,,
Comi0014,BCom0010,Doc0002,Comisión,0.02,0,"$35,579.74",$889,$0,,,
Comi0015,BCom0010,Doc0113,Comisión,3.03,0,"$35,487.23","$107,686",$0,,,
Comi0016,BCom0010,Doc0036,Comisión,0.94,0,"$35,730.48","$33,408",$0,,,
Comi0017,BCom0011,Doc0069,Comisión,2.67,0,"$35,459.19","$94,676",$0,,,
Comi0018,BCom0012,Doc0054,Comisión,2.55,0,"$35,499.58","$90,414",$0,,,
Comi0019,BCom0012,Doc0071,Comisión,1.91,0,"$35,499.58","$67,794",$0,,,
Comi0020,BCom0012,Doc0056,Comisión,1.3,0,"$35,499.58","$46,270",$0,,,
Comi0021,BCom0012,Doc0055,Comisión,1.6,0,"$35,499.58","$56,817",$0,,,
Comi0022,BCom0012,Doc0057,Comisión,2.09,0,"$35,499.58","$74,194",$0,,,
Comi0023,BCom0012,Doc0070,Comisión,2.92,0,"$35,499.58","$103,780",$0,,,
Comi0024,BCom0012,Doc0059,Comisión,2.31,0,"$35,499.58","$82,079",$0,,,
Comi0025,BCom0013,Doc0058,Comisión,1.71,0,"$35,570.27","$60,825",$0,,,
Comi0026,BCom0013,Doc0064,Comisión,4.3,0,"$35,570.27","$152,952",$0,,,
Comi0027,BCom0013,Doc0063,Comisión,1.39,0,"$35,570.27","$49,443",$0,,,
Comi0028,BCom0013,Doc0061,Comisión,1.6,0,"$35,570.27","$56,912",$0,,,
Comi0029,BCom0013,Doc0075,Comisión,1.87,0,"$35,570.27","$66,516",$0,,,
Comi0030,BCom0013,Doc0065,Comisión,3.44,0,"$35,570.27","$122,362",$0,,,
Comi0031,BCom0013,Doc0074,Comisión,2.69,0,"$35,570.27","$95,684",$0,,,
Comi0032,BCom0013,Doc0073,Comisión,3.72,0,"$35,570.27","$132,321",$0,,,
Comi0033,BCom0014,Doc0051,Comisión,20.75,0,"$35,600.75","$738,755",$0,,,
Comi0034,BCom0014,Doc0114,Comisión,2.33,0,"$35,600.75","$82,928",$0,,,
Comi0035,BCom0015,Doc0066,Comisión,4.09,0,"$35,588.11","$145,555",$0,,,
Comi0036,BCom0015,Doc0127,Comisión,4.12,0,"$35,588.11","$146,623",$0,,,
Comi0037,BCom0015,Doc0125,Comisión,0.56,0.91,"$35,588.11","$19,929","$32,385",,,
Comi0038,BCom0015,Doc0126,Comisión,0.65,0.85,"$35,588.11","$23,132","$30,250",,,
Comi0039,BCom0015,Doc0062,Comisión,5.12,0,"$35,588.11","$182,211",$0,,,
Comi0040,BCom0015,Doc0067,Comisión,5.25,0,"$35,588.11","$186,838",$0,,,
Comi0041,BCom0015,Doc0060,Comisión,1.84,0,"$35,588.11","$65,482",$0,,,
Comi0042,BCom0016,Doc0121,Comisión,8.35,0,"$35,562.38","$297,017",$0,,,
Comi0043,BCom0016,Doc0123,Comisión,2.2,0,"$35,562.83","$78,256",$0,,,
Comi0044,BCom0016,Doc0119,Comisión,0.23,0,"$35,631.53","$8,181",$0,,,
Comi0045,BCom0016,Doc0037,Saldo,0.61,0,"$35,587.47","$21,679",$0,,,
Comi0046,BCom0017,Doc0077,Comisión,2,0,"$35,580.07","$71,324",$0,,,
Comi0047,BCom0017,Doc0083,Comisión,12.09,0,"$35,580.07","$430,113",$0,,,
Comi0048,BCom0017,Doc0078,Comisión,1.74,0,"$35,580.07","$62,027",$0,,,
Comi0049,BCom0018,Doc0053,Comisión,0.43,0.47,"$35,596.15","$15,306","$16,730",,,
Comi0050,BCom0018,Doc0072,Comisión,3.63,0,"$35,596.15","$129,069",$0,,,
Comi0051,BCom0018,Doc0076,Comisión,2,0,"$35,596.15","$71,290",$0,,,
Comi0052,BCom0018,Doc0079,Comisión,-2,0,"$35,596.15","-$71,356",$0,,,
Comi0053,BCom0018,Doc0080,Comisión,-1.74,0,"$35,596.15","-$62,055",$0,,,
Comi0054,BCom0019,Doc0117,Comisión,0.37,0,"$36,356.16","$13,270",$0,,,
Comi0055,BCom0019,Doc0124,Comisión,2.5,0,"$35,879.15","$89,662",$0,,,
Comi0056,BCom0019,Doc0118,Comisión,-0.37,0,"$36,356.16","-$13,270",$0,,,
Comi0057,BCom0020,Doc0085,Comisión,2.56,0,"$35,799.37","$91,639",$0,,,
Comi0058,BCom0020,Doc0084,Comisión,2.15,0,"$35,799.37","$76,822",$0,,,
Comi0059,BCom0021,Doc0130,Comisión,0.6444,0.7632,"$35,903.96","$23,137","$27,402",,,
Comi0060,BCom0022,Doc0131,Comisión,2.72,0,"$35,956.37","$97,801",$0,,,
Comi0061,BCom0023,Doc0133,Comisión,3.98,0,"$36,061.34","$143,452",$0,,,
Comi0062,BCom0024,Doc0134,Comisión,4.71,0,"$36,088.28","$170,174",$0,,,
Comi0063,BCom0024,Doc0052,Comisión,-0.76,0,"$36,088.28","-$27,334",$0,,,
Comi0064,BCom0025,Doc0138,Comisión,5.95,0,"$36,100.30","$214,797",$0,,,
Comi0065,BCom0026,Doc0142,Comisión,3.67,0,"$36,089.48","$119,240",$0,,,
Comi0066,BCom0027,Doc0141,Comisión,2.77,0,"$36,100.30","$100,070",$0,,,
Comi0067,BCom0027,Doc0135,Comisión,0.62,0,"$36,100.30","$22,326",$0,,,
Comi0068,BCom0028,Doc0146,Comisión,44.21,0,"$36,058.36","$1,593,096",$0,,,
Comi0069,BCom0028,Doc0145,Comisión,1.3,0,"$36,058.36","$46,876",$0,,,
Comi0070,BCom0028,Doc0136,Comisión,3.72,0,"$36,058.36","$134,137",$0,,,
Comi0071,BCom0028,Doc0092,Comisión,-1.58,0,"$36,058.36","-$56,972",$0,,,
Comi0072,BCom0029,Doc0143,Comisión,21.06,0,"$36,058.36","$757,586",$0,,,
Comi0073,BCom0029,Doc0144,Comisión,9.78,0,"$36,058.36","$352,651",$0,,,
Comi0074,BCom0030,Doc0090,Comisión,1.93,0,"$36,056.03","$69,574",$0,,,
Comi0075,BCom0030,Doc0091,Comisión,2.46,0,"$36,056.03","$88,611",$0,,,
Comi0076,BCom0031,Doc0160,Comisión,0.21,1.34,"$36,028.10","$7,566","$48,278",,,
Comi0077,BCom0032,Doc0159,Comisión,0.37,1.16,"$36,098.04","$13,356","$41,874",,,
Comi0078,BCom0032,Doc0156,Comisión,1.12,1.43,"$36,097.76","$40,429","$51,620",,,
Comi0079,BCom0032,Doc0148,Comisión,-4.41,0,"$36,097.76","-$157,025",$0,,,
Comi0080,BCom0032,Doc0147,Comisión,3.88,0,"$36,097.76","$140,420",$0,,,
Comi0081,BCom0032,Doc0150,Comisión,3.85,0,"$36,097.76","$139,337",$0,,,
Comi0082,BCom0032,Doc0152,Comisión,4.32,0,"$36,097.76","$155,942",$0,,,
Comi0083,BCom0034,Doc0149,Comisión,-12.4,0,"$36,172.21","-$448,534",$0,,,
Comi0084,BCom0035,Doc0163,Comisión,12.6,0,"$36,167.55","$455,712",$0,,,
Comi0085,BCom0036,Doc0099,Comisión,2.15,0,"$36,172.21","$77,669",$0,,,
Comi0086,BCom0036,Doc0103,Comisión,1.03,0,"$36,172.21","$37,395",$0,,,
Comi0087,BCom0036,Doc0154,Comisión,2.38,0,"$36,172.21","$86,112",$0,,,
Comi0088,BCom0037,Doc0166,Comisión,0.18,0.46,"$36,372.06","$6,547","$16,731",,,
Comi0089,BCom0037,Doc0165,Comisión,0.41,0,"$36,200.00","$14,842",$0,,,
Comi0090,BCom0037,Doc0132,Comisión,2.27,0,"$36,161.50","$82,177",$0,,,
Comi0091,BCom0037,Doc0164,Comisión,2.67,0,"$36,180.80","$96,657",$0,,,
Comi0092,BCom0037,Doc0155,Comisión,3,0,"$36,164.84","$108,603",$0,,,
Comi0093,BCom0037,Doc0122,Comisión,-6.7,0,"$36,225.56","-$242,186",$0,,,
Comi0094,BCom0037,Doc0116,Comisión,-1.18,0,"$36,130.46","-$55,388",$0,,,
Comi0095,BCom0037,Doc0120,Comisión,-0.17,0,"$36,753.46","-$6,154",$0,,,
Comi0096,BCom0040,Doc0104,Comisión,0.89,0,"$36,208.38","$32,381",$0,,,
Comi0097,BCom0043,Doc0106,Comisión,0.99,0,"$36,347.15","$36,114",$0,,,
Comi0098,BCom0045,Doc0153,Comisión,-6.22,0,"$36,461.89","-$226,793",$0,,,
Comi0099,BCom0046,Doc0174,Comisión,3.285,0,"$36,461.84","$119,777",$0,,,
Comi0100,BCom0047,Doc0107,Comisión,1.07,0,"$36,461.84","$38,967",$0,,,
Comi0101,BCom0047,Doc0109,Comisión,-0.57,0,"$36,461.84","-$20,879",$0,,,
Comi0102,BCom0048,Doc0169,Comisión,0.55,0,"$37,084.93","$13,536",$0,,,
Comi0103,BCom0048,Doc0188,Comisión,1.2,0,"$36,583.33","$43,900",$0,,,
Comi0104,BCom0048,Doc0170,Comisión,-0.55,0,"$37,084.93","-$13,536",$0,,,
Comi0105,BCom0049,Doc0185,Saldo,0.8,0.15,"$36,564.21","$29,251","$5,485",,,
Comi0106,BCom0049,Doc0181,Comisión,1.82,0,"$36,563.87","$66,546",$0,,,
Comi0107,BCom0051,Doc0108,Comisión,1.02,0,"$36,559.01","$37,199",$0,,,
Comi0108,BCom0052,Doc0192,Comisión,0.65,0.2,"$36,607.69","$23,795","$7,322",,,
Comi0109,BCom0052,Doc0187,Comisión,1.59,0,"$36,607.69","$58,206",$0,,,
Comi0110,BCom0053,Doc0197,Comisión,7.52,17.45,"$36,607.69","$275,290","$638,804",,,
Comi0111,BCom0054,Doc0194,Comisión,3.64,0,"$36,563.87","$132,946",$0,,,
Comi0112,BCom0054,Doc0205,Comisión,1.62,0,"$36,563.87","$59,233",$0,,,
Comi0113,BCom0055,Doc0196,Comisión,3.1065,0,"$36,607.69","$113,722",$0,,,
