ID,Liquidación Base,Documento
Liq0001,BLiq0001,Doc0112
Liq0002,BLiq0001,Doc0124
Liq0003,BLiq0002,Doc0212
Liq0004,BLiq0001,Doc0227
Liq0005,BLiq0001,Doc0281
Liq0006,BLiq0002,Doc0293
Liq0007,BLiq0002,Doc0336
Liq0008,BLiq0004,Doc0373
Liq0009,BLiq0003,Doc0394
Liq0010,BLiq0003,Doc0410
Liq0011,BLiq0003,Doc0411
Liq0012,BLiq0005,Doc0436
Liq0013,BLiq0003,Doc0439
Liq0014,BLiq0003,Doc0440
Liq0015,BLiq0004,Doc0455
Liq0016,BLiq0003,Doc0457
Liq0017,BLiq0003,Doc0461
Liq0018,BLiq0004,Doc0471
Liq0019,BLiq0004,Doc0472
