ID,Comisión Base,Factura
Factu0002,BCom0002,Fac0007
Factu0003,BCom0003,Fac0040
Factu0004,BCom0004,Fac0011
Factu0005,BCom0005,Fac0008
Factu0006,BCom0006,Fac0010
Factu0007,BCom0007,Fac0014
Factu0008,BCom0008,Fac0012
Factu0009,BCom0008,Fac0013
Factu0010,BCom0009,Fac0015
Factu0011,BCom0010,Fac0019
Factu0012,BCom0011,Fac0017
Factu0013,BCom0012,Fac0016
Factu0014,BCom0013,Fac0022
Factu0015,BCom0014,Fac0018
Factu0016,BCom0015,Fac0023
Factu0017,BCom0016,Fac0027
Factu0018,BCom0017,Fac0021
Factu0019,BCom0018,Fac0025
Factu0020,BCom0018,Fac0026
Factu0021,BCom0019,Fac0030
Factu0022,BCom0020,Fac0028
Factu0023,BCom0021,Fac0029
Factu0024,BCom0022,Fac0031
Factu0025,BCom0023,Fac0033
Factu0026,BCom0024,Fac0035
Factu0027,BCom0025,Fac0037
Factu0028,BCom0026,Fac0038
Factu0029,BCom0027,Fac0036
Factu0030,BCom0028,Fac0041
Factu0031,BCom0029,Fac0042
Factu0032,BCom0030,Fac0043
Factu0033,BCom0031,Fac0044
Factu0034,BCom0031,Fac0045
Factu0035,BCom0032,Fac0046
Factu0036,BCom0032,Fac0047
Factu0037,BCom0033,
Factu0038,BCom0034,
Factu0039,BCom0035,Fac0048
Factu0040,BCom0036,Fac0049
Factu0041,BCom0037,Fac0051
Factu0042,BCom0037,Fac0052
Factu0043,BCom0038,
Factu0044,BCom0039,
Factu0045,BCom0040,Fac0053
Factu0046,BCom0041,
Factu0047,BCom0042,
Factu0048,BCom0043,Fac0054
Factu0049,BCom0044,
Factu0050,BCom0045,
Factu0051,BCom0046,Fac0059
Factu0052,BCom0047,Fac0056
Factu0053,BCom0048,Fac0058
Factu0054,BCom0049,
Factu0055,BCom0050,
Factu0056,BCom0051,Fac0061
Factu0057,BCom0052,
Factu0058,BCom0053,Fac0064
Factu0059,BCom0053,Fac0063
Factu0060,BCom0054,Fac0201
Factu0061,BCom0055,Fac0060
Factu0062,BCom0056,Fac0067
Factu0063,BCom0057,
Factu0064,BCom0058,
Factu0065,BCom0059,Fac0065
Factu0066,BCom0060,
Factu0067,BCom0061,Fac0202
Factu0068,BCom0062,Fac0103
Factu0069,BCom0063,Fac0068
Factu0070,BCom0064,Fac0070
Factu0071,BCom0064,Fac0071
Factu0072,BCom0065,
Factu0073,BCom0066,
Factu0074,BCom0067,
Factu0075,BCom0068,Fac0069
