ID,Registro,Grupo Materia
Nbmat001,Neg0001,BMa0080
Nbmat002,Neg0002,BMa0198
Nbmat003,Neg0003,BMa0040
Nbmat004,Neg0004,BMa0041
Nbmat005,Neg0005,BMa0062
Nbmat006,Neg0006,BMa0064
Nbmat007,Neg0007,BMa0063
Nbmat008,Neg0008,BMa0086
Nbmat009,Neg0009,BMa0083
Nbmat010,Neg0010,BMa0085
Nbmat011,Neg0011,BMa0087
Nbmat012,Neg0012,BMa0084
Nbmat013,Neg0013,BMa0088
Nbmat014,Neg0014,BMa0048
Nbmat015,Neg0015,BMa0065
Nbmat016,Neg0016,BMa0066
Nbmat017,Neg0017,BMa0089
Nbmat018,Neg0018,BMa0091
Nbmat019,Neg0019,BMa0092
Nbmat020,Neg0020,BMa0093
Nbmat021,Neg0021,BMa0094
Nbmat022,Neg0022,BMa0096
Nbmat023,Neg0023,BMa0067
Nbmat024,Neg0024,BMa0068
Nbmat025,Neg0025,BMa0069
Nbmat026,Neg0026,BMa0070
Nbmat027,Neg0027,BMa0071
Nbmat028,Neg0028,BMa0073
Nbmat029,Neg0029,BMa0072
Nbmat030,Neg0030,BMa0096
Nbmat031,Neg0031,BMa0097
Nbmat032,Neg0032,BMa0098
Nbmat033,Neg0033,BMa0110
Nbmat034,Neg0034,BMa0111
Nbmat035,Neg0035,BMa0077
Nbmat036,Neg0036,BMa0112
Nbmat037,Neg0037,BMa0103
Nbmat038,Neg0038,BMa0106
Nbmat039,Neg0039,BMa0108
Nbmat040,Neg0040,BMa0115
Nbmat041,Neg0041,BMa0076
Nbmat042,Neg0042,BMa0075
Nbmat043,Neg0043,BMa0116
Nbmat044,Neg0044,BMa0074
Nbmat045,Neg0045,BMa0078
Nbmat046,Neg0046,BMa0095
Nbmat047,Neg0047,BMa0119
Nbmat048,Neg0048,BMa0120
Nbmat049,Neg0049,BMa0125
Nbmat050,Neg0050,BMa0122
Nbmat051,Neg0051,BMa0147
Nbmat052,Neg0052,BMa0065
Nbmat053,Neg0053,BMa0126
Nbmat054,Neg0054,BMa0133
Nbmat055,Neg0055,BMa0127
Nbmat056,Neg0056,BMa0128
Nbmat057,Neg0057,BMa0129
Nbmat058,Neg0058,BMa0130
Nbmat059,Neg0059,BMa0131
Nbmat060,Neg0060,BMa0139
Nbmat061,Neg0061,BMa0134
Nbmat062,Neg0062,BMa0135
Nbmat063,Neg0063,BMa0079
Nbmat064,Neg0064,BMa0141
Nbmat065,Neg0065,BMa0142
Nbmat066,Neg0066,BMa0145
Nbmat067,Neg0067,BMa0143
Nbmat068,Neg0068,BMa0144
Nbmat069,Neg0069,BMa0146
Nbmat070,Neg0070,BMa0069
Nbmat071,Neg0071,BMa0071
Nbmat072,Neg0072,BMa0149
Nbmat073,Neg0073,BMa0150
Nbmat074,Neg0074,BMa0148
Nbmat075,Neg0075,BMa0151
Nbmat076,Neg0076,BMa0152
Nbmat077,Neg0077,BMa0153
Nbmat078,Neg0078,BMa0154
Nbmat079,Neg0079,BMa0093
Nbmat080,Neg0080,BMa0119
Nbmat081,Neg0081,BMa0120
Nbmat082,Neg0082,BMa0155
Nbmat083,Neg0083,BMa0156
Nbmat084,Neg0084,BMa0159
Nbmat085,Neg0085,BMa0158
Nbmat086,Neg0086,BMa0160
Nbmat087,Neg0087,BMa0162
Nbmat088,Neg0088,BMa0164
Nbmat089,Neg0089,BMa0161
Nbmat090,Neg0090,BMa0163
Nbmat091,Neg0091,BMa0122
Nbmat092,Neg0092,BMa0165
Nbmat093,Neg0093,BMa0073
Nbmat094,Neg0094,BMa0168
Nbmat095,Neg0095,BMa0169
Nbmat096,Neg0096,BMa0045
Nbmat097,Neg0097,BMa0043
Nbmat098,Neg0098,BMa0126
Nbmat099,Neg0099,BMa0029
Nbmat100,Neg0100,BMa0077
Nbmat101,Neg0101,BMa0171
Nbmat102,Neg0102,BMa0172
Nbmat103,Neg0103,BMa0173
Nbmat104,Neg0104,BMa0131
Nbmat105,Neg0105,BMa0026
Nbmat106,Neg0106,BMa0027
Nbmat107,Neg0107,BMa0079
Nbmat108,Neg0108,BMa0037
Nbmat109,Neg0109,BMa0141
Nbmat110,Neg0110,BMa0142
Nbmat111,Neg0111,BMa0177
Nbmat112,Neg0112,BMa0178
Nbmat113,Neg0113,BMa0067
Nbmat114,Neg0114,BMa0068
Nbmat115,Neg0115,BMa0118
Nbmat116,Neg0116,BMa0053
Nbmat117,Neg0117,BMa0041
Nbmat118,Neg0118,BMa0063
Nbmat119,Neg0119,BMa0179
Nbmat120,Neg0120,BMa0176
Nbmat121,Neg0121,BMa0180
Nbmat122,Neg0122,BMa0281
Nbmat123,Neg0123,BMa0182
Nbmat124,Neg0124,BMa0282
Nbmat125,Neg0125,BMa0283
Nbmat126,Neg0126,BMa0181
Nbmat127,Neg0127,BMa0136
Nbmat128,Neg0128,BMa0137
Nbmat129,Neg0129,BMa0138
Nbmat130,Neg0130,BMa0085
Nbmat131,Neg0131,BMa0284
Nbmat132,Neg0132,BMa0153
Nbmat133,Neg0133,BMa0020
Nbmat134,Neg0134,BMa0154
Nbmat135,Neg0135,BMa0119
Nbmat136,Neg0136,BMa0285
Nbmat137,Neg0137,BMa0156
Nbmat138,Neg0138,BMa0183
Nbmat139,Neg0139,BMa0136
Nbmat140,Neg0140,BMa0137
Nbmat141,Neg0141,BMa0138
Nbmat142,Neg0142,
Nbmat143,Neg0143,
Nbmat144,Neg0144,BMa0286
Nbmat145,Neg0145,BMa0287
Nbmat146,Neg0146,BMa0173
Nbmat147,Neg0147,BMa0184
Nbmat148,Neg0148,BMa0187
Nbmat149,Neg0149,BMa0159
Nbmat150,Neg0150,BMa0091
Nbmat151,Neg0151,BMa0077
Nbmat152,Neg0152,BMa0271
Nbmat154,Neg0154,BMa0164
Nbmat155,Neg0155,BMa0173
Nbmat156,Neg0156,BMa0190
Nbmat157,Neg0157,BMa0193
Nbmat158,Neg0158,BMa0190
Nbmat159,Neg0159,BMa0192
Nbmat160,Neg0160,BMa0075
Nbmat161,Neg0161,BMa0193
Nbmat162,Neg0162,BMa0288
Nbmat163,Neg0163,BMa0165
Nbmat164,Neg0164,BMa0195
Nbmat165,Neg0165,BMa0131
Nbmat166,Neg0166,BMa0116
Nbmat167,Neg0167,BMa0131
Nbmat168,Neg0168,BMa0015
Nbmat169,Neg0169,BMa0165
Nbmat170,Neg0170,BMa0193
Nbmat171,Neg0171,BMa0171
Nbmat172,8888cabf,d5c4d539
Nbmat173,0b88954a,ff7028f8
ff727661,Neg0002,BMa0199
a535c804,Neg0002,BMa0200
626da142,Neg0002,BMa0201
ff727662,Neg0002,BMa0202
a535c805,Neg0002,BMa0203
626da143,Neg0002,BMa0204
ff727663,Neg0002,BMa0205
a535c806,Neg0002,BMa0206
626da144,Neg0002,BMa0207
ff727664,Neg0002,BMa0208
