ID,Seguro,Compañía
4c8a5bf2,Seg0004,Com0011
49541080,Seg0004,Com0001
47671263,Seg0005,Com0005
2bb19bfb,Seg0006,Com0001
a1ef50ee,Seg0008,Com0005
6bb0fd5a,Seg0014,Com0001
6ba91c82,Seg0014,Com0002
1f7e746b,Seg0014,Com0003
e0c2c830,Seg0014,Com0004
336ff37c,Seg0014,Com0005
89b4780a,Seg0014,Com0007
2a40a3f7,Seg0014,Com0008
22d107a5,Seg0014,Com0010
8ce19d5a,Seg0016,Com0005
e3d8ce3c,Seg0014,Com0011
661bca83,Seg0019,Com0001
d1bfa0e6,Seg0020,Com0008
c386f54d,Seg0020,Com0002
4e3b0e4e,Seg0021,Com0001
9f955854,Seg0021,Com0003
3337a146,Seg0021,Com0005
77bb7c1a,Seg0022,Com0002
bf1811a3,Seg0024,Com0001
453cf6d1,Seg0028,Com0001
b195602a,Seg0028,Com0003
56935aea,Seg0028,Com0004
50f68d42,Seg0028,Com0005
2dbc9648,Seg0028,Com0007
4334cc64,Seg0028,Com0008
fc5b70c8,Seg0028,Com0010
2a24dd8a,Seg0001,Com0001
bd3de5bf,Seg0001,Com0007
7e349ac4,Seg0001,Com0010
117d627d,Seg0001,Com0011
f3a14599,Seg0001,Com0012
285178dc,Seg0003,Com0007
fc6fd9c7,Seg0003,Com0011
bbc838ad,Seg0003,Com0012
e24a3095,Seg0003,Com0001
9a87b91c,Seg0010,Com0001
61c98279,Seg0011,Com0001
91500648,Seg0015,Com0001
e0baa744,Seg0002,Com0001
d87f89ec,Seg0002,Com0002
27e5c79f,Seg0002,Com0007
67c2917d,Seg0002,Com0011
dff5f8ac,Seg0017,Com0001
e2632524,Seg0017,Com0002
f8eaa69c,Seg0017,Com0003
5a2038d8,Seg0017,Com0004
b0bbaee7,Seg0017,Com0005
644466c9,Seg0017,Com0007
4b7f610c,Seg0017,Com0008
9ffda4ff,Seg0017,Com0010
1998fae7,Seg0017,Com0011
bb2c7913,68ae9fdc,Com0010
f9bb4eec,85f00dd6,Com0001
d5ed7c27,Seg0023,Com0001
5d2a48bf,Seg0023,Com0005
c29d5994,Seg0023,Com0007
a53a7548,Seg0023,Com0008
1980f35f,Seg0023,Com0010
da4ade84,4424436f,Com0002
87784ec0,Seg0026,Com0002
01185b19,Seg0026,Com0005
331a04a1,Seg0026,Com0010
bd0dee30,Seg0026,Com0011
831b9a5e,Seg0027,Com0001
ca179d37,Seg0027,Com0002
8587a9a9,Seg0027,Com0005
ba354206,Seg0027,Com0008
62f3e81c,Seg0027,Com0010
e3ff4676,Seg0029,Com0001
9863e4cd,Seg0029,Com0004
ab08f175,Seg0029,Com0005
1d952751,Seg0029,Com0007
ae14c652,Seg0029,Com0008
2487857a,Seg0029,Com0010
fcc515ec,Seg0033,Com0012
1e6b21d5,Seg0032,Com0012
15c45f01,Seg0025,Com0003
