ID,Cotización,Plan,UF Prima Afecta,UF Prima Exenta,UF Cuota,CLP Prima Afecta,CLP Prima Exenta,CLP Cuota,USD Prima Afecta,USD Prima Exenta,USD Cuota,Tasa Afecta,Tasa Exenta,Cambio Moneda
84aa2c0a,2f6462fa,plan0001,15.9,0,1.61,,,,,,,,,39934.33
83e9a71c,2f6462fa,plan0002,13.2,0,1.33,,,,,,,,,39934.33
68200464,2f6462fa,plan0004,11.03,0,1.12,,,,,,,,,39934.33
8f142cda,2f6462fa,plan0006,9.63,0,0.97,,,,,,,,,39934.33
2c224a79,9282f0a2,plan0001,2,0,2.38,,,,,,,0%,0%,39987.35
6a4c80ea,f5023eaf,plan0001,1.3,0,1.55,,,,,,,0%,0%,39987.35
2e1c9388,9545f24a,plan0004,9.1,0,0.9,,,,,,,0%,0%,40000.61
37e1ca0d,9d1a4d8a,plan0021,3.58,8.78,1.18,,,,,,,0%,0%,40013.88
187a9a1f,88243327,plan0001,15.23,0,1.51,,,,,,,0%,0%,40013.88
381063a9,88243327,plan0002,11.4,0,1.14,,,,,,,0%,0%,40013.88
78a3049a,88243327,plan0004,9.8,0,0.99,,,,,,,0%,0%,40013.88
9b3aaf38,88243327,plan0006,8.63,0,0.86,,,,,,,0%,0%,40013.88
a225dab6,5eb7179c,plan0021,2.48,6.08,0.82,,,,,,,0%,0%,40080.29
68909bc8,e34e12d1,plan0001,13.7,0,1.39,,,,,,,0%,0%,40093.59
6aedbe59,e34e12d1,plan0002,11.4,0,1.15,,,,,,,0%,0%,40093.59
10be63a0,e34e12d1,plan0004,9.1,0,0.92,,,,,,,0%,0%,40093.59
1a3055e8,e34e12d1,plan0006,8,0,0.81,,,,,,,0%,0%,40093.59
9d2bfec5,76d27fc5,plan0001,13.7,0,1.39,,,,,,,0%,0%,40120.2
1c607085,76d27fc5,plan0002,11.4,0,1.15,,,,,,,0%,0%,40120.2
032619b3,76d27fc5,plan0004,9.1,0,0.92,,,,,,,0%,0%,40120.2
4152451d,76d27fc5,plan0006,8,0,0.81,,,,,,,0%,0%,40120.2
96c88d20,6bf84959,plan0001,11.72,0,1.19,,,,,,,0%,0%,40120.2
1df03922,6bf84959,plan0002,8.27,0,0.84,,,,,,,0%,0%,40120.2
130f0ccb,6bf84959,plan0004,7.46,0,0.75,,,,,,,0%,0%,40120.2
5db7e493,6bf84959,plan0006,6.5,0,0.66,,,,,,,0%,0%,40120.2
ecd1233f,05a3f9b6,plan0001,12,0,1.19,,,,,,,0%,0%,40120.2
19a72e04,05a3f9b6,plan0002,10,0,1.01,,,,,,,0%,0%,40120.2
53f726ea,05a3f9b6,plan0004,8,0,0.83,,,,,,,0%,0%,40120.2
930ae7fe,05a3f9b6,plan0006,7,0,0.74,,,,,,,0%,0%,40120.2
5fcab6da,d89aca51,plan0001,16.72,0,1.69,,,,,,,0%,0%,40120.2
1c44800e,d89aca51,plan0002,11.95,0,1.21,,,,,,,0%,0%,40120.2
92ee84fa,d89aca51,plan0004,10.76,0,1.09,,,,,,,0%,0%,40120.2
1f626b00,d89aca51,plan0006,8.62,0,0.87,,,,,,,0%,0%,40120.2
a1508a8c,2020390e,plan0001,12.22,0,1.24,,,,,,,0%,0%,40120.2
32bb1ddc,2020390e,plan0002,9.68,0,0.98,,,,,,,0%,0%,40120.2
04fa056b,2020390e,plan0004,8.74,0,0.88,,,,,,,0%,0%,40120.2
0baa3e21,2020390e,plan0006,7.61,0,0.77,,,,,,,0%,0%,40120.2
a94b7668,787237f9,plan0001,14.19,0,1.41,,,,,,,0%,0%,40120.2
ad62b957,787237f9,plan0002,10.15,0,1.01,,,,,,,0%,0%,40120.2
d54d76ba,787237f9,plan0004,9.14,0,0.91,,,,,,,0%,0%,40120.2
5f0ab682,787237f9,plan0006,7.32,0,0.73,,,,,,,0%,0%,40120.2
d2ae92d5,1508f866,plan0001,16.18,0,1.65,,,,,,,0%,0%,40120.2
0688f4d4,1508f866,plan0002,11.57,0,1.15,,,,,,,0%,0%,40120.2
994744b9,1508f866,plan0004,10.42,0,1.07,,,,,,,0%,0%,40120.2
84fa7c0b,1508f866,plan0006,8.34,0,0.83,,,,,,,0%,0%,40120.2
45aab96b,0a7fbeb8,plan0001,,,,8990,,,,,,0%,0%,40173.46
