ID,Comentarios,Tipo Inmueble,Calle,Número,Detalles Dirección,Comuna,Uso,Ocupación,Zona,Distancia Agua,Tipo Construcción,N° Torres,N° Pisos,N° Subterráneos,N° Unidades,Año Construcción,Mt2 Construido,Adicional Inmueble,Espacios Comunes,Seguridad Incendio,Seguridad Robo,N° Trabajadores,Monto Edificio,Monto Contenidos,Monto Unidades,Monto Mercadería,Ficha
BMa0007,,Casa,Antonio Bellet,240,,Providencia,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0012,,Departamento,Pedro Lagos,1144,Depto 504,Santiago,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0016,,Oficina,Merced,156,Piso 3,Santiago,Comercial,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0021,,Casa,Av. Blest Gana,5871,Casa A,La Reina,Habitacional,Habitual,Urbana,Más de 50mts,,,,,,,,,,,,,"$2,000.00",,,,
BMa0022,,Departamento,Hamlet,4275,24,Las Condes,Habitacional,Habitual,Urbana,Menos de 50mts,,,,,,,,,,,,,"$1,200.00",,,,
BMa0023,,Departamento,Ernesto Hevia,5880,Depto 503,La Reina,Habitacional,Habitual,Urbana,Más de 50mts,,,,,,,,,,,,,"$1,800.00",,,,
BMa0032,,Departamento,Málaga,79,Depto 313,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0040,,Casa,Calle Contramaestre Micalvi,362,Condominio Las Balandras 723 Casa B5,El Quisco,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0086,,Casa,Cl. El Embalse,8847,,Peñalolén,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0087,,Departamento,Mar Tirreno,3360,Depto 408A,Peñalolén,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0089,,Departamento,Castillo Urizar,1850,Depto 1210,Ñuñoa,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0112,,Departamento,Cl. Hermanos Cabot,6767,Depto 86,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0113,,Departamento,Martin de Zamora,4237,Depto 1001,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0117,,Casa,Los Boldos,S/N,Parcela; Manzana 2,Santa Cruz,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0122,,Casa,Pastor Fernandez,17100,Casa A,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0125,,Oficina,Burgos,80,Oficina 601,Las Condes,Comercial,Habitual,,,,,,,,,,,,,,,,,,,
BMa0128,,Comunidad,Málaga,115,,Las Condes,Comercial,Habitual,Urbana,Más de 50mts,,,,,,,,,,"Red Húmeda , Sprinklers , Detector de Humo , Extintor","Guardias 24hr , Chapas de Seguridad , Alarma , CCTV",10,"$90,000.00",$500.00,"$60,000.00",,
BMa0136,,Casa,Las Peñas,3380,,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0137,,Casa,Las Peñas,3390,,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0138,,Casa,Las Peñas,3406,,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0139,,Comunidad,Málaga,146,,Las Condes,Habitacional,Habitual,Urbana,Más de 50mts,,,,,,,,,"Gimnasio , Piscina , Sala Multiuso","Extintor , Red Seca , Detector de Humo","CCTV , Alarma",6,"$68,000.00",,"$29,190.00",,
BMa0143,,Departamento,Francisco Puelma,26,Depto 203-40,Providencia,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0147,,Departamento,Dario Salas,511,Depto 1003,Coquimbo,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0149,,Departamento,Av. Americo Vespucio Sur,234,Depto 703,Las Condes,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0162,,Casa,Rucalhue,18123,,Lo Barnechea,Habitacional,Habitual,Urbana,,,,,,,,,,,,,,,,,,
BMa0174,,Bodega,Claudio Arrau,6910,Bodega 4,Pudahuel,Comercial,Habitual,,,,,,,,,,,,,,,,,,,
