ID,Comentarios,Tipo Otra,Materia Asegurada,Información Adicional,Vehículo,Inmueble,Ficha
BMa0000,,Cobertura Vehículo,RCI,,377169c1,,
BMa0001,,Cobertura Vehículo,RCI,,BMa0214,,
BMa0002,,,Garantía Corredores de Seguros,UF 500,,,
BMa0100,,,RC Empresa + Adicional F Quintana Cárdenas,Asegurado Adicional,,,
BMa0101,,,RC Vehicular en Exceso,,,,
BMa0110,,,AP 12 Trabajadores Innominados,,,,
BMa0129,,,AP 11 Trabajadores Nominados,,,,
BMa0130,,,RC General Studio III,,,,
BMa0146,,,RC General JFV E.I.R.L,,,,
BMa0151,,,RC General M Soledad Lavin,,,,
BMa0152,,,Asiento P 14 Asientos Mini Bus,,,,
BMa0155,,,RC General Di-Val,,,,
BMa0157,,,RC Corredores De Seguros,UF 750,,,
BMa0165,,,AP 6 Trabajadores Innominados,UF 2000,,,
BMa0184,,,AP Vida Guardias Seguridad,UF150*7,,,
BMa0185,,Cobertura Vehículo,RCI,USD40000,3b310c2d,,
BMa0186,,Cobertura Vehículo,RCI,USD40000,de075342,,
BMa0189,,Cobertura Vehículo,RCI,,ce894893,,
BMa0190,,,Asistencia en Viaje Conosur,,,,
212837cd,,Materia Nueva,Empresa General,13 Trabajadores,,,
15726b43,,Cobertura Inmueble,Espacios Comunes,,,BMa0128,
2ff0e71c,,Cobertura Inmueble,Unidades,,,BMa0128,
2fe1a1ff,,Materia Nueva,Catastrófico,UF10000,,,
7567a170,,Cobertura Vehículo,RC Auto,,f862952c,,
cc1cedb5,,Cobertura Vehículo,SOAP,,26ed91d9,,
58228770,,Cobertura Vehículo,SOAP,,8b219ecc,,
838dc2dc,,Cobertura Vehículo,SOAP,,53486a9a,,
d84d955c,,Cobertura Vehículo,Soap,,BMa0134,,
