ID,Comentarios,Categoría,Tipo Vehículo,Patente,Marca,Modelo,Año,Color,Motor,Chasis,Versión,Combustible,N° Serie,Factura,Guía Despacho,Papeles
BMa0003,,Liviano,Automóvil,SinPat001,Suzuki,Swift,2017,,K12MN1939568,MA3ZC62S1JAC44767,,,,,,
BMa0004,,Liviano,Furgón,SBBY64,Citroen,Berlingo,2022,Blanco,10JCAW0016034,VR7EF9HPAPJ505628,,,,,,
BMa0005,,Liviano,Automóvil,SinPat002,Chevrolet,Sail,2021,,L2B*210724195,LSGHD52H4MD146931,,,,,,
BMa0006,"Contactado el 20-01-26.
Interesado en mejorarle la oferta.
Estaba corto de tiempo, por lo que él se comunicará conmigo más adelante.
Volver a intgentar a mediados de Fecbrero/26",Liviano,Camioneta,RPXW79,Ssangyong,Musso,2022,Rojo,67296012786039,KPAXA1EESNP149283,,Diesel,,,,
BMa0008,,Liviano,Motocicleta,DKJ-53,Honda,CRF 1000,2017,Rojo,sd06e5001550,JH2SD06A2HK002224,,,,,,
BMa0009,Vendido,Liviano,Automóvil,JRTC50,Chevrolet,Sail,2017,,L2B170033360,LSGHD52HXHD147765,,,,,,
BMa0010,,Liviano,Automóvil,SinPat003,Volkswagen,Voyage,2021,,CFZ U99311,9BWDB45U2NT046634,,,,,,
BMa0011,,Liviano,Motocicleta,VFK039,KTM,Duke 200,2022,,N93608881,VBKJPC404NC037987,,,,,,
BMa0013,,Liviano,Automóvil,GVXS63,Mazda,2,2015,,ZYD24186,JM7DE10Y2F0287354,,Bencina,,,,
BMa0014,,Liviano,Motocicleta,SinPat004,B.M.W.,G310R,2023,,14222225,WB30G4106NRA36139,,,,,,
BMa0015,,Liviano,Automóvil,SFHH39,Chevrolet,Onix HB,2023,Gris,L4F221754332,9BGEY48K0PG155362,1.0T Premier AT P2,Bencina,,,,
BMa0017,,Liviano,Station Wagon,HVRF92,Kia,Gran Carnival,2016,,G6DFFS390712,KNAMC812BG6193173,,Bencina,,,,
BMa0018,,Liviano,Station Wagon,GYVD66,Suzuki,SX4,2015,,M16A-1851955,JS2YC21S1F6100187,,Bencina,,,,
BMa0019,ANS Cot 1059 Pendiente de comunicarse con cliente,Liviano,Station Wagon,PHXD35,Nissan,X Trail,2021,,QR25649742M,JN1JBAT32LW036961,,Bencina,,,,
