ID,Fecha Registro,Destinatario,Monto Nominal,Cobrado,Pagado,Diferencia Pagado/Nominal,C/UF Cobro,C/UF Pago,C/USD Cobro,C/USD Pago,Comentarios,Verificador Acción
b6d229d3,21/4/2026,rut0140,,,,,40000.61,,881.22,,,
12083796,27/4/2026,rut0001,,,,,40080.29,,895.07,,,FALSE
b6c12fc5,27/4/2026,rut0128,,,,,40080.29,,895.07,,,FALSE
4aad5640,27/4/2026,rut0048,,,,,40080.29,,895.07,,,FALSE
ecfbd925,27/4/2026,93df6c68,,,,,40080.29,,895.07,,,FALSE
c4fa007a,6/5/2026,93df6c68,,,,,40186.79,,910.01,,,FALSE
e2155ec7,6/5/2026,464df1c0,,,,,40200.12,,,,,FALSE
fac42444,6/5/2026,1d711659,,,,,40200.12,,,,,FALSE
63cdff57,7/5/2026,rut0057,,,,,40213.45,,892.83,,,FALSE
ef570299,11/5/2026,rut0135,,,,,40273.69,,890.89,,,FALSE
4137a2d8,11/5/2026,cb5f9788,,,,,40273.69,,890.89,,,FALSE
4e270d0d,11/5/2026,rut0096,,,,,40273.69,,890.89,,,FALSE
cobro02001,5/1/2026,,1153701,1153701,1150359,-3342,39823.98,39708.62,,,,FALSE
cobro02002,3/2/2026,,1192077,1188735,1193773,1696,,,,,,FALSE
cobro02003,2/3/2026,,1199677,1201373,1196478,-3199,,,,,"La diferencia que se cobró fue de -4895 por error.
No se alcanzó a corregir en mayo. Se correjirá en Junio",FALSE
cobro02004,30/3/2026,,1196845,1191950,1202444,5599,,,,,,FALSE
cobro02005,4/5/2026,,1210684,1211388,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
,,,,,,,,,,,,FALSE
