ID,Compañía,Tipo,Movimiento,Cantidad Documentos,Fecha Liquidación,N° Liquidación,Facturación,Monto Afecto,Monto Exento,Liquidación,Detalle,Comentarios
BCom0001,Com0001,Comisión,Factura,2,15/10/2022,15102022,Única,"$2,288",$0,/Gestión/Pólizas/Comisiones/BCom0001.Liquidación.172501.xlsx,/Gestión/Pólizas/Comisiones/BCom0001.Detalle.172501.xlsx,
BCom0002,Com0008,Comisión,Factura,1,11/11/2022,86642,Única,"$78,209.00",0,/Gestión/Pólizas/Comisiones/BCom0002.Liquidación.165127.pdf,/Gestión/Pólizas/Comisiones/BCom0002.Detalle.165127.xlsx,
BCom0003,Com0001,Comisión,Factura,1,15/11/2022,15112022,Única,"$100,640.00",0,/Gestión/Pólizas/Comisiones/BCom0003.Liquidación.174536.xlsx,/Gestión/Pólizas/Comisiones/BCom0003.Detalle.174536.xlsx,
BCom0004,Com0006,Comisión,Factura,1,15/11/2022,1,Única,"$63,294.00",0,/Gestión/Pólizas/Comisiones/BCom0004.Liquidación.182154.pdf,/Gestión/Pólizas/Comisiones/BCom0004.Detalle.182155.320.xlsx,
BCom0005,Com0001,Comisión,Factura,1,15/12/2022,15122022,Única,"$56,214.00",0,/Gestión/Pólizas/Comisiones/BCom0005.Liquidación.175648.xlsx,/Gestión/Pólizas/Comisiones/BCom0005.Detalle.175648.xlsx,
BCom0006,Com0006,Comisión,Factura,1,31/12/2022,2,Única,"$36,269.00",0,/Gestión/Pólizas/Comisiones/BCom0006.Liquidación.182320.pdf,/Gestión/Pólizas/Comisiones/BCom0006.Detalle.182320.160.xlsx,
BCom0007,Com0001,Comisión,Factura,2,15/1/2023,15012023,Única,"$22,588.00",0,/Gestión/Pólizas/Comisiones/BCom0007.Liquidación.175709.xlsx,/Gestión/Pólizas/Comisiones/BCom0007.Detalle.175709.xlsx,
BCom0008,Com0007,Comisión,Factura,1,30/1/2023,23012023,Separada,"$140,011.00",66634,/Gestión/Pólizas/Comisiones/BCom0008.Liquidación.170040.pdf,/Gestión/Pólizas/Comisiones/BCom0008.Detalle.170040.pdf,
BCom0009,Com0007,Comisión,Factura,1,9/2/2023,7022023,Única,"$88,712.00",0,/Gestión/Pólizas/Comisiones/BCom0009.Liquidación.170142.pdf,/Gestión/Pólizas/Comisiones/BCom0009.Detalle.170142.pdf,
BCom0010,Com0001,Comisión,Factura,5,15/2/2023,15022023,Única,"$164,551.00",0,/Gestión/Pólizas/Comisiones/BCom0010.Liquidación.175727.xlsx,/Gestión/Pólizas/Comisiones/BCom0010.Detalle.175727.xlsx,
BCom0011,Com0006,Comisión,Factura,1,15/2/2023,3,Única,"$94,676.00",0,/Gestión/Pólizas/Comisiones/BCom0011.Liquidación.182456.pdf,/Gestión/Pólizas/Comisiones/BCom0011.Detalle.182456.664.xlsx,
BCom0012,Com0007,Comisión,Factura,7,21/2/2023,21022023,Única,"$521,348.00",0,/Gestión/Pólizas/Comisiones/BCom0012.Liquidación.170222.pdf,/Gestión/Pólizas/Comisiones/BCom0012.Detalle.170222.pdf,
BCom0013,Com0008,Comisión,Factura,8,27/2/2023,89713,Única,"$737,018.00",0,/Gestión/Pólizas/Comisiones/BCom0013.Liquidación.183614.pdf,/Gestión/Pólizas/Comisiones/BCom0013.Detalle.183614.xlsx,
BCom0014,Com0007,Comisión,Factura,2,6/3/2023,6032023,Única,"$821,683.00",0,/Gestión/Pólizas/Comisiones/BCom0014.Liquidación.170300.pdf,/Gestión/Pólizas/Comisiones/BCom0014.Detalle.170300.pdf,
BCom0015,Com0008,Comisión,Factura,7,13/3/2023,90164,Única,"$832,405.00",0,/Gestión/Pólizas/Comisiones/BCom0015.Liquidación.185054.pdf,/Gestión/Pólizas/Comisiones/BCom0015.Detalle.185054.xlsx,
BCom0016,Com0001,Comisión,Factura,4,15/3/2023,15032023,Única,"$280,654.00",0,/Gestión/Pólizas/Comisiones/BCom0016.Liquidación.175753.xlsx,/Gestión/Pólizas/Comisiones/BCom0016.Detalle.175753.xlsx,
BCom0017,Com0007,Comisión,Factura,3,20/3/2023,20032023,Única,"$563,464.00",0,/Gestión/Pólizas/Comisiones/BCom0017.Liquidación.170334.pdf,/Gestión/Pólizas/Comisiones/BCom0017.Detalle.170334.pdf,
BCom0018,Com0007,Comisión,Factura,5,5/4/2023,5042023,Separada,"$82,373.00",16577,/Gestión/Pólizas/Comisiones/BCom0018.Liquidación.170412.pdf,/Gestión/Pólizas/Comisiones/BCom0018.Detalle.170412.pdf,
BCom0019,Com0001,Comisión,Factura,3,15/4/2023,15042023,Única,"$89,662.00",0,/Gestión/Pólizas/Comisiones/BCom0019.Liquidación.175814.xlsx,/Gestión/Pólizas/Comisiones/BCom0019.Detalle.175814.xlsx,
BCom0020,Com0007,Comisión,Factura,2,18/4/2023,18042023,Única,"$168,461.00",0,/Gestión/Pólizas/Comisiones/BCom0020.Liquidación.170445.pdf,/Gestión/Pólizas/Comisiones/BCom0020.Detalle.170445.pdf,
BCom0021,Com0008,Comisión,Factura,1,25/4/2023,91428,Única,"$50,624.00",0,/Gestión/Pólizas/Comisiones/BCom0021.Liquidación.185756.pdf,/Gestión/Pólizas/Comisiones/BCom0021.Detalle.185756.xlsx,
BCom0022,Com0006,Comisión,Factura,1,30/4/2023,4,Única,"$97,801.00",0,/Gestión/Pólizas/Comisiones/BCom0022.Liquidación.190715.pdf,/Gestión/Pólizas/Comisiones/BCom0022.Detalle.190715.383.xlsx,
BCom0023,Com0001,Comisión,Factura,1,15/5/2023,15052023,Única,"$143,452.00",0,/Gestión/Pólizas/Comisiones/BCom0023.Liquidación.175836.xlsx,/Gestión/Pólizas/Comisiones/BCom0023.Detalle.175836.xlsx,
BCom0024,Com0007,Comisión,Factura,2,22/6/2023,22062023,Única,"$142,840.00",0,/Gestión/Pólizas/Comisiones/BCom0024.Liquidación.170556.pdf,/Gestión/Pólizas/Comisiones/BCom0024.Detalle.170556.pdf,
BCom0025,Com0006,Comisión,Factura,1,30/6/2023,5,Única,"$214,797.00",0,/Gestión/Pólizas/Comisiones/BCom0025.Liquidación.161636.pdf,/Gestión/Pólizas/Comisiones/BCom0025.Detalle.161636.608.xlsx,
BCom0026,Com0004,Comisión,Factura,1,30/6/2023,17422,Única,"$119,240.00",0,/Gestión/Pólizas/Comisiones/BCom0026.Liquidación.160221.pdf,/Gestión/Pólizas/Comisiones/BCom0026.Detalle.160221.xlsx,
BCom0027,Com0005,Comisión,Factura,2,30/6/2023,30062023,Única,"$122,396.00",0,/Gestión/Pólizas/Comisiones/BCom0027.Liquidación.164845.pdf,/Gestión/Pólizas/Comisiones/BCom0027.Detalle.164845.xlsx,
BCom0028,Com0006,Comisión,Factura,4,15/7/2023,6,Única,"$1,717,098.00",0,/Gestión/Pólizas/Comisiones/BCom0028.Liquidación.162407.347.pdf,/Gestión/Pólizas/Comisiones/BCom0028.Detalle.162407.347.xlsx,
BCom0029,Com0006,Comisión,Factura,2,15/7/2023,Esp01,Única,"$1,110,237.00",0,/Gestión/Pólizas/Comisiones/BCom0029.Liquidación.162644.182.pdf,/Gestión/Pólizas/Comisiones/BCom0029.Detalle.162644.182.xlsx,
BCom0030,Com0007,Comisión,Factura,2,20/7/2023,20072023,Única,"$158,185.00",0,/Gestión/Pólizas/Comisiones/BCom0030.Liquidación.170630.pdf,/Gestión/Pólizas/Comisiones/BCom0030.Detalle.170630.pdf,
BCom0031,Com0006,Comisión,Factura,1,31/7/2023,7,Separada,"$7,566.00",48278,/Gestión/Pólizas/Comisiones/BCom0031.Liquidación.163000.454.pdf,/Gestión/Pólizas/Comisiones/BCom0031.Detalle.163000.454.xlsx,
BCom0032,Com0006,Comisión,Factura,6,15/8/2023,8,Separada,"$332,459.00",93494,/Gestión/Pólizas/Comisiones/BCom0032.Liquidación.165534.884.pdf,/Gestión/Pólizas/Comisiones/BCom0032.Detalle.165534.884.xlsx,
BCom0033,Com0006,Comisión,Saldo,1,31/8/2023,9,,"-$13,384.00",-41959,/Gestión/Pólizas/Comisiones/BCom0033.Liquidación.170636.pdf,/Gestión/Pólizas/Comisiones/BCom0033.Detalle.170636.pdf,
BCom0034,Com0006,Comisión,Saldo,1,31/8/2023,Esp02,,"-$448,534.00",0,/Gestión/Pólizas/Comisiones/BCom0034.Liquidación.171031.pdf,/Gestión/Pólizas/Comisiones/BCom0034.Detalle.171031.pdf,
