ID,Registro,Fecha Cot,Vigencia,N° Cot,Producto,Monto Asegurado,Forma de Pago,Cuotas,Descuento Adicional,Promoción,PDF,Aceptada?,Plan Aceptado,Recomendada?,Deducible Recomendado,Comentarios
Cot0001,Neg0001,18/1/2023,15,35646773,Pro0077,,,,,,,TRUE,,,,
Cot0002,Neg0002,18/1/2023,15,763,Pro0007,,,,,,,TRUE,,,,
Cot0003,Neg0003,24/1/2023,15,1754494,Pro0045,,,,,,,TRUE,,,,
Cot0004,Neg0004,25/1/2023,15,1755255,Pro0047,,,,,,,TRUE,,,,
Cot0005,Neg0005,2/2/2023,15,1783004,Pro0047,,,,,,,TRUE,,,,
Cot0006,Neg0006,13/2/2023,15,1786802,Pro0047,,,,,,,TRUE,,,,
Cot0007,Neg0007,8/2/2023,15,1788466,Pro0047,,,,,,,TRUE,,,,
Cot0008,Neg0008,9/2/2023,15,800822,Pro0043,,,,,,,TRUE,,,,
Cot0009,Neg0009,21/2/2023,15,36178928,Pro0078,,,,,,,TRUE,,,,
Cot0010,Neg0010,24/2/2023,15,36278794,Pro0077,,,,,,,TRUE,,,,
Cot0011,Neg0011,28/2/2023,15,803030,Pro0043,,,,,,,TRUE,,,,
Cot0012,Neg0012,2/3/2023,15,36406286,Pro0078,,,,,,,TRUE,,,,
Cot0013,Neg0013,8/3/2023,15,804148,Pro0073,,,,,,,TRUE,,,,
Cot0014,Neg0014,8/3/2023,15,1813684,Pro0047,,,,,,,TRUE,,,,
Cot0015,Neg0015,15/3/2023,15,1828426,Pro0047,,,,,,,TRUE,,,,
Cot0016,Neg0016,3/4/2023,15,1860233,Pro0047,,,,,,,TRUE,,,,
Cot0017,Neg0017,14/4/2023,15,809766,Pro0043,,,,,,,TRUE,,,,
Cot0018,Neg0018,17/4/2023,15,37736729,Pro0078,,,,,,,TRUE,,,,
Cot0019,Neg0019,8/5/2023,15,38303400,Pro0078,,,,,,,TRUE,,,,
Cot0020,Neg0020,12/5/2023,15,1928118,Pro0048,,,,,,,TRUE,,,,
Cot0021,Neg0021,2/6/2023,15,4151091,Pro0063,,,,,,,TRUE,,,,
Cot0022,Neg0022,6/6/2023,15,6198015,Pro0024,,,,,,,TRUE,,,,
Cot0023,Neg0023,7/6/2023,15,1971285,Pro0047,,,,,,,TRUE,,,,
Cot0024,Neg0024,8/6/2023,15,1974283,Pro0047,,,,,,,TRUE,,,,
Cot0025,Neg0025,16/6/2023,15,2001936,Pro0047,,,,,,,TRUE,,,,
Cot0026,Neg0026,16/6/2023,15,2003528,Pro0047,,,,,,,TRUE,,,,
Cot0027,Neg0027,16/6/2023,15,2003754,Pro0047,,,,,,,TRUE,,,,
Cot0028,Neg0028,12/6/2023,15,2010367,Pro0047,,,,,,,TRUE,,,,
Cot0029,Neg0029,16/6/2023,15,2001957,Pro0047,,,,,,,TRUE,,,,
Cot0030,Neg0030,13/6/2023,15,8319504,Pro0019,,,,,,,TRUE,,,,
Cot0031,Neg0031,16/6/2023,15,46,Pro0020,,,,,,,TRUE,,,,
Cot0032,Neg0032,28/6/2023,15,49,Pro0033,,,,,,,TRUE,,,,
Cot0033,Neg0033,3/7/2023,15,78944255,Pro0002,,,,,,,TRUE,,,,
Cot0034,Neg0034,6/7/2023,15,39979746,Pro0016,,,,,,,TRUE,,,,
Cot0035,Neg0035,20/9/2023,15,1032582,Pro0047,,,,,,,TRUE,,,,
Cot0036,Neg0036,1/8/2023,15,5291516,Pro0042,,,,,,,TRUE,,,,
Cot0037,Neg0037,2/8/2023,15,3082023-1,Pro0024,,,,,,,TRUE,,,,
Cot0038,Neg0038,2/8/2023,15,3082023-2,Pro0024,,,,,,,TRUE,,,,
Cot0039,Neg0039,2/8/2023,15,3082023-3,Pro0024,,,,,,,TRUE,,,,
Cot0040,Neg0040,2/8/2023,15,8323082,Pro0019,,,,,,,TRUE,,,,
Cot0041,Neg0041,31/8/2023,15,1016835,Pro0047,,,,,,,TRUE,,,,
Cot0042,Neg0042,17/8/2023,15,1003015,Pro0047,,,,,,,TRUE,,,,
Cot0043,Neg0043,17/8/2023,15,41254898,Pro0077,,,,,,,TRUE,,,,
Cot0044,Neg0044,21/8/2023,15,1006698,Pro0047,,,,,,,TRUE,,,,
Cot0045,Neg0045,3/10/2023,15,1044296,Pro0047,,,,,,,TRUE,,,,
Cot0046,Neg0046,3/10/2023,15,4297875,Pro0058,,,,,,,TRUE,,,,
Cot0047,Neg0047,11/10/2023,15,20231011-1,Pro0048,,,,,,,TRUE,,,,
