ID,Control Pago,Plan de Pago,N° Cuota,Vencimiento,Valor UF,Valor CLP,Valor USD,Fecha Pago,Monto $,N° Ingreso,Pago,Recibo,Factura,Cursado,FA Enviada,Cobrada,Cobro Automático,Cobrar?,Comentarios
Cuo0001,Directo,Doc0001,1/1,28/3/2023,12.69,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0002,Directo,Doc0002,1/1,28/3/2023,12.69,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0003,Directo,Doc0003,1/1,14/5/2023,1.79,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0004,,Doc0004,1/12,2/7/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0005,,Doc0004,2/12,2/8/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0006,,Doc0004,3/12,2/9/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0007,,Doc0004,4/12,2/10/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0008,,Doc0004,5/12,2/11/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0009,,Doc0004,6/12,2/12/2022,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0010,,Doc0004,7/12,2/1/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0011,,Doc0004,8/12,2/2/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0012,,Doc0004,9/12,2/3/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0013,,Doc0004,10/12,2/4/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0014,,Doc0004,11/12,2/5/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0015,,Doc0004,12/12,2/6/2023,2.46,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0016,,Doc0005,1/1,1/8/2023,-29.52,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0017,Directo,Doc0006,1/12,25/7/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0018,Directo,Doc0006,2/12,25/8/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0019,Directo,Doc0006,3/12,25/9/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0020,Directo,Doc0006,4/12,25/10/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0021,Directo,Doc0006,5/12,25/11/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0022,Directo,Doc0006,6/12,25/12/2022,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0023,Directo,Doc0006,7/12,25/1/2023,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0024,Directo,Doc0006,8/12,25/2/2023,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0025,Directo,Doc0006,9/12,25/3/2023,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0026,Directo,Doc0006,10/12,25/4/2023,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0027,Directo,Doc0006,11/12,25/5/2023,0.95,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0028,Directo,Doc0006,12/12,25/6/2023,0.97,,,,,,,,,FALSE,FALSE,TRUE,,FALSE,
Cuo0029,,Doc0007,1/12,20/7/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0030,,Doc0007,2/12,20/8/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0031,,Doc0007,3/12,20/9/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0032,,Doc0007,4/12,20/10/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0033,,Doc0007,5/12,20/11/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0034,,Doc0007,6/12,20/12/2022,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0035,,Doc0007,7/12,20/1/2023,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0036,,Doc0007,8/12,20/2/2023,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0037,,Doc0007,9/12,20/3/2023,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0038,,Doc0007,10/12,20/4/2023,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
Cuo0039,,Doc0007,11/12,20/5/2023,0.84,,,,,,,,,FALSE,FALSE,FALSE,,FALSE,
