ID,Póliza,Fecha Emisión,Tipo Documento,I Vigencia,F Vigencia,N° Documento,N° Cuotas,% Comisión Afecta,% Comisión Exenta,Cotización,PDF,Otros Archivos,Tipo Inspección,N° Inspección,Comisión?,Requiere Doc?,Invalidar Diferencia?,Enviado?,Comentarios,Traspaso Info 1,Traspaso Info 2
Doc0001,Pol0003,23/2/2023,Póliza,23/2/2023,26/2/2023,QP1022309,1,10.00%,0.00%,,/Gestión/Pólizas/Documentos/Doc0001.PDF.184908.pdf,,,,TRUE,TRUE,FALSE,TRUE,PDF,,
Doc0002,Pol0004,23/2/2023,Póliza,23/2/2023,26/2/2023,QP1022267,1,10.00%,0.00%,,/Gestión/Pólizas/Documentos//Doc0002.PDF.161437.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0003,Pol0005,30/8/2022,Póliza,30/8/2022,14/4/2023,1257060,1,0.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1257060.pdf,,,,FALSE,TRUE,FALSE,TRUE,PDF,,
Doc0004,Pol0006,2/7/2022,Póliza,2/7/2022,2/7/2023,3032054,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3032054.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0005,Pol0006,2/7/2022,Anulación,2/7/2022,2/7/2023,1,1,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3032054 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0006,Pol0007,15/7/2022,Póliza,15/7/2022,15/7/2023,234963,12,3.00%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 234963.pdf,,,,FALSE,TRUE,FALSE,TRUE,Revisar comisión en detalle,,
Doc0007,Pol0008,20/7/2022,Póliza,20/7/2022,20/7/2023,3032055,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3032055.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0008,Pol0008,20/7/2022,Anulación,20/7/2022,20/7/2023,1,1,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3032055 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0009,Pol0009,2/8/2022,Póliza,2/8/2022,2/8/2023,252911,12,3.00%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 252911.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0010,Pol0009,2/8/2022,Anulación,2/8/2022,2/8/2023,1,1,3.00%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 252911 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0011,Pol0010,11/8/2022,Póliza,11/8/2022,11/8/2023,QP0984519,12,4.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0984519.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0012,Pol0010,11/8/2022,Anulación,11/8/2022,11/8/2023,1,1,4.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0984519 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0013,Pol0011,22/8/2022,Póliza,22/8/2022,22/8/2023,QP0985855,12,2.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0985855.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0014,Pol0012,3/9/2022,Póliza,3/9/2022,3/9/2023,3034235,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3034235.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0015,Pol0012,3/9/2022,Anulación,3/9/2022,3/9/2023,1,1,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3034235 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0016,Pol0013,6/9/2022,Póliza,6/9/2022,6/9/2023,299088,12,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 299088.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0017,Pol0013,6/9/2022,Anulación,6/9/2022,6/9/2023,1,1,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 299088 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0018,Pol0014,7/9/2022,Póliza,7/9/2022,7/9/2023,QP0988607,12,2.00%,0.00%,,/Gestión/Pólizas/Documentos//Doc0018.PDF.192357.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0019,Pol0014,11/2/2023,Cancelación,11/2/2023,7/9/2023,1,1,2.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0988607 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0020,Pol0015,9/9/2022,Póliza,9/9/2022,9/9/2023,QP0985942,12,10.00%,10.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0985942.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0021,Pol0016,13/9/2022,Póliza,13/9/2022,13/9/2023,3034234,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3034234.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0022,Pol0017,15/9/2022,Póliza,15/9/2022,15/9/2023,QP0991513,12,2.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0991513.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0023,Pol0018,22/9/2022,Póliza,22/9/2022,22/9/2023,1264260,6,14.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1264260.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0024,Pol0019,30/9/2022,Póliza,30/9/2022,30/9/2023,QP0985956,10,12.00%,12.00%,,/Gestión/Pólizas/Documentos//Doc0024.PDF.181419.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0025,Pol0020,4/10/2022,Póliza,4/10/2022,4/10/2023,3036817,12,3.20%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3036817.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0026,Pol0021,13/10/2022,Póliza,13/10/2022,13/10/2023,3036700,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3036700.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0027,Pol0021,13/10/2022,Anulación,13/10/2022,13/10/2023,1,1,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3036700 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0028,Pol0022,20/10/2022,Póliza,20/10/2022,20/10/2023,3154959,12,7.50%,0.00%,,/Gestión/Pólizas/Documentos//Doc0028.PDF.200036.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0029,Pol0022,20/10/2022,Anulación,20/10/2022,20/10/2023,1,1,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 3154959 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0030,Pol0023,4/11/2022,Póliza,4/11/2022,4/11/2023,61616845,11,10.00%,0.00%,,/Gestión/Pólizas/Documentos/Liberty Pol 61616845.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0031,Pol0024,4/11/2022,Póliza,4/11/2022,4/11/2023,18000121-7,5,23.00%,23.00%,,/Gestión/Pólizas/Documentos/Consorcio Pol 18000121-7.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0032,Pol0025,4/11/2022,Póliza,4/11/2022,4/11/2023,18000122-7,3,23.00%,23.00%,,/Gestión/Pólizas/Documentos/Consorcio Pol 18000122-7.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0033,Pol0026,4/11/2022,Póliza,4/11/2022,4/11/2023,18000123-7,5,23.00%,23.00%,,/Gestión/Pólizas/Documentos/Consorcio Pol 18000123-7.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0034,Pol0027,5/11/2022,Póliza,5/11/2022,5/11/2023,QP0999896,12,2.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0999896.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0035,Pol0027,5/11/2022,Anulación,5/11/2022,5/11/2023,1,1,2.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP0999896 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0036,Pol0028,14/11/2022,Póliza,14/11/2022,14/11/2023,QP998011,10,10.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP998011.pdf,,,,TRUE,TRUE,TRUE,TRUE,,,
Doc0037,Pol0029,21/11/2022,Póliza,21/11/2022,21/11/2023,QP1006093,12,2.95%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP1006093.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0038,Pol0030,22/11/2022,Póliza,22/11/2022,22/11/2023,QP1006210,12,2.80%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP1006210.pdf,,,,FALSE,TRUE,FALSE,TRUE,ByT,,
Doc0039,Pol0031,23/11/2022,Póliza,23/11/2022,23/11/2023,6552049,12,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 6552049.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0040,Pol0031,23/11/2022,Anulación,23/11/2022,23/11/2023,1,1,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 6552049 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0041,Pol0032,27/11/2022,Póliza,27/11/2022,27/11/2023,6552047,12,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 6552047.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0042,Pol0033,13/12/2022,Póliza,13/12/2022,13/12/2023,61637993,11,7.93%,0.00%,,/Gestión/Pólizas/Documentos/Liberty Pol 61637993.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0043,Pol0034,14/12/2022,Póliza,14/12/2022,14/12/2023,100048738,8,9.00%,9.00%,,/Gestión/Pólizas/Documentos/Reale Pol 100048738.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0044,Pol0035,18/12/2022,Póliza,18/12/2022,18/12/2023,QP1010983,1,4.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP1010983.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0045,Pol0036,21/12/2022,Póliza,21/12/2022,21/12/2023,6567182,12,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 6567182.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0046,Pol0036,21/12/2022,Anulación,21/12/2022,21/12/2023,1,1,7.50%,0.00%,,/Gestión/Pólizas/Documentos/Zurich Pol 6567182 End.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0047,Pol0037,22/12/2022,Póliza,22/12/2022,22/12/2023,QP1012551,12,10.00%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP1012551.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0048,Pol0038,22/12/2022,Póliza,22/12/2022,22/12/2023,300305851,10,13.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300305851.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0049,Pol0039,29/12/2022,Póliza,29/12/2022,29/12/2023,3038286,12,8.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 3038286.pdf,,,,FALSE,TRUE,FALSE,TRUE,,,
Doc0050,Pol0040,19/1/2023,Póliza,19/1/2023,19/1/2024,QP1016526,12,2.85%,0.00%,,/Gestión/Pólizas/Documentos/BCI Pol QP1016526.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0051,Pol0041,22/1/2023,Póliza,22/1/2023,22/1/2024,300316206,10,12.00%,0.00%,Cot0002,/Gestión/Pólizas/Documentos/Reale Pol 300316206.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0052,Pol0041,7/6/2023,Exclusión,7/6/2023,22/1/2024,2,1,12.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300316206 End 2.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0053,Pol0042,25/1/2023,Póliza,25/1/2023,25/1/2024,100050650,10,17.00%,17.00%,Cot0003,/Gestión/Pólizas/Documentos/Reale Pol 100050650.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0054,Pol0043,31/1/2023,Póliza,31/1/2023,31/1/2024,300316312,10,13.00%,0.00%,Cot0004,/Gestión/Pólizas/Documentos/Reale Pol 300316312.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0055,Pol0044,31/1/2023,Póliza,31/1/2023,31/1/2024,300319630,10,11.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300319630.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0056,Pol0045,31/1/2023,Póliza,31/1/2023,31/1/2024,300316568,10,11.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300316568.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0057,Pol0046,31/1/2023,Póliza,31/1/2023,31/1/2024,300319760,10,11.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300319760.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0058,Pol0047,31/1/2023,Póliza,31/1/2023,31/1/2024,1298313,10,14.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1298313.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0059,Pol0048,31/1/2023,Póliza,31/1/2023,31/1/2024,300320704,10,16.00%,0.00%,,/Gestión/Pólizas/Documentos/Reale Pol 300320704.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0060,Pol0049,31/1/2023,Póliza,31/1/2023,31/1/2024,1299088,10,12.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1299088.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0061,Pol0050,31/1/2023,Póliza,31/1/2023,31/1/2024,1299085,10,14.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1299085.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0062,Pol0051,31/1/2023,Póliza,31/1/2023,31/1/2024,1301967,10,14.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1301967.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
Doc0063,Pol0052,31/1/2023,Póliza,31/1/2023,31/1/2024,1299083,10,12.00%,0.00%,,/Gestión/Pólizas/Documentos/Renta Pol 1299083.pdf,,,,TRUE,TRUE,FALSE,TRUE,,,
