ID,Documento,Base Materia,Uso,Deducible,Item,Afecta UF,Exenta UF,Afecta CLP,Exenta CLP,Afecta USD,Exenta USD,Monto Asegurado,Tasa Afecta,Tasa Exenta,Fecha Exclusión,Comentarios
Mat0001,Doc0001,BMa0000,Particular,plan0001,1,,,"$8,890.00",$0.00,,,,,,,
Mat0002,Doc0002,BMa0001,Particular,plan0001,1,,,"$8,890.00",$0.00,,,,,,,
Mat0003,Doc0003,BMa0002,Comercial,plan0001,1,2.41,0.00,,,,,,,,,
Mat0004,Doc0004,BMa0003,Particular,plan0001,1,24.08,0.00,,,,,,,,,
Mat0006,Doc0006,BMa0004,Particular,plan0005,1,9.59,0.00,,,,,,,,,
Mat0007,Doc0007,BMa0005,Particular,plan0004,1,8.45,0.00,,,,,,,,,
c4db192c,0980ba0c,15726b43,Comercial,plan0019,1,31.51,126.00,,,,,90000,,,,
Mat0009,Doc0009,BMa0006,Particular,plan0003,1,17.89,0.00,,,,,,,,,
0abcf79f,d8b60874,1eba0546,Particular,plan0001,1,2.89,0.00,,,,,,,,,
Mat0011,Doc0011,BMa0007,Particular,plan0001,1,3.63,0.00,,,,,,,,,
dd1f521c,bfe14e40,7d83fd85,Particular,plan0001,1,2.54,6.40,,,,,4200,,,,
Mat0013,Doc0013,BMa0008,Particular,plan0016,1,8.20,0.00,,,,,,,,,
Mat0014,Doc0014,BMa0009,Particular,plan0004,1,17.11,0.00,,,,,,,,,
7256305c,ad723b68,8275b80c,Particular,plan0004,1,8.74,0.00,,,,,,,,,
Mat0016,Doc0016,BMa0010,Particular,plan0003,1,15.93,0.00,,,,,,,,,
10c03aac,938b5ef3,b5f32842,Particular,plan0004,1,-15.39,0.00,,,,,,,,,
Mat0018,Doc0018,BMa0011,Particular,plan0024,1,10.00,0.00,,,,,,,,,
Mat0005,Doc0005,BMa0003,Particular,plan0001,1,-24.08,0.00,,,,,,,,,
Mat0020,Doc0020,BMa0012,Particular,plan0001,1,1.76,4.61,,,,,,,,,
Mat0021,Doc0021,BMa0013,Particular,plan0006,1,14.43,0.00,,,,,,,,,
Mat0022,Doc0022,BMa0014,Particular,plan0001,1,7.30,0.00,,,,,,,,,
Mat0023,Doc0023,BMa0015,Particular,plan0002,1,16.04,0.00,,,,,,,,,
Mat0024,Doc0024,BMa0016,Comercial,plan0016,1,5.40,5.75,,,,,,,,,
Mat0025,Doc0025,BMa0017,Particular,plan0006,1,13.77,0.00,,,,,,,,,
Mat0026,Doc0026,BMa0018,Particular,plan0004,1,14.29,0.00,,,,,,,,,
Mat0214,Doc0158,BMa0004,Particular,plan0005,1,-12.87,0.00,,,,,,,,,
Mat0028,Doc0028,BMa0019,Particular,plan0005,1,18.03,0.00,,,,,,,,,
Mat0008,Doc0008,BMa0005,Particular,plan0004,1,-8.45,0.00,,,,,,,,,
Mat0030,Doc0030,BMa0020,Particular,plan0002,1,18.20,0.00,,,,,,,,,
Mat0031,Doc0031,BMa0021,Particular,plan0001,1,2.86,2.86,,,,,,,,,
Mat0032,Doc0032,BMa0022,Particular,plan0001,1,1.69,1.55,,,,,,,,,
Mat0033,Doc0033,BMa0023,Particular,plan0001,1,2.36,2.33,,,,,,,,,
Mat0034,Doc0034,BMa0024,Particular,plan0001,1,9.10,0.00,,,,,,,,,
Mat0010,Doc0010,BMa0006,Particular,plan0003,1,-17.89,0.00,,,,,,,,,
Mat0036,Doc0036,BMa0025,Comercial,plan0016,1,12.00,0.00,,,,,,,,,
Mat0037,Doc0037,BMa0026,Particular,plan0004,1,20.65,0.00,,,,,,,,,
Mat0038,Doc0038,BMa0027,Particular,plan0004,1,14.44,0.00,,,,,,,,,
Mat0039,Doc0039,BMa0028,Particular,plan0003,1,19.18,0.00,,,,,,,,,
Mat0012,Doc0012,BMa0007,Particular,plan0001,1,-3.63,0.00,,,,,,,,,
Mat0041,Doc0041,BMa0029,Particular,plan0003,1,15.34,0.00,,,,,,,,,
Mat0042,Doc0042,BMa0030,Particular,plan0004,1,12.99,0.00,,,,,,,,,
Mat0043,Doc0043,BMa0174,Comercial,plan0019,1,44.09,20.98,,,,,,,,,
Mat0044,Doc0044,BMa0032,Particular,plan0001,1,4.53,0.00,,,,,,,,,
Mat0045,Doc0045,BMa0033,Particular,plan0003,1,21.01,0.00,,,,,,,,,
Mat0648,Doc0506,BMa0008,Particular,plan0016,1,-8.13,0.00,,,,,,,,,
Mat0047,Doc0047,BMa0034,Particular,plan0006,1,16.00,0.00,,,,,,,,,
Mat0048,Doc0048,BMa0035,Particular,plan0002,1,19.39,0.00,,,,,,,,,
Mat0049,Doc0049,BMa0036,Particular,plan0002,1,23.52,0.00,,,,,,,,,
Mat0050,Doc0050,BMa0037,Particular,plan0006,1,16.57,0.00,,,,,,,,,
Mat0051,Doc0051,BMa0198,Comercial,plan0001,1,8.30,0.00,,,,,,,,,
Mat0052,Doc0051,BMa0199,Comercial,plan0001,2,8.30,0.00,,,,,,,,,
Mat0053,Doc0051,BMa0200,Comercial,plan0001,3,8.30,0.00,,,,,,,,,
Mat0054,Doc0051,BMa0201,Comercial,plan0001,4,11.04,0.00,,,,,,,,,
Mat0055,Doc0051,BMa0202,Comercial,plan0001,5,12.00,0.00,,,,,,,,,
Mat0056,Doc0051,BMa0203,Comercial,plan0001,6,13.03,0.00,,,,,,,,,
Mat0057,Doc0051,BMa0204,Comercial,plan0001,7,8.30,0.00,,,,,,,,,
Mat0058,Doc0051,BMa0205,Comercial,plan0001,8,8.30,0.00,,,,,,,,,
Mat0059,Doc0051,BMa0206,Comercial,plan0001,9,12.00,0.00,,,,,,,,,
Mat0060,Doc0051,BMa0207,Comercial,plan0001,10,12.00,0.00,,,,,,,,,
Mat0061,Doc0051,BMa0208,Comercial,plan0001,11,12.00,0.00,,,,,,,,,
Mat0062,Doc0051,BMa0039,Comercial,plan0001,12,10.06,0.00,,,,,,,,,
Mat0063,Doc0051,BMa0209,Comercial,plan0001,13,8.93,0.00,,,,,,,,,
Mat0064,Doc0051,BMa0210,Comercial,plan0001,14,10.48,0.00,,,,,,,,,
Mat0065,Doc0051,BMa0211,Comercial,plan0001,15,7.83,0.00,,,,,,,,,
Mat0066,Doc0051,BMa0212,Comercial,plan0001,16,11.47,0.00,,,,,,,,,
Mat0067,Doc0051,BMa0213,Comercial,plan0001,17,10.58,0.00,,,,,,,,,
Mat0015,Doc0015,BMa0009,Particular,plan0004,1,-17.11,0.00,,,,,,,,,
Mat0069,Doc0053,BMa0040,Particular,plan0001,1,2.55,2.74,,,,,,,,,
Mat0070,Doc0054,BMa0041,Particular,plan0004,1,19.59,0.00,,,,,,,,,
Mat0071,Doc0055,BMa0042,Particular,plan0004,1,14.55,0.00,,,,,,,,,
Mat0072,Doc0056,BMa0043,Particular,plan0006,1,11.85,0.00,,,,,,,,,
Mat0073,Doc0057,BMa0044,Particular,plan0006,1,19.00,0.00,,,,,,,,,
Mat0074,Doc0058,BMa0045,Particular,plan0006,1,12.22,0.00,,,,,,,,,
Mat0075,Doc0059,BMa0169,Particular,plan0006,1,14.45,0.00,,,,,,,,,
Mat0076,Doc0060,BMa0046,Particular,plan0001,1,15.31,0.00,,,,,,,,,
Mat0077,Doc0061,BMa0047,Particular,plan0006,1,11.43,0.00,,,,,,,,,
Mat0078,Doc0062,BMa0048,Particular,plan0004,1,36.60,0.00,,,,,,,,,
Mat0079,Doc0063,BMa0049,Particular,plan0001,1,11.59,0.00,,,,,,,,,
Mat0080,Doc0064,BMa0050,Particular,plan0006,1,30.73,0.00,,,,,,,,,
Mat0081,Doc0065,BMa0051,Particular,plan0001,1,22.95,0.00,,,,,,,,,
Mat0082,Doc0066,BMa0052,Particular,plan0006,1,29.24,0.00,,,,,,,,,
Mat0083,Doc0067,BMa0053,Particular,plan0001,1,34.98,0.00,,,,,,,,,
Mat0084,Doc0068,BMa0054,Particular,plan0002,1,14.56,0.00,,,,,,,,,
Mat0085,Doc0069,BMa0055,Particular,plan0006,1,20.51,0.00,,,,,,,,,
Mat0086,Doc0070,BMa0056,Particular,plan0001,1,18.27,0.00,,,,,,,,,
Mat0087,Doc0071,BMa0057,Particular,plan0002,1,14.69,0.00,,,,,,,,,
Mat0088,Doc0072,BMa0058,Particular,plan0006,1,22.68,0.00,,,,,,,,,
Mat0089,Doc0073,BMa0059,Particular,plan0001,1,24.79,0.00,,,,,,,,,
Mat0090,Doc0074,BMa0060,Particular,plan0001,1,17.96,0.00,,,,,,,,,
Mat0091,Doc0075,BMa0061,Particular,plan0002,1,11.70,0.00,,,,,,,,,
Mat0092,Doc0076,BMa0062,Particular,plan0004,1,12.53,0.00,,,,,,,,,
Mat0093,Doc0077,BMa0062,Particular,plan0004,1,12.53,0.00,,,,,,,,,
Mat0094,Doc0078,BMa0063,Particular,plan0004,1,13.41,0.00,,,,,,,,,
Mat0017,Doc0017,BMa0010,Particular,plan0003,1,-15.93,0.00,,,,,,,,,
Mat0019,Doc0019,BMa0011,Particular,plan0024,1,-10.00,0.00,,,,,,,,,
Mat0234,Doc0168,BMa0013,Particular,plan0006,1,-14.35,0.00,,,,,,,,,
Mat0236,Doc0170,BMa0014,Particular,plan0001,1,-7.26,0.00,,,,,,,,,
Mat0099,Doc0083,BMa0064,Particular,plan0008,1,75.55,0.00,,,,,,,,,
Mat0100,Doc0084,BMa0063,Particular,plan0004,1,13.41,0.00,,,,,,,,,
Mat0101,Doc0085,BMa0048,Particular,plan0004,1,16.00,0.00,,,,,,,,,
Mat0102,Doc0086,BMa0065,Particular,plan0004,1,11.49,0.00,,,,,,,,,
Mat0446,Doc0339,BMa0015,Particular,plan0004,1,-16.43,0.00,,,,,,,,,
Mat0104,Doc0088,BMa0066,Particular,plan0004,1,9.11,0.00,,,,,,,,,
Mat0683,Doc0515,BMa0017,Particular,plan0006,1,-15.43,0.00,,,,,,,,,
Mat0106,Doc0090,BMa0067,Particular,plan0004,1,12.06,0.00,,,,,,,,,
Mat0107,Doc0091,BMa0068,Particular,plan0004,1,15.36,0.00,,,,,,,,,
Mat0027,Doc0027,BMa0018,Particular,plan0004,1,-14.29,0.00,,,,,,,,,
Mat0109,Doc0093,BMa0069,Particular,plan0004,1,9.81,0.00,,,,,,,,,
Mat0110,Doc0094,BMa0070,Particular,plan0004,1,9.24,0.00,,,,,,,,,
Mat0111,Doc0095,BMa0071,Particular,plan0004,1,9.72,0.00,,,,,,,,,
Mat0112,Doc0096,BMa0072,Particular,plan0004,1,9.29,0.00,,,,,,,,,
Mat0029,Doc0029,BMa0019,Particular,plan0005,1,-18.03,0.00,,,,,,,,,
Mat0574,Doc0453,BMa0020,Particular,plan0002,1,-18.20,0.00,,,,,,,,,
Mat0115,Doc0099,BMa0073,Particular,plan0004,1,13.42,0.00,,,,,,,,,
Mat0035,Doc0035,BMa0024,Particular,plan0001,1,-9.10,0.00,,,,,,,,,
Mat0465,Doc0358,BMa0026,Particular,plan0004,1,-22.72,0.00,,,,,,,,,
Mat0471,Doc0364,BMa0027,Particular,plan0004,1,-14.44,0.00,,,,,,,,,
Mat0119,Doc0103,BMa0074,Particular,plan0004,1,6.46,0.00,,,,,,,,,
Mat0120,Doc0104,BMa0075,Particular,plan0002,1,5.59,0.00,,,,,,,,,
Mat0040,Doc0040,BMa0028,Particular,plan0003,1,-19.18,0.00,,,,,,,,,
Mat0122,Doc0106,BMa0076,Particular,plan0004,1,6.21,0.00,,,,,,,,,
Mat0123,Doc0107,BMa0077,Particular,plan0002,1,6.68,0.00,,,,,,,,,
Mat0124,Doc0108,BMa0078,Particular,plan0004,1,6.36,0.00,,,,,,,,,
Mat0267,Doc0201,BMa0029,Particular,plan0003,1,-21.48,0.00,,,,,,,,,
Mat0697,Doc0529,BMa0029,Particular,plan0002,1,-18.24,0.00,,,,,,,,,
Mat0272,Doc0206,BMa0030,Particular,plan0002,1,-10.80,0.00,,,,,,,,,
Mat0128,Doc0112,BMa0079,Particular,plan0004,1,0.45,0.00,,,,,,,,,
Mat0129,Doc0113,BMa0080,Particular,plan0008,1,20.23,0.00,,,,,,,,,
Mat0130,Doc0114,BMa0054,Particular,plan0002,1,14.56,0.00,,,,,,,,,
Mat0046,Doc0046,BMa0033,Particular,plan0003,1,-21.01,0.00,,,,,,,,,
Mat0591,Doc0473,BMa0034,Particular,plan0006,1,-15.96,0.00,,,,,,,,,
Mat0133,Doc0117,BMa0081,Particular,plan0001,1,7.30,0.00,,,,,,,,,
Mat0632,Doc0495,BMa0035,Particular,plan0002,1,-19.28,0.00,,,,,,,,,
Mat0135,Doc0119,BMa0082,Particular,plan0019,1,8.20,0.00,,,,,,,,,
Mat0486,Doc0379,BMa0036,Particular,plan0004,1,-15.23,0.00,,,,,,,,,
Mat0137,Doc0121,BMa0083,Particular,plan0006,1,55.38,0.00,,,,,,,,,
Mat0492,Doc0385,BMa0037,Particular,plan0006,1,-16.57,0.00,,,,,,,,,
Mat0139,Doc0123,BMa0084,Particular,plan0004,1,14.59,0.00,,,,,,,,,
Mat0140,Doc0124,BMa0085,Particular,plan0004,1,16.57,0.00,,,,,,,,,
Mat0141,Doc0125,BMa0086,Particular,plan0001,1,3.70,6.04,,,,,,,,,
Mat0142,Doc0126,BMa0087,Particular,plan0001,1,3.56,4.72,,,,,,,,,
Mat0143,Doc0127,BMa0088,Particular,plan0006,1,29.14,0.10,,,,,,,,,
Mat0068,Doc0052,BMa0039,Comercial,plan0001,12,-10.06,0.00,,,,,,,,,
Mat0145,Doc0129,BMa0002,Comercial,plan0001,1,1.30,0.00,,,,,,,,,
Mat0146,Doc0130,BMa0089,Particular,plan0001,1,3.56,4.23,,,,,3850,,,,
Mat0147,Doc0131,BMa0090,Comercial,plan0002,1,20.80,0.00,,,,,,,,,
Mat0148,Doc0132,BMa0091,Particular,plan0004,1,15.07,0.00,,,,,,,,,
Mat0149,Doc0133,BMa0092,Particular,plan0004,1,26.38,0.00,,,,,,,,,
Mat0150,Doc0134,BMa0093,Comercial,plan0004,1,39.08,0.00,,,,,,,,,
Mat0151,Doc0135,BMa0094,Particular,plan0001,1,5.86,0.00,,,,,,,,,
Mat0152,Doc0136,BMa0095,Comercial,plan0002,1,28.42,0.00,,,,,,,,,
Mat0285,Doc0219,BMa0040,Particular,plan0001,1,-2.95,-3.55,,,,,,,,,
Mat0154,Doc0138,BMa0096,Comercial,plan0006,1,45.50,0.00,,,,,,,,,
Mat0544,Doc0423,BMa0041,Particular,plan0004,1,-18.39,0.00,,,,,,,,,
Mat0156,Doc0140,BMa0093,Comercial,plan0019,1,7.45,0.00,,,,,500,,,,
Mat0157,Doc0140,BMa0119,Comercial,plan0019,2,7.45,0.00,,,,,500,,,,
Mat0158,Doc0140,BMa0120,Comercial,plan0019,3,7.45,0.00,,,,,500,,,,
Mat0159,Doc0140,BMa0154,Comercial,plan0019,5,7.45,0.00,,,,,500,,,,
Mat0160,Doc0140,BMa0231,Comercial,plan0019,4,7.45,0.00,,,,,500,,,,
Mat0161,Doc0140,BMa0230,Comercial,plan0019,6,7.45,0.00,,,,,500,,,,
Mat0162,Doc0141,BMa0096,Comercial,plan0016,1,18.38,0.00,,,,,,,,,
Mat0163,Doc0142,BMa0098,Particular,plan0006,1,46.94,0.00,,,,,,,,,
Mat0164,Doc0143,BMa0232,Comercial,plan0016,1,10.00,0.00,,,,,500,,,,
Mat0165,Doc0143,BMa0246,Comercial,plan0016,2,10.00,0.00,,,,,500,,,,
Mat0166,Doc0143,BMa0247,Comercial,plan0016,3,18.00,0.00,,,,,2000,,,,
Mat0167,Doc0143,BMa0234,Comercial,plan0016,4,10.00,0.00,,,,,740,,,,
Mat0168,Doc0143,BMa0248,Comercial,plan0016,5,16.20,0.00,,,,,1800,,,,
Mat0169,Doc0143,BMa0235,Comercial,plan0016,6,16.20,0.00,,,,,1800,,,,
Mat0170,Doc0143,BMa0236,Comercial,plan0016,7,16.20,0.00,,,,,1800,,,,
Mat0171,Doc0143,BMa0249,Comercial,plan0016,8,16.20,0.00,,,,,1800,,,,
Mat0172,Doc0143,BMa0250,Comercial,plan0016,9,16.20,0.00,,,,,1800,,,,
Mat0173,Doc0143,BMa0251,Comercial,plan0016,10,13.50,0.00,,,,,1500,,,,
Mat0174,Doc0143,BMa0239,Comercial,plan0016,11,13.50,0.00,,,,,1500,,,,
Mat0175,Doc0144,BMa0100,Comercial,plan0019,1,74.59,0.00,,,,,,,,,
Mat0176,Doc0145,BMa0101,Comercial,plan0019,1,12.28,0.00,,,,,,,,,
Mat0177,Doc0146,BMa0232,Comercial,plan0006,1,12.00,0.00,,,,,,,,,
Mat0178,Doc0146,BMa0233,Comercial,plan0006,2,33.75,0.00,,,,,,,,,
Mat0179,Doc0146,BMa0234,Comercial,plan0006,3,15.00,0.00,,,,,400,,,,
Mat0180,Doc0146,BMa0235,Comercial,plan0006,4,15.00,0.00,,,,,,,,,
Mat0181,Doc0146,BMa0236,Comercial,plan0006,5,15.00,0.00,,,,,,,,,
Mat0182,Doc0146,BMa0237,Comercial,plan0006,6,51.75,0.00,,,,,,,,,
Mat0183,Doc0146,BMa0238,Comercial,plan0006,7,51.75,0.00,,,,,,,,,
Mat0184,Doc0146,BMa0239,Comercial,plan0006,8,15.00,0.00,,,,,,,,,
Mat0185,Doc0146,BMa0240,Comercial,plan0006,9,51.75,0.00,,,,,,,,,
Mat0186,Doc0146,BMa0241,Comercial,plan0006,10,18.00,0.00,,,,,450,,,,
Mat0187,Doc0146,BMa0242,Comercial,plan0006,11,51.75,0.00,,,,,,,,,
Mat0188,Doc0146,BMa0243,Comercial,plan0006,12,51.75,0.00,,,,,,,,,
Mat0189,Doc0146,BMa0244,Comercial,plan0006,13,18.00,0.00,,,,,500,,,,
Mat0190,Doc0146,BMa0245,Comercial,plan0006,14,20.50,0.00,,,,,550,,,,
Mat0191,Doc0147,BMa0103,Comercial,plan0006,15,40.27,0.00,,,,,2200,,,,
Mat0338,Doc0257,BMa0043,Particular,plan0006,1,-16.27,0.00,,,,,,,,,
Mat0346,Doc0265,BMa0043,Particular,plan0006,1,-14.60,0.00,,,,,,,,,
Mat0125,Doc0109,BMa0044,Particular,plan0006,1,-19.00,0.00,,,,,,,,,
Mat0348,Doc0267,BMa0045,Particular,plan0006,1,-13.34,0.00,,,,,,,,,
Mat0426,Doc0329,BMa0045,Particular,plan0006,1,-22.86,0.00,,,,,,,,,
Mat0097,Doc0081,BMa0047,Particular,plan0006,1,-11.43,0.00,,,,,,,,,
Mat0098,Doc0082,BMa0048,Particular,plan0004,1,-36.60,0.00,,,,,,,,,
Mat0547,Doc0426,BMa0048,Particular,plan0004,1,-17.75,0.00,,,,,,,,,
Mat0105,Doc0089,BMa0049,Particular,plan0001,1,-11.59,0.00,,,,,,,,,
Mat0201,Doc0150,BMa0106,Comercial,plan0006,16,40.27,0.00,,,,,2200,,,,
Mat0116,Doc0100,BMa0051,Particular,plan0001,1,-22.95,0.00,,,,,,,,,
Mat0121,Doc0105,BMa0052,Particular,plan0006,1,-29.24,0.00,,,,,,,,,
Mat0131,Doc0115,BMa0054,Particular,plan0002,1,-14.56,0.00,,,,,,,,,
Mat0205,Doc0152,BMa0108,Comercial,plan0006,17,45.76,0.00,,,,,2500,,,,
Mat0343,Doc0262,BMa0054,Particular,plan0002,1,-13.62,0.00,,,,,,,,,
Mat0108,Doc0092,BMa0055,Particular,plan0006,1,-20.51,0.00,,,,,,,,,
Mat0546,Doc0425,BMa0056,Particular,plan0001,1,-18.27,0.00,,,,,,,,,
Mat0126,Doc0110,BMa0057,Particular,plan0002,1,-14.69,0.00,,,,,,,,,
Mat0210,Doc0154,BMa0110,Comercial,plan0019,1,9.11,0.00,,,,,,,,,
Mat0211,Doc0155,BMa0111,Comercial,plan0002,1,19.91,0.00,,,,,,,,,
Mat0212,Doc0156,BMa0112,Particular,plan0019,1,5.32,14.26,,,,,,,,,
Mat0213,Doc0157,BMa0004,Particular,plan0005,1,12.88,0.00,,,,,,,,,
Mat0342,Doc0261,BMa0058,Particular,plan0006,1,-22.56,0.00,,,,,,,,,
Mat0215,Doc0159,BMa0112,Particular,plan0019,1,4.42,14.48,,,,,,,,,
Mat0216,Doc0160,BMa0113,Particular,plan0004,1,2.23,14.15,,,,,,,,,
Mat0217,Doc0161,BMa0114,Particular,plan0002,1,19.53,0.00,,,,,,,,,
Mat0345,Doc0264,BMa0058,Particular,plan0006,1,-17.39,0.00,,,,,,,,,
Mat0219,Doc0163,BMa0235,Comercial,plan0016,1,14.00,0.00,,,,,2000,,,,
Mat0220,Doc0163,BMa0236,Comercial,plan0016,2,14.00,0.00,,,,,2000,,,,
Mat0221,Doc0163,BMa0239,Comercial,plan0016,3,14.00,0.00,,,,,2000,,,,
Mat0222,Doc0163,BMa0240,Comercial,plan0016,0,0.00,0.00,,,,,,,,,Especificado en Pol
Mat0223,Doc0163,BMa0241,Comercial,plan0016,4,14.00,0.00,,,,,2000,,,,
Mat0224,Doc0163,BMa0242,Comercial,plan0016,0,0.00,0.00,,,,,,,,,Especificado en Pol
Mat0225,Doc0163,BMa0244,Comercial,plan0016,5,14.00,0.00,,,,,2000,,,,
Mat0226,Doc0163,BMa0245,Comercial,plan0016,6,14.00,0.00,,,,,2000,,,,
Mat0227,Doc0163,BMa0103,Comercial,plan0016,0,0.00,0.00,,,,,,,,,Especificado en Pol
Mat0228,Doc0163,BMa0106,Comercial,plan0016,0,0.00,0.00,,,,,,,,,Especificado en Pol
Mat0229,Doc0163,BMa0108,Comercial,plan0016,0,0.00,0.00,,,,,,,,,Especificado en Pol
Mat0230,Doc0164,BMa0116,Particular,plan0004,1,17.71,0.00,,,,,,,,,
Mat0231,Doc0165,BMa0008,Particular,plan0016,1,8.16,0.00,,,,,,,,,
Mat0232,Doc0166,BMa0012,Particular,plan0001,1,1.75,4.60,,,,,,,,,
Mat0233,Doc0167,BMa0013,Particular,plan0006,1,14.35,0.00,,,,,,,,,
Mat0127,Doc0111,BMa0060,Particular,plan0001,1,-17.96,0.00,,,,,,,,,
Mat0235,Doc0169,BMa0014,Particular,plan0001,1,7.26,0.00,,,,,,,,,
Mat0095,Doc0079,BMa0062,Particular,plan0004,1,-12.53,0.00,,,,,,,,,
Mat0237,Doc0171,BMa0015,Particular,plan0002,1,15.95,0.00,,,,,,,,,
Mat0238,Doc0172,BMa0117,Particular,plan0001,1,2.83,0.00,,,,,,,,,
Mat0239,Doc0173,BMa0017,Particular,plan0006,1,15.07,0.00,,,,,,,,,
Mat0240,Doc0174,BMa0095,Comercial,plan0002,1,21.78,0.00,,,,,,,,,
Mat0096,Doc0080,BMa0063,Particular,plan0004,1,-13.41,0.00,,,,,,,,,
Mat0242,Doc0176,BMa0118,Particular,plan0002,1,18.59,0.00,,,,,,,,,
Mat0243,Doc0177,BMa0119,Comercial,plan0004,1,28.77,0.00,,,,,,,,,
Mat0244,Doc0178,BMa0120,Comercial,plan0004,1,28.77,0.00,,,,,,,,,
Mat0340,Doc0259,BMa0063,Particular,plan0004,1,-14.33,0.00,,,,,,,,,
Mat0246,Doc0180,BMa0121,Particular,plan0002,1,16.69,0.00,,,,,,,,,
Mat0247,Doc0181,BMa0020,Particular,plan0002,1,18.10,0.00,,,,,,,,,
Mat0248,Doc0182,BMa0021,Particular,plan0001,1,2.84,2.85,,,,,,,,,
Mat0249,Doc0183,BMa0022,Particular,plan0001,1,1.68,1.55,,,,,,,,,
Mat0250,Doc0184,BMa0023,Particular,plan0001,1,2.35,2.32,,,,,,,,,
Mat0251,Doc0185,BMa0122,Comercial,plan0019,1,5.30,2.01,,,,,850,,,,
Mat0545,Doc0424,BMa0063,Particular,plan0004,1,-12.42,0.00,,,,,,,,,
Mat0253,Doc0187,BMa0123,Particular,plan0004,1,13.22,0.00,,,,,,,,,
Mat0254,Doc0188,BMa0025,Comercial,plan0016,1,11.93,0.00,,,,,,,,,
Mat0255,Doc0189,BMa0124,Particular,plan0001,1,35.00,0.00,,,,,,,,,
Mat0256,Doc0190,BMa0026,Particular,plan0004,1,22.72,0.00,,,,,,,,,
Mat0257,Doc0191,BMa0027,Particular,plan0004,1,14.36,0.00,,,,,,,,,
Mat0258,Doc0192,BMa0125,Comercial,plan0019,1,4.31,2.81,,,,,,,,,
Mat0260,Doc0194,BMa0126,Particular,plan0002,1,24.11,0.00,,,,,,,,,
Mat0337,Doc0256,BMa0064,Particular,plan0008,1,-115.99,0.00,,,,,,,,,
Mat0262,Doc0196,BMa0127,Comercial,plan0002,1,20.60,0.00,,,,,,,,,
Mat0263,Doc0197,BMa0128,Comercial,plan0019,1,74.79,174.00,,,,,150000,,,,
