ID,Activo?,Documento,N° Plan Pago,Fecha Documento,N° Cuotas,Afecta UF,Exenta UF,Afecta CLP,Exenta CLP,Afecta USD,Exenta USD,Valor Cuota,N° Cuota Distinta,Valor Cutoa Distinta,Vcto Cuota 0,Vcto Cuota 1,PDF,Firmado?,Enviado?,Recibo Envío,Comentarios,Cargado Cuota?
Doc0001,TRUE,Doc0001,.,23/2/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0002,TRUE,Doc0002,.,23/2/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0003,TRUE,Doc0003,.,30/8/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0004,FALSE,Doc0004,.,2/7/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0005,FALSE,Doc0005,.,2/7/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0006,TRUE,Doc0006,.,15/7/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0007,FALSE,Doc0007,.,20/7/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0008,FALSE,Doc0008,.,20/7/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0009,FALSE,Doc0009,.,2/8/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0010,FALSE,Doc0010,.,2/8/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0011,FALSE,Doc0011,.,11/8/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0012,FALSE,Doc0012,.,11/8/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0013,TRUE,Doc0013,.,22/8/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0014,FALSE,Doc0014,.,3/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0015,FALSE,Doc0015,.,3/9/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0016,FALSE,Doc0016,.,6/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0017,FALSE,Doc0017,.,6/9/2022,1,,,,,,,,,,,,,,,,,FALSE
Doc0018,TRUE,Doc0018,.,7/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0019,TRUE,Doc0019,.,11/2/2023,1,,,,,,,,,,,,,,,,,FALSE
Doc0020,TRUE,Doc0020,.,9/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0021,TRUE,Doc0021,.,13/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0022,TRUE,Doc0022,.,15/9/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0023,TRUE,Doc0023,.,22/9/2022,6,,,,,,,,,,,,,,,,,FALSE
Doc0024,TRUE,Doc0024,.,30/9/2022,10,,,,,,,,,,,,,,,,,FALSE
Doc0025,TRUE,Doc0025,.,4/10/2022,12,,,,,,,,,,,,,,,,,FALSE
Doc0026,FALSE,Doc0026,.,13/10/2022,12,,,,,,,,,,,,,,,,,FALSE
