ID,Producto,% Comisión Afecta,% Comisión Exenta,Ejecutivo,Estado Seguro,Fecha Emisión,I Vigencia,F Vigencia,N° Póliza,Cliente,Contratante,Pagador,Moneda,Forma de Pago,N° Cuotas,Mandato,Otros Archivos,Comisión?,Renovar?,Pago Activo?,Recotizar?,Fecha Cancelación,Comentarios,Verificador Traspaso
Pol0001,Pro0071,10.00%,0.00%,Eje0001,Ok,18/10/2022,18/10/2022,22/10/2022,QP996906,Cli0084,rut0122,rut0122,USD,Directa,1,,,TRUE,FALSE,FALSE,,,,
Pol0002,Pro0071,10.00%,0.00%,Eje0001,Ok,18/10/2022,18/10/2022,22/10/2022,QP996907,Cli0084,rut0122,rut0122,USD,Directa,1,,,TRUE,FALSE,FALSE,,,,
Pol0003,Pro0071,10.00%,0.00%,Eje0001,Ok,23/2/2023,23/2/2023,26/2/2023,QP1022309,Cli0126,rut0192,rut0192,CLP,Directa,1,,,TRUE,FALSE,FALSE,,,,
Pol0004,Pro0071,10.00%,0.00%,Eje0001,Ok,23/2/2023,23/2/2023,26/2/2023,QP1022267,Cli0122,rut0186,rut0186,CLP,Directa,1,,,TRUE,FALSE,FALSE,,,,
Pol0005,Pro0079,0.00%,0.00%,Eje0003,Ok,30/8/2022,30/8/2022,14/4/2023,1257060,Cli0029,rut0037,rut0037,UF,Directa,1,,,FALSE,TRUE,FALSE,,,,
Pol0006,Pro0010,8.00%,0.00%,Eje0003,Anulado,2/7/2022,2/7/2022,2/7/2023,3032054,Cli0078,rut0114,rut0114,UF,Directa,12,,,FALSE,FALSE,FALSE,,,,
Pol0007,Pro0008,3.00%,0.00%,Eje0005,Ok,15/7/2022,15/7/2022,15/7/2023,234963,Cli0069,rut0101,rut0101,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0008,Pro0010,8.00%,0.00%,Eje0003,Anulado,20/7/2022,20/7/2022,20/7/2023,3032055,Cli0031,rut0040,rut0040,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0009,Pro0008,3.00%,0.00%,Eje0005,Anulado,2/8/2022,2/8/2022,2/8/2023,252911,Cli0021,rut0026,rut0026,UF,Directa,12,,,FALSE,FALSE,FALSE,,,,
Pol0010,Pro0040,4.00%,0.00%,Eje0001,Anulado,11/8/2022,11/8/2022,11/8/2023,QP0984519,Cli0011,rut0012,rut0012,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0011,Pro0053,2.00%,0.00%,Eje0001,Ok,22/8/2022,22/8/2022,22/8/2023,QP0985855,Cli0024,rut0029,rut0029,UF,PAT,12,,,FALSE,TRUE,FALSE,,,,
Pol0012,Pro0010,8.00%,0.00%,Eje0003,Anulado,3/9/2022,3/9/2022,3/9/2023,3034235,Cli0086,rut0125,rut0125,UF,Directa,12,,,FALSE,FALSE,FALSE,,,,
Pol0013,Pro0008,7.50%,0.00%,Eje0005,Anulado,6/9/2022,6/9/2022,6/9/2023,299088,Cli0047,rut0068,rut0068,UF,Directa,12,,,FALSE,FALSE,FALSE,,,,
Pol0014,Pro0052,2.00%,0.00%,Eje0001,Cancelado,7/9/2022,7/9/2022,7/9/2023,QP0988607,Cli0100,rut0141,rut0141,UF,PAT,12,,,FALSE,FALSE,FALSE,,11/2/2023,,
Pol0015,Pro0041,10.00%,10.00%,Eje0001,Ok,9/9/2022,9/9/2022,9/9/2023,QP0985942,Cli0018,rut0023,rut0023,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0016,Pro0010,8.00%,0.00%,Eje0003,Ok,13/9/2022,13/9/2022,13/9/2023,3034234,Cli0059,rut0083,rut0083,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0017,Pro0053,2.00%,0.00%,Eje0001,Ok,15/9/2022,15/9/2022,15/9/2023,QP0991513,Cli0048,rut0069,rut0069,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0018,Pro0065,14.00%,0.00%,Eje0003,Ok,22/9/2022,22/9/2022,22/9/2023,1264260,Cli0117,rut0174,rut0174,UF,Directa,6,,,TRUE,TRUE,FALSE,,,,
strhrsthert,d8298774,10.00%,0.00%,5c3c14d2,Ok,5/8/2023,25/9/2023,25/9/2024,2651414-1,Cli0102,rut0146,ffd0ab77,UF,PAT,12,,,TRUE,TRUE,TRUE,,,,
Pol0019,Pro0064,12.00%,12.00%,Eje0001,Ok,30/9/2022,30/9/2022,30/9/2023,QP0985956,Cli0028,rut0035,rut0035,UF,Directa,10,,,FALSE,TRUE,FALSE,,,,
Pol0020,Pro0010,3.20%,0.00%,Eje0003,Ok,4/10/2022,4/10/2022,4/10/2023,3036817,Cli0070,rut0102,rut0102,UF,Directa,12,,,FALSE,TRUE,FALSE,,,,
Pol0021,Pro0010,8.00%,0.00%,Eje0003,Anulado,13/10/2022,13/10/2022,13/10/2023,3036700,Cli0058,rut0081,rut0081,UF,Directa,12,,,FALSE,FALSE,FALSE,,,,
Pol0022,Pro0008,7.50%,0.00%,Eje0005,Anulado,20/10/2022,20/10/2022,20/10/2023,3154959,Cli0002,rut0000,rut0000,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0023,Pro0012,10.00%,0.00%,Eje0004,Ok,4/11/2022,4/11/2022,4/11/2023,61616845,Cli0050,rut0071,rut0071,UF,PAC,11,,,TRUE,TRUE,FALSE,,,,
Pol0024,Pro0038,23.00%,23.00%,Eje0011,Ok,4/11/2022,4/11/2022,4/11/2023,18000121-7,Cli0052,rut0074,rut0074,UF,Directa,5,,,FALSE,TRUE,FALSE,,,,
Pol0025,Pro0038,23.00%,23.00%,Eje0011,Ok,4/11/2022,4/11/2022,4/11/2023,18000122-7,Cli0052,rut0074,rut0074,UF,Directa,3,,,FALSE,TRUE,FALSE,,,,
Pol0026,Pro0038,23.00%,23.00%,Eje0011,Ok,4/11/2022,4/11/2022,4/11/2023,18000123-7,Cli0052,rut0074,rut0074,UF,Directa,5,,,FALSE,TRUE,FALSE,,,,
Pol0027,Pro0053,2.00%,0.00%,Eje0001,Anulado,5/11/2022,5/11/2022,5/11/2023,QP0999896,Cli0038,rut0051,rut0051,UF,PAT,12,,,FALSE,FALSE,FALSE,,,,
Pol0028,Pro0029,10.00%,0.00%,Eje0001,Ok,14/11/2022,14/11/2022,14/11/2023,QP998011,Cli0032,rut0041,rut0041,UF,Directa,10,,,TRUE,TRUE,FALSE,,,,
Pol0029,Pro0011,2.95%,0.00%,Eje0001,Ok,21/11/2022,21/11/2022,21/11/2023,QP1006093,Cli0072,rut0105,rut0105,UF,PAT,12,,,TRUE,TRUE,FALSE,,,,
Pol0030,Pro0011,2.80%,0.00%,Eje0001,Ok,22/11/2022,22/11/2022,22/11/2023,QP1006210,Cli0034,rut0044,rut0044,UF,PAT,12,,,FALSE,TRUE,FALSE,,,,
