ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Pol0003,11/2/2022,Traspaso,,,,Ok,,Individual,Seg0019,,,FALSE,FALSE,rut0192,rut0192,Cli0126,,,UF,,,,,,,10.00%,0.00%,Directa,,,,,,,,,21/2/2022,,
Pol0004,11/2/2022,Traspaso,,,,Ok,,Individual,Seg0019,,,FALSE,FALSE,rut0186,rut0186,Cli0122,,,UF,,,,,,,10.00%,0.00%,Directa,,,,,,,,,21/2/2022,,
Pol0006,17/6/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0114,rut0114,Cli0078,,,UF,,,,,,,8.00%,0.00%,Directa,,,,,,,,,27/6/2022,,
Pol0007,30/6/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0101,rut0101,Cli0069,,,UF,,,,,,,3.00%,0.00%,Directa,,,,,,,,,10/7/2022,,
Pol0008,5/7/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0040,rut0040,Cli0031,,,UF,,,,,,,8.00%,0.00%,PAT,,,,,,,,,15/7/2022,,
Pol0009,18/7/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0026,rut0026,Cli0021,,,UF,,,,,,,3.00%,0.00%,Directa,,,,,,,,,28/7/2022,,
Pol0010,27/7/2022,Traspaso,,,,Ok,,Individual,Seg0014,,,FALSE,FALSE,rut0012,rut0012,Cli0011,,,UF,,,,,,,4.00%,0.00%,PAT,,,,,,,,,6/8/2022,,
Pol0011,7/8/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0029,rut0029,Cli0024,,,UF,,,,,,,2.00%,0.00%,PAT,,,,,,,,,17/8/2022,,
Pol0012,19/8/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0125,rut0125,Cli0086,,,UF,,,,,,,8.00%,0.00%,Directa,,,,,,,,,29/8/2022,,
Pol0013,22/8/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0068,rut0068,Cli0047,,,UF,,,,,,,7.50%,0.00%,Directa,,,,,,,,,1/9/2022,,
Pol0014,23/8/2022,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0141,rut0141,Cli0100,,,UF,,,,,,,2.00%,0.00%,PAT,,,,,,,,,2/9/2022,,
Pol0015,25/8/2022,Traspaso,,,,Ok,,Individual,Seg0014,,,FALSE,FALSE,rut0023,rut0023,Cli0018,,,UF,,,,,,,10.00%,10.00%,Directa,,,,,,,,,4/9/2022,,
