ID,Documento,Tipo,Movimiento,Fecha Emisión,Glosa,Item,Recibo,N° Endoso,PDF Folio,PDF Endoso,PDF Recibo,Condiciones,Solicitud Finalizada?,Impresión PDF,Comentarios
Sol0001,Doc0042,Propuesta,Nueva,13/12/2022,Plan DM + RC UF 5 JGXB52 Suzuki Baleno 2017,,11046284,,/Gestión/Pólizas/Solicitudes/13-12-22 Sol0001 Pol 61637993.pdf,,,,TRUE,Impreso,Folio Antiguo P001
Sol0002,Doc0051,Propuesta,Nueva,18/1/2023,Cuenta Rent-A-Car Jorge Faunes,,230119-002789,,/Gestión/Pólizas/Solicitudes/18-01-23 Sol0002 Pol 300316206.pdf,,,,TRUE,Impreso,Folio Antiguo P002
Sol0003,Doc0055,Propuesta,Nueva,31/1/2023,"Renovación en iguales condiciones, más cambio de corredor",,230131-000212,,/Gestión/Pólizas/Solicitudes/31-01-23 Sol0003 Pol 300319630.pdf,,,,TRUE,Impreso,Folio Antiguo P003
Sol0004,Doc0056,Propuesta,Nueva,31/1/2023,"Renovación en iguales condiciones, más cambio de corredor",,230131-000248,,/Gestión/Pólizas/Solicitudes/31-01-23 Sol0004 Pol 300316568.pdf,,,,TRUE,Impreso,Folio Antiguo P004
Sol0005,Doc0057,Propuesta,Nueva,31/1/2023,"Renovación en iguales condiciones, más cambio de corredor",,230131-000269,,/Gestión/Pólizas/Solicitudes/31-01-23 Sol0005 Pol 300319760.pdf,,,,TRUE,Impreso,Folio Antiguo P005
Sol0006,Doc0058,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0006 Pol 1298313.pdf,,,,TRUE,Impreso,Folio Antiguo P006
Sol0007,Doc0059,Propuesta,Nueva,1/2/2023,Ingreso a convenio nuevo,,230201-000594,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0007 Pol 300320704.pdf,,,,TRUE,Impreso,Folio Antiguo P007
Sol0008,Doc0060,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0008 Pol 1299088.pdf,,,,TRUE,Impreso,Folio Antiguo P008
Sol0009,Doc0061,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0009 Pol 1299085.pdf,,,,TRUE,Impreso,Folio Antiguo P009
Sol0010,Doc0063,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0010 Pol 1299083.pdf,,,,TRUE,Impreso,Folio Antiguo P011
Sol0011,Doc0064,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0011 Pol 1298683.pdf,,,,TRUE,Impreso,Folio Antiguo P012
Sol0012,Doc0065,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0012 Pol 1299667.pdf,,,,TRUE,Impreso,Folio Antiguo P013
Sol0013,Doc0066,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0013 Pol 1301966.pdf,,,,TRUE,Impreso,Folio Antiguo P014
Sol0014,Doc0067,Propuesta,Renovación,1/2/2023,Renovar y cambiar de corredor.,,Okay,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0014 Pol 1301965.pdf,,,,TRUE,Impreso,Folio Antiguo P015
Sol0015,Doc0068,Propuesta,Nueva,1/2/2023,Ingreso a convenio nuevo,,230201-001686,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0015 Pol 300405315.pdf,,,,TRUE,Impreso,Folio Antiguo P016
Sol0016,Doc0069,Propuesta,Nueva,1/2/2023,"Nueva póliza por traspaso de cartera.
Reemplaza póliza 61649893",,11166776,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0016 Pol 61657607.pdf,,,,TRUE,Impreso,Folio Antiguo P017
Sol0017,Doc0070,Propuesta,Nueva,1/2/2023,Ingreso a convenio nuevo,,230201-002029,,/Gestión/Pólizas/Solicitudes/01-02-23 Sol0017 Pol 300320685.pdf,,,,TRUE,Impreso,Folio Antiguo P018
Sol0018,Doc0072,Propuesta,Nueva,6/2/2023,Ingreso a convenio nuevo,,230206-002251,,/Gestión/Pólizas/Solicitudes/06-02-23 Sol0018 Pol 300320844.pdf,,,,TRUE,Impreso,Folio Antiguo P019
Sol0019,Doc0073,Propuesta,Renovación,6/2/2023,Renueva con Cambio de Corredor,,Okay,,/Gestión/Pólizas/Solicitudes/06-02-23 Sol0019 Pol 1299669.pdf,,,,TRUE,Impreso,Folio Antiguo P020
Sol0020,Doc0074,Propuesta,Renovación,7/2/2023,Renueva con Cambio de Corredor,,Okay,,/Gestión/Pólizas/Solicitudes/07-02-23 Sol0020 Pol 1299668.pdf,,,,TRUE,Impreso,Folio Antiguo P021
Sol0021,Doc0075,Propuesta,Renovación,7/2/2023,Renueva con Cambio de Corredor,,Okay,,/Gestión/Pólizas/Solicitudes/07-02-23 Sol0021 Pol 1299102.pdf,,,,TRUE,Impreso,Folio Antiguo P022
Sol0022,Doc0076,Propuesta,Nueva,9/2/2023,Ingresa a Convenio con continuidad de cobertura Pol 6552048 Chilena,,230209-000681,,/Gestión/Pólizas/Solicitudes/09-02-23 Sol0022 Pol 300330851.pdf,,,,TRUE,Impreso,Folio Antiguo P023
Sol0023,Doc0037,Endoso,Modificación,10/2/2023,Corrección de Comisión. Debe ser 3%. Sin movimiento de prima.,,14618191,,/Gestión/Pólizas/Solicitudes/10-02-23 Sol0023 Pol QP1006093.pdf,,,,TRUE,Impreso,Folio Antiguo E001
Sol0024,Doc0050,Endoso,Modificación,10/2/2023,"Cambiar  Asegurado Beneficiario. Cambiar comisión, debe ser 3%, Sin movimiento de prima",,14618216,,/Gestión/Pólizas/Solicitudes/10-02-23 Sol0024 Pol QP1016526.pdf,,,,TRUE,Impreso,Folio Antiguo E002
Sol0025,Doc0053,Endoso,Modificación,10/2/2023,Cambio de Domicilio de póliza,,230210-012205,,/Gestión/Pólizas/Solicitudes/10-02-23 Sol0025 Pol 100050650.pdf,,,,TRUE,Impreso,Folio Antiguo E003
Sol0026,Doc0036,Endoso,Cambio Corredor,13/2/2023,Cambio de Corredor con movimiento de prima. Se adjunta carta de asignación.,,14624317,,/Gestión/Pólizas/Solicitudes/13-02-23 Sol0026 Pol QP998011.pdf,,,,TRUE,Impreso,Folio Antiguo E004
Sol0027,Doc0083,Propuesta,Nueva,16/2/2023,Ingreso a convenio Cabrera,,230216-000168,,/Gestión/Pólizas/Solicitudes/16-02-23 Sol0027 Pol 300322417.pdf,,,,TRUE,Impreso,Folio Antiguo P024
Sol0028,Doc0084,Propuesta,Nueva,17/2/2023,"Ingreso a convenio Cabrera, con continuidad de cobertura. BCI Pol QP000919147",,230217-000884,,/Gestión/Pólizas/Solicitudes/17-02-23 Sol0028 Pol 300330202.pdf,,,,TRUE,Impreso,Folio Antiguo P025
Sol0029,Doc0125,Propuesta,Nueva,20/2/2023,Propuesta automática sistema Renta n°: 25982,,Okay,,/Gestión/Pólizas/Solicitudes/20-02-23 Sol0029 Pol 1302603.pdf,,,,TRUE,Impreso,Folio Antiguo P026
Sol0030,Doc0121,Propuesta,Renovación,23/2/2023,"Propuesta automática, emisión directa",,Okay,,/Gestión/Pólizas/Solicitudes/23-02-23 Sol0030 Pol QP1022427.pdf,,,,TRUE,Impreso,Folio Antiguo P027
Sol0031,Doc0058,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunto correo de condiciones de renovación",,15798974,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0031 Pol 1298313.pdf,,,,TRUE,Impreso,Folio Antiguo E005
Sol0032,Doc0060,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunto correo de condiciones de renovación",,15798976,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0032 Pol 1299088.pdf,,,,TRUE,Impreso,Folio Antiguo E006
Sol0033,Doc0061,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunto correo de condiciones de renovación",,15798981,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0033 Pol 1299085.pdf,,,,TRUE,Impreso,Folio Antiguo E007
Sol0034,Doc0064,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunto correo de condiciones de renovación",,15798983,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0034 Pol 1298683.pdf,,,,TRUE,Impreso,Folio Antiguo E008
Sol0035,Doc0074,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunta correo de condiciones de renovación",,"Sistema Malo
Enviado por correo",,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0035 Pol 1299668.pdf,,,,TRUE,Impreso,Folio Antiguo E009
Sol0036,Doc0063,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunta correo de condiciones de renovación
Actualizar correo del contratante",,15798985,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0036 Pol 1299083.pdf,,,,TRUE,Impreso,Folio Antiguo E010
Sol0037,Doc0073,Endoso,Modificación,27/2/2023,"Comisión incorrecta. Debería ser 16%
Se adjunta correo de condiciones de renovación
Actualizar correo del contratante",,"Sistema Malo
Enviado por correo",,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0037 Pol 1299669.pdf,,,,TRUE,Impreso,Folio Antiguo E011
Sol0038,Doc0075,Endoso,Modificación,27/2/2023,"Límite asegurado para RC incorrecto. 
Debería ser UF2500, y nó UF2000",,15798987,,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0038 Pol 1299102.pdf,,,,TRUE,Impreso,Folio Antiguo E012
Sol0039,Doc0065,Endoso,Modificación,27/2/2023,"Prima incorrecta. Debería ser Neta UF 19,55.
Se adjunta correo de condiciones de renovación",,"Sistema Malo
Enviado por correo",,/Gestión/Pólizas/Solicitudes/27-02-23 Sol0039 Pol 1299667.pdf,,,,TRUE,Impreso,Folio Antiguo E013
Sol0040,Doc0126,Propuesta,Nueva,1/3/2023,Propuesta automática sistema Renta N°: 26411,,Okay,,/Gestión/Pólizas/Solicitudes/01-03-23 Sol0040 Pol 1302802.pdf,,,,TRUE,Impreso,Folio Antiguo P028
Sol0041,Doc0117,Endoso,Cambio Corredor,1/3/2023,Cambio de Corredor con movimiento de prima. Se adjunta carta de asignación.,,14684126,,/Gestión/Pólizas/Solicitudes/01-03-23 Sol0041 Pol QP1016937.pdf,,,,TRUE,Impreso,Folio Antiguo E014
Sol0042,Doc0085,Propuesta,Nueva,8/3/2023,Ingreso a convenio,,230308-002693,,/Gestión/Pólizas/Solicitudes/08-03-23 Sol0042 Pol 300329293.pdf,,,,TRUE,Impreso,Folio Antiguo P029
Sol0043,Doc0127,Endoso,Modificación,10/3/2023,"IVA mal Calculado.
Denbería ser 5,57; no 5,59",,15808233,,/Gestión/Pólizas/Solicitudes/10-03-23 Sol0043 Pol 1302793.pdf,,,,TRUE,Impreso,Folio Antiguo E015
Sol0044,Doc0062,Endoso,Anulación,10/3/2023,Anular desde inicio. Cliente no acepto renovación,,15808232,,/Gestión/Pólizas/Solicitudes/10-03-23 Sol0044 Pol 1301967.pdf,,,,TRUE,Impreso,Folio Antiguo E016
Sol0045,Doc0126,Endoso,Modificación,10/3/2023,"Modificar plan de pago a PAC
Inversiones Santa Fernanda Ltda.
77.868.950-2
Banco Scotiabank
Cta. Cte. 971994800
Representante legal:  Roberto Espinoza Osorio, rut 10.198.056-1",,15808234,,/Gestión/Pólizas/Solicitudes/10-03-23 Sol0045 Pol 1302802.pdf,,,,TRUE,Impreso,Folio Antiguo E017
Sol0046,Doc0086,Propuesta,Nueva,15/3/2023,Ingreso a convenio,,230315-001261,,/Gestión/Pólizas/Solicitudes/15-03-23 Sol0046 Pol 300329874.pdf,,,,TRUE,Impreso,Folio Antiguo P030
Sol0047,Doc0076,Endoso,Modificación,17/3/2023,"En Base a las condiciones del convenio las coberturas deberían ser
RC LUC = 3000
Asistencia Plus
Taller de marca",,230317-001246,,/Gestión/Pólizas/Solicitudes/17-03-23 Sol0047 Pol 300330851.pdf,,,,TRUE,Impreso,Folio Antiguo E018
Sol0048,Doc0084,Endoso,Modificación,17/3/2023,"En Base a las condiciones del convenio las coberturas deberían ser
RC LUC = 3000
Comisión 16%",,230317-001250,,/Gestión/Pólizas/Solicitudes/17-03-23 Sol0048 Pol 300330202.pdf,,,,TRUE,Impreso,Folio Antiguo E019
Sol0049,Doc0085,Endoso,Modificación,17/3/2023,"En Base a las condiciones del convenio las coberturas deberían ser
RC LUC = 3000
Asistencia Plus
Taller de marca",,230317-001264,,/Gestión/Pólizas/Solicitudes/17-03-23 Sol0049 Pol 300329293.pdf,,,,TRUE,Impreso,Folio Antiguo E020
Sol0050,Doc0086,Endoso,Modificación,17/3/2023,"En Base a las condiciones del convenio las coberturas deberían ser
RC LUC = 3000
Asistencia Plus
Taller de marca",,230317-001268,,/Gestión/Pólizas/Solicitudes/17-03-23 Sol0050 Pol 300329874.pdf,,,,TRUE,Impreso,Folio Antiguo E021
Sol0051,Doc0088,Propuesta,Nueva,3/4/2023,Ingreso a convenio,,230403-001568,,/Gestión/Pólizas/Solicitudes/03-04-23 Sol0051 Pol 300335562.pdf,,,,TRUE,Impreso,Folio Antiguo P031
Sol0052,Doc0130,Propuesta,Nueva,17/4/2023,Propuesta automática sistema Renta N°:,,1314530-1,,/Gestión/Pólizas/Solicitudes/17-04-23 Sol0052 Pol 1314530.pdf,,,,TRUE,Impreso,Folio Antiguo P032
Sol0053,Doc0131,Propuesta,Renovación,27/4/2023,Renovación con cambio de corredor,,11421111,,/Gestión/Pólizas/Solicitudes/27-04-23 Sol0053 Pol 61690517.pdf,,,,TRUE,Impreso,Folio Antiguo P033
Sol0054,Doc0131,Endoso,Modificación,8/5/2023,"Modificar Correo de contacto del cliente.
Correo correcto: Logosur9@gmail.com",,Automático Sistema,,/Gestión/Pólizas/Solicitudes/08-05-23 Sol0054 Pol 61690517.pdf,,,,TRUE,Impreso,Folio Antiguo E022
Sol0055,Doc0052,Endoso,Exclusión,6/6/2023,Excluir de póliza a solicitud del cliente,,Listo,,/Gestión/Pólizas/Solicitudes/06-06-23 Sol0055 Pol 300316206.pdf,,,,TRUE,Impreso,Folio Antiguo E023
Sol0056,Doc0090,Propuesta,Nueva,7/6/2023,Ingreso a convenio Cabrera,,No Salió,,/Gestión/Pólizas/Solicitudes/07-06-23 Sol0056 Pol 300352253.pdf,,,,TRUE,Impreso,Folio Antiguo P034
Sol0057,Doc0091,Propuesta,Nueva,8/6/2023,Ingreso a convenio Cabrera,,230608-002445,,/Gestión/Pólizas/Solicitudes/08-06-23 Sol0057 Pol 300352530.pdf,,,,TRUE,Impreso,Folio Antiguo P035
