ID,Tipo Entidad,Asegurado,Gestor,Partner,Banco,Proveedor,Compañía,Carpeta
ca0fc53c,Asegurado,ca0fc53c,,,,,,
rut0000,Asegurado,rut0000,,,,,,
rut0002,Asegurado,rut0002,,,,,,
rut0004,Asegurado,rut0004,,,,,,
rut0005,Asegurado,rut0005,,,,,,
rut0006,Asegurado,rut0006,,,,,,
rut0008,Asegurado,rut0008,,,,,,
rut0009,Asegurado,rut0009,,,,,,
rut0050,Asegurado,rut0050,,,,,,
rut0010,Asegurado,rut0010,,,,,,
rut0011,Asegurado,rut0011,,,,,,
rut0012,Asegurado,rut0012,,,,,,
rut0037,Asegurado,rut0037,,,,,,
rut0013,Asegurado,rut0013,,,,,,
rut0015,Asegurado,rut0015,,,,,,
rut0016,Asegurado,rut0016,,,,,,
rut0017,Asegurado,rut0017,,,,,,
rut0188,Asegurado,rut0188,,,,,,
rut0019,Asegurado,rut0019,,,,,,
rut0022,Asegurado,rut0022,,,,,,
rut0023,Asegurado,rut0023,,,,,,
rut0024,Asegurado,rut0024,,,,,,
rut0025,Asegurado,rut0025,,,,,,
rut0026,Asegurado,rut0026,,,,,,
rut0027,Asegurado,rut0027,,,,,,
rut0028,Asegurado,rut0028,,,,,,
rut0029,Asegurado,rut0029,,,,,,
rut0030,Asegurado,rut0030,,,,,,
rut0116,Asegurado,rut0116,,,,,,
rut0032,Asegurado,rut0032,,,,,,
rut0034,Asegurado,rut0034,,,,,,
rut0035,Asegurado,rut0035,,,,,,
rut0143,Asegurado,rut0143,,,,,,
rut0036,Asegurado,rut0036,,,,,,
rut0038,Asegurado,rut0038,,,,,,
rut0040,Asegurado,rut0040,,,,,,
rut0056,Asegurado,rut0056,,,,,,
rut0041,Asegurado,rut0041,,,,,,
rut0043,Asegurado,rut0043,,,,,,
rut0044,Asegurado,rut0044,,,,,,
rut0045,Asegurado,rut0045,,,,,,
rut0047,Asegurado,rut0047,,,,,,
rut0048,Asegurado,rut0048,,,,,,
rut0051,Asegurado,rut0051,,,,,,
rut0052,Asegurado,rut0052,,,,,,
rut0055,Asegurado,rut0055,,,,,,
rut0399,Asegurado,rut0399,,,,,,
rut0059,Asegurado,rut0059,,,,,,
rut0060,Asegurado,rut0060,,,,,,
gsetrghrt,Asegurado,gsetrghrt,,,,,,
rut0061,Asegurado,rut0061,,,,,,
rut0064,Asegurado,rut0064,,,,,,
rut0068,Asegurado,rut0068,,,,,,
rut0069,Asegurado,rut0069,,,,,,
rut0070,Asegurado,rut0070,,,,,,
rut0071,Asegurado,rut0071,,,,,,
rut0073,Asegurado,rut0073,,,,,,
rut0074,Asegurado,rut0074,,,,,,
rut0076,Asegurado,rut0076,,,,,,
rut0077,Asegurado,rut0077,,,,,,
rut0072,Asegurado,rut0072,,,,,,
rut0078,Asegurado,rut0078,,,,,,
rut0080,Asegurado,rut0080,,,,,,
rut0081,Asegurado,rut0081,,,,,,
rut0083,Asegurado,rut0083,,,,,,
rut0097,Asegurado,rut0097,,,,,,
rut0099,Asegurado,rut0099,,,,,,
rut0084,Asegurado,rut0084,,,,,,
rut0166,Asegurado,rut0166,,,,,,
rut0085,Asegurado,rut0085,,,,,,
rut0165,Asegurado,rut0165,,,,,,
rut0087,Asegurado,rut0087,,,,,,
rut0088,Asegurado,rut0088,,,,,,
rut0091,Asegurado,rut0091,,,,,,
rut0092,Asegurado,rut0092,,,,,,
rut0093,Asegurado,rut0093,,,,,,
rut0094,Asegurado,rut0094,,,,,,
rut0098,Asegurado,rut0098,,,,,,
rut0101,Asegurado,rut0101,,,,,,
rut0102,Asegurado,rut0102,,,,,,
rut0104,Asegurado,rut0104,,,,,,
rut0105,Asegurado,rut0105,,,,,,
rut0107,Asegurado,rut0107,,,,,,
rut0108,Asegurado,rut0108,,,,,,
rut0096,Asegurado,rut0096,,,,,,
rut0110,Asegurado,rut0110,,,,,,
rut0112,Asegurado,rut0112,,,,,,
rut0113,Asegurado,rut0113,,,,,,
rut0114,Asegurado,rut0114,,,,,,
rut0115,Asegurado,rut0115,,,,,,
rut0117,Asegurado,rut0117,,,,,,
rut0118,Asegurado,rut0118,,,,,,
rut0173,Asegurado,rut0173,,,,,,
rut0119,Asegurado,rut0119,,,,,,
rut0120,Asegurado,rut0120,,,,,,
rut0122,Asegurado,rut0122,,,,,,
rut0123,Asegurado,rut0123,,,,,,
rut0125,Asegurado,rut0125,,,,,,
rut0129,Asegurado,rut0129,,,,,,
rut0132,Asegurado,rut0132,,,,,,
rut0133,Asegurado,rut0133,,,,,,
rut0136,Asegurado,rut0136,,,,,,
rut0137,Asegurado,rut0137,,,,,,
rut0139,Asegurado,rut0139,,,,,,
rut0128,Asegurado,rut0128,,,,,,
rut0126,Asegurado,rut0126,,,,,,
rut0121,Asegurado,rut0121,,,,,,
rut0124,Asegurado,rut0124,,,,,,
rut0106,Asegurado,rut0106,,,,,,
rut0135,Asegurado,rut0135,,,,,,
rut0130,Asegurado,rut0130,,,,,,
rut0140,Asegurado,rut0140,,,,,,
rut0141,Asegurado,rut0141,,,,,,
rut0187,Asegurado,rut0187,,,,,,
rut0144,Asegurado,rut0144,,,,,,
rut0146,Asegurado,rut0146,,,,,,
rut0148,Asegurado,rut0148,,,,,,
rut0150,Asegurado,rut0150,,,,,,
rut0151,Asegurado,rut0151,,,,,,
rut0065,Asegurado,rut0065,,,,,,
rut0152,Asegurado,rut0152,,,,,,
rut0155,Asegurado,rut0155,,,,,,
rut0156,Asegurado,rut0156,,,,,,
rut0157,Asegurado,rut0157,,,,,,
rut0158,Asegurado,rut0158,,,,,,
rut0159,Asegurado,rut0159,,,,,,
rut0181,Asegurado,rut0181,,,,,,
rut0167,Asegurado,rut0167,,,,,,
rut0168,Asegurado,rut0168,,,,,,
rut0169,Asegurado,rut0169,,,,,,
rut0171,Asegurado,rut0171,,,,,,
rut0174,Asegurado,rut0174,,,,,,
rut0176,Asegurado,rut0176,,,,,,
rut0180,Asegurado,rut0180,,,,,,
rut0184,Asegurado,rut0184,,,,,,
rut0185,Asegurado,rut0185,,,,,,
rut0186,Asegurado,rut0186,,,,,,
rut0189,Asegurado,rut0189,,,,,,
rut0190,Asegurado,rut0190,,,,,,
rut0191,Asegurado,rut0191,,,,,,
rut0192,Asegurado,rut0192,,,,,,
rut0195,Asegurado,rut0195,,,,,,
rut0138,Asegurado,rut0138,,,,,,
rut0194,Asegurado,rut0194,,,,,,
rut0014,Asegurado,rut0014,,,,,,
rut0145,Asegurado,rut0145,,,,,,
rut0196,Asegurado,rut0196,,,,,,
rut0007,Asegurado,rut0007,,,,,,
rut0057,Asegurado,rut0057,,,,,,
rut0197,Asegurado,rut0197,,,,,,
rut0198,Asegurado,rut0198,,,,,,
rut0172,Asegurado,rut0172,,,,,,
rut0193,Asegurado,rut0193,,,,,,
rut0001,Asegurado,rut0001,,,,,,
rut0003,Asegurado,rut0003,,,,,,
rut0018,Asegurado,rut0018,,,,,,
rut0020,Asegurado,rut0020,,,,,,
rut0021,Asegurado,rut0021,,,,,,
rut0031,Asegurado,rut0031,,,,,,
rut0033,Asegurado,rut0033,,,,,,
rut0039,Asegurado,rut0039,,,,,,
rut0042,Asegurado,rut0042,,,,,,
rut0046,Asegurado,rut0046,,,,,,
rut0049,Asegurado,rut0049,,,,,,
rut0053,Asegurado,rut0053,,,,,,
rut0054,Asegurado,rut0054,,,,,,
rut0058,Asegurado,rut0058,,,,,,
rut0062,Asegurado,rut0062,,,,,,
rut0063,Asegurado,rut0063,,,,,,
rut0066,Asegurado,rut0066,,,,,,
rut0067,Asegurado,rut0067,,,,,,
rut0075,Asegurado,rut0075,,,,,,
rut0079,Asegurado,rut0079,,,,,,
rut0082,Asegurado,rut0082,,,,,,
rut0086,Asegurado,rut0086,,,,,,
rut0089,Asegurado,rut0089,,,,,,
rut0090,Asegurado,rut0090,,,,,,
rut0095,Asegurado,rut0095,,,,,,
rut0100,Asegurado,rut0100,,,,,,
rut0103,Asegurado,rut0103,,,,,,
rut0109,Asegurado,rut0109,,,,,,
rut0111,Asegurado,rut0111,,,,,,
rut0127,Asegurado,rut0127,,,,,,
rut0131,Asegurado,rut0131,,,,,,
rut0134,Asegurado,rut0134,,,,,,
