ID,Cliente,Carpeta
Cli0001,ca0fc53c,
Cli0002,rut0000,
Cli0003,rut0002,
Cli0004,rut0004,
Cli0005,rut0005,
Cli0006,rut0006,
Cli0007,rut0008,
Cli0008,rut0009,
Cli0009,rut0010,
Cli0010,rut0011,
Cli0011,rut0012,
Cli0012,rut0013,
Cli0013,rut0015,
Cli0014,rut0016,
Cli0015,rut0017,
Cli0016,rut0019,
Cli0017,rut0022,
Cli0018,rut0023,
Cli0019,rut0024,
Cli0020,rut0025,
Cli0021,rut0026,
Cli0022,rut0027,
Cli0023,rut0028,
Cli0024,rut0029,
Cli0025,rut0030,
Cli0026,rut0032,
Cli0027,rut0034,
Cli0028,rut0035,
Cli0029,rut0036,
Cli0030,rut0038,
Cli0031,rut0040,
Cli0032,rut0041,
Cli0033,rut0043,
Cli0034,rut0044,
Cli0035,rut0045,
Cli0036,rut0047,
Cli0037,rut0048,
Cli0038,rut0051,
Cli0039,rut0052,
Cli0040,rut0055,
Cli0041,rut0399,
Cli0042,rut0059,
Cli0043,rut0060,
Cli0044,gsetrghrt,
Cli0045,rut0061,
Cli0046,rut0064,
Cli0047,rut0068,
Cli0048,rut0069,
Cli0049,rut0070,
Cli0050,rut0071,
Cli0051,rut0073,
Cli0052,rut0074,
Cli0053,rut0076,
Cli0054,rut0077,
Cli0055,rut0072,
Cli0056,rut0078,
Cli0057,rut0080,
Cli0058,rut0081,
Cli0059,rut0083,
Cli0060,rut0084,
Cli0061,rut0085,
Cli0062,rut0087,
Cli0063,rut0088,
Cli0064,rut0091,
Cli0065,rut0092,
Cli0067,rut0094,
Cli0068,rut0098,
Cli0069,rut0101,
Cli0070,rut0102,
Cli0071,rut0104,
Cli0072,rut0105,
Cli0073,rut0107,
Cli0074,rut0108,
Cli0075,rut0110,
Cli0076,rut0112,
Cli0077,rut0113,
Cli0078,rut0114,
Cli0079,rut0115,
Cli0080,rut0117,
Cli0081,rut0118,
Cli0082,rut0119,
Cli0083,rut0120,
Cli0084,rut0122,
Cli0085,rut0123,
Cli0086,rut0125,
Cli0087,rut0129,
Cli0088,rut0132,
Cli0089,rut0133,
Cli0090,rut0136,
Cli0091,rut0137,
Cli0092,rut0139,
Cli0093,rut0128,
Cli0094,rut0126,
Cli0095,rut0121,
Cli0096,rut0124,
Cli0097,rut0106,
Cli0098,rut0135,
Cli0099,rut0140,
Cli0100,rut0141,
Cli0101,rut0144,
Cli0102,rut0146,
Cli0103,rut0148,
Cli0104,rut0150,
Cli0105,rut0151,
Cli0106,rut0152,
Cli0107,rut0155,
Cli0108,rut0156,
Cli0109,rut0157,
Cli0110,rut0158,
Cli0111,rut0159,
Cli0112,rut0181,
Cli0113,rut0167,
Cli0114,rut0168,
Cli0115,rut0169,
Cli0116,rut0171,
Cli0117,rut0174,
Cli0118,rut0176,
Cli0119,rut0180,
Cli0120,rut0184,
Cli0121,rut0185,
Cli0122,rut0186,
Cli0123,rut0189,
Cli0124,rut0190,
Cli0125,rut0191,
Cli0126,rut0192,
Cli0127,rut0195,
Cli0128,rut0014,
Cli0129,rut0196,
Cli0131,rut0197,
Cli0132,rut0198,
a37bf75b,ee1911c5,
168e6fc0,bb191c8b,
8a0eccf1,5f91f222,
13cf8373,bf84f6ef,
15cf6bee,e2dd3ebd,
49e131c3,464df1c0,
81d519d5,78c556e1,
56106028,106a4599,
188bf0ee,1d711659,
84fdf9de,52c31de2,
b372eafb,93df6c68,
d1a0804c,ab770ebe,
ec8e61d7,ffd0ab77,
3ae0be3d,ca6d987a,
853f6b33,836c51dc,
674f9f0f,2644dba2,
,,
db499e00,383801ec,
eb866220,f1171afe,
5e3e9074,8ea1e085,
85805ffa,9bd1ff83,
a1bf05c4,6b6e06bb,
51f81b24,39a2a0e1,
a132a63a,cb5f9788,
