ID,Activa?,Seguro,Asegurado,Tipo,Uso,Vehículo,Inmueble,Otra,Vida y Salud,Comentarios
BMa0007,TRUE,Seg0014,rut0012,Inmueble,Particular,,BMa0007,,,
BMa0012,TRUE,Seg0014,rut0023,Inmueble,Particular,,BMa0012,,,
BMa0016,FALSE,Seg0017,rut0035,Inmueble,Comercial,,BMa0016,,,
BMa0021,TRUE,Seg0014,rut0074,Inmueble,Particular,,BMa0021,,,
BMa0022,TRUE,Seg0014,rut0074,Inmueble,Particular,,BMa0022,,,
BMa0023,TRUE,Seg0014,rut0074,Inmueble,Particular,,BMa0023,,,
BMa0032,TRUE,Seg0014,rut0155,Inmueble,Particular,,BMa0032,,,
BMa0040,TRUE,Seg0014,rut0110,Inmueble,Particular,,BMa0040,,,
BMa0086,TRUE,Seg0014,rut0159,Inmueble,Particular,,BMa0086,,,
BMa0087,TRUE,Seg0014,rut0166,Inmueble,Particular,,BMa0087,,,
BMa0089,TRUE,Seg0014,rut0165,Inmueble,Particular,,BMa0089,,,
BMa0112,TRUE,Seg0014,rut0140,Inmueble,Particular,,BMa0112,,,
BMa0113,TRUE,Seg0014,rut0146,Inmueble,Particular,,BMa0113,,,
BMa0117,TRUE,Seg0014,rut0070,Inmueble,Particular,,BMa0117,,,
BMa0122,TRUE,Seg0017,rut0116,Inmueble,Comercial,,BMa0122,,,
BMa0125,TRUE,Seg0017,rut0007,Inmueble,Comercial,,BMa0125,,,
BMa0128,FALSE,Seg0000,rut0196,Inmueble,Comercial,,BMa0128,,,
BMa0136,FALSE,Seg0014,rut0035,Inmueble,Particular,,BMa0136,,,
BMa0137,FALSE,Seg0014,rut0035,Inmueble,Particular,,BMa0137,,,
BMa0138,FALSE,Seg0014,rut0035,Inmueble,Particular,,BMa0138,,,
BMa0139,TRUE,Seg0000,rut0139,Inmueble,Comercial,,BMa0139,,,
BMa0143,TRUE,Seg0014,rut0157,Inmueble,Particular,,BMa0143,,,
BMa0147,TRUE,Seg0014,rut0110,Inmueble,Particular,,BMa0147,,,
BMa0149,TRUE,Seg0014,rut0152,Inmueble,Particular,,BMa0149,,,
BMa0162,FALSE,Seg0014,rut0014,Inmueble,Comercial,,BMa0162,,,
BMa0174,TRUE,Seg0017,rut0056,Inmueble,Comercial,,BMa0174,,,
BMa0177,FALSE,Seg0014,rut0038,Inmueble,Particular,,BMa0177,,,
BMa0178,TRUE,Seg0014,rut0059,Inmueble,Particular,,BMa0178,,,
BMa0187,TRUE,Seg0014,rut0159,Inmueble,Particular,,BMa0187,,,
dc8f58d9,FALSE,Seg0014,f08b235a,Inmueble,Habitacional,,dc8f58d9,,,
d9392c53,FALSE,Seg0014,ee1911c5,Inmueble,Habitacional,,d9392c53,,,
f325c22c,FALSE,Seg0000,39a2a0e1,Inmueble,Habitacional,,f325c22c,,,
bce73aa3,TRUE,Seg0014,rut0144,Inmueble,Habitacional,,bce73aa3,,,
7d83fd85,TRUE,Seg0014,rut0009,Inmueble,Particular,,7d83fd85,,,
f91ff6d4,TRUE,Seg0018,e2dd3ebd,Inmueble,Habitacional,,f91ff6d4,,,
63803278,TRUE,Seg0014,rut0113,Inmueble,Habitacional,,63803278,,,
23648178,TRUE,Seg0014,464df1c0,Inmueble,Particular,,23648178,,,
BMa0000,FALSE,Seg0019,rut0192,Otra,Particular,,,BMa0000,,
BMa0001,FALSE,Seg0019,rut0186,Otra,Particular,,,BMa0001,,
BMa0002,TRUE,Seg0013,rut0037,Otra,Comercial,,,BMa0002,,
BMa0100,TRUE,Seg0023,rut0067,Otra,Comercial,,,BMa0100,,
BMa0101,TRUE,Seg0035,rut0067,Otra,Comercial,,,BMa0101,,
BMa0110,TRUE,Seg0001,rut0057,Otra,Comercial,,,BMa0110,,
BMa0129,TRUE,Seg0001,rut0196,Otra,Comercial,,,BMa0129,,
BMa0130,TRUE,Seg0018,rut0196,Otra,Comercial,,,BMa0130,,
BMa0146,TRUE,Seg0023,rut0096,Otra,Comercial,,,BMa0146,,
BMa0151,TRUE,Seg0023,rut0149,Otra,Comercial,,,BMa0151,,
BMa0152,TRUE,Seg0003,rut0149,Otra,Comercial,,,BMa0152,,
BMa0155,TRUE,Seg0023,rut0056,Otra,Comercial,,,BMa0155,,
BMa0157,TRUE,Seg0022,rut0037,Otra,Comercial,,,BMa0157,,
BMa0165,FALSE,Seg0001,rut0173,Otra,Comercial,,,BMa0165,,
BMa0184,TRUE,Seg0032,rut0196,Otra,Comercial,,,BMa0184,,
