ID,Código Corredor,Rut,Razón Social,Corto,Cuenta Corriente,Fono Asistencia,Casa Matriz,Sucursal Asignada,Fono Matriz,Fono Sucursal,Página Web,Portal,Ejecutivo Principal
Com0001,,99147000-k,BCI,BCI,BCI 10534989,600 6000 292,,,,,https://www.bciseguros.cl/,https://oficinavirtual.bciseguros.cl/,Eje0001
Com0002,11890,99225000-3,Chubb,Chubb,BCI 10126813,,,,,,https://www.chubb.com/cl-es/,,0c5caf19
Com0003,,96654180-6,Consorcio,Consorcio,,,,,,,https://sitio.consorcio.cl/home,https://portal-corredores.consorcio.cl/web-corredores,c4303f66
Com0004,,77096952-2,FID,FID,,,,,,,https://www.fidseguros.cl/,https://portal.fidseguros.cl/Fidnet_UI/Logins.aspx?Type=2,829fad5e
Com0005,6362,99231000-6,HDI,HDI,Santander 25470818,,,,,,https://www.hdi.cl/,https://www.hdicorredores.cl/,664b8c95
Com0006,5827010,99061000-2,Liberty,Liberty,Banco Chile 16011-03,225606661,,,,,https://www.hdi.cl/,https://portal.hdiseguros.cl/,
Com0007,,76743492-8,Reale,Reale,Santander 7157365-6,"6006073253
*1515",,,,,https://www.reale.cl/,https://apps4.realechile.cl/portalCorredores,96689375
Com0008,,94510000-1,Renta,Renta,Santander 9997440-0,,,,,,https://www.rentanacional.cl/,https://sgi.rentanacional.cl/,Eje0003
Com0009,,99017000-2,Sura,Sura,,,,,,,,,
Com0010,671916,99037000-1,Zurich,Zurich,Banco Chile 21075-07,,,,,,https://www.zurich.cl/,https://portalcorredores.zurich.cl/auth/login,Eje0012
Com0011,1531000,99288000-7,Southbridge,Southbridge,,,,,,,https://southbridgeseguros.cl/,www.southbridgeseguros.cl,Eje0009
Com0012,,99588060-1,Chubb Vida,Chubb Vida,,,,,,,https://www.chubb.com/cl-es/,,
Com0013,6362,99061000-2,HDI-Liberty,HDI-Liberty,Banco Chile 16011-03,225606661,,,,,https://www.hdi.cl/,https://portal.hdiseguros.cl/,Eje0010
217c1ce1,,96656410-5,BICE,BICE,,,,,,,http://www.bicevida.cl/,,
217c1ce1ed,pendiente,96573600-k,BCI SEGUROS VIDA S.A.,BCI Vida,BCI 10534989,600 6000 292,,,,,https://www.bciseguros.cl/,https://oficinavirtual.bciseguros.cl/,5c3c14d2
