ID,Comuna,Ciudad,Región,Código Comuna 2010,Código Provincia,Código Región
Comu00001,Aisén,Aisén,Aysén del General Carlos Ibáñez del Campo,11201,112,11
Comu00002,Algarrobo,San Antonio,Valparaíso,5602,56,5
Comu00003,Alhué,Melipilla,Metropolitana de Santiago,13502,135,13
Comu00004,Alto Biobío,Bío-Bío,Biobío,8314,83,8
Comu00005,Alto Del Carmen,Huasco,Atacama,3302,33,3
Comu00006,Alto Hospicio,Iquique,Tarapacá,1107,11,1
Comu00007,Ancud,Chiloé,Los Lagos,10202,102,10
Comu00008,Andacollo,Elqui,Coquimbo,4103,41,4
Comu00009,Angol,Malleco,La Araucanía,9201,92,9
Comu00010,Antártica,Antártica Chilena,Magallanes y de la Antártica Chilena,12202,122,12
Comu00011,Antofagasta,Antofagasta,Antofagasta,2101,21,2
Comu00012,Antuco,Bío-Bío,Biobío,8302,83,8
Comu00013,Arauco,Arauco,Biobío,8202,82,8
Comu00014,Arica,Arica,Arica y Parinacota,15101,151,15
Comu00015,Buin,Maipo,Metropolitana de Santiago,13402,134,13
Comu00016,Bulnes,Ñuble,Biobío,8402,84,8
Comu00017,Cabildo,Petorca,Valparaíso,5402,54,5
Comu00018,Cabo de Hornos,Antártica Chilena,Magallanes y de la Antártica Chilena,12201,122,12
Comu00019,Cabrero,Bío-Bío,Biobío,8303,83,8
Comu00020,Calama,El Loa,Antofagasta,2201,22,2
Comu00021,Calbuco,Llanquihue,Los Lagos,10102,101,10
Comu00022,Caldera,Copiapó,Atacama,3102,31,3
Comu00023,Calera,Quillota,Valparaíso,5502,55,5
Comu00024,Calera De Tango,Maipo,Metropolitana de Santiago,13403,134,13
Comu00025,Calle Larga,Los Andes,Valparaíso,5302,53,5
Comu00026,Camarones,Arica,Arica y Parinacota,15102,151,15
Comu00027,Camiña,Tamarugal,Tarapacá,1402,14,1
Comu00028,Canela,Choapa,Coquimbo,4202,42,4
Comu00029,Cañete,Arauco,Biobío,8203,82,8
Comu00030,Carahue,Cautín,La Araucanía,9102,91,9
Comu00031,Cartagena,San Antonio,Valparaíso,5603,56,5
Comu00032,Casablanca,Valparaíso,Valparaíso,5102,51,5
Comu00033,Castro,Chiloé,Los Lagos,10201,102,10
Comu00034,Catemu,San Felipe,Valparaíso,5702,57,5
Comu00035,Cauquenes,Cauquenes,Maule,7201,72,7
Comu00036,Cerrillos,Santiago,Metropolitana de Santiago,13102,131,13
Comu00037,Cerro Navia,Santiago,Metropolitana de Santiago,13103,131,13
Comu00038,Chaitén,Palena,Los Lagos,10401,104,10
Comu00039,Chanco,Cauquenes,Maule,7202,72,7
Comu00040,Chañaral,Chañaral,Atacama,3201,32,3
Comu00041,Chépica,Colchagua,Libertador General Bernardo O'Higgins,6302,63,6
Comu00042,Chiguayante,Concepción,Biobío,8103,81,8
Comu00043,Chile Chico,General Carrera,Aysén del General Carlos Ibáñez del Campo,11401,114,11
Comu00044,Chillán,Chillan,Ñuble,8401,84,8
Comu00045,Chillán Viejo,Chillan,Ñuble,8406,84,8
Comu00046,Chimbarongo,Colchagua,Libertador General Bernardo O'Higgins,6303,63,6
Comu00047,Cholchol,Cautín,La Araucanía,9121,91,9
Comu00048,Chonchi,Chiloé,Los Lagos,10203,102,10
