ID,Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,PDF
IDPOL00001,POL320250172,7/10/2025,ZURICH SANTANDER SEGUROS DE VIDA CHILE S.A.,POLIZA DE SEGURO DE ASISTENCIA A PERSONAS EN VIAJE,,- Asistencia Vida,
IDPOL00002,CAD320250171,7/10/2025,ZURICH CHILE SEGUROS DE VIDA S.A.,INDEMNIZACIÓN POR ACTO QUIRÚRGICO DE URGENCIAS,"POL220130565
 POL220240152
 POL220250019",- Salud,
IDPOL00003,CAD120250168,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE ROTURA ACCIDENTAL DE CRISTALES,POL120250147,- Incendio,
IDPOL00004,CAD120250167,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE PÉRDIDA DE INGRESOS POR ARRIENDO,POL120250147,- Incendio,
IDPOL00005,CAD120250166,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INHABITABILIDAD DE INMUEBLES,POL120250147,- Incendio,
IDPOL00006,CAD120250165,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES POR SISMO,POL120250147,- Incendio,
IDPOL00007,CAD120250164,25/9/2025,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR VIENTO, INUNDACIÓN Y DESBORDAMIENTO DE CAUCES",POL120250147,- Incendio,
IDPOL00008,CAD120250163,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR CONSTRUCCION O DEMOLICION DE EDIFICIOS COLINDANTES,POL120250147,- Incendio,
IDPOL00009,CAD120250162,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR COMBUSTION ESPONTANEA,POL120250147,- Incendio,
IDPOL00010,CAD120250161,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR COLISIÓN DE VEHÍCULOS,POL120250147,- Incendio,
IDPOL00011,CAD120250160,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR COLISIÓN DE OBJETOS FLOTANTES,POL120250147,- Incendio,
IDPOL00012,CAD120250159,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR CAIDA Y COLISION DE AERONAVES,POL120250147,- Incendio,
IDPOL00013,CAD120250158,25/9/2025,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR AVALANCHA, ALUVION Y DESLIZAMIENTO",POL120250147,- Incendio,
IDPOL00014,CAD120250157,25/9/2025,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR MAREMOTO, TSUNAMI, MAREJADAS Y SALIDA DE MAR",POL120250147,- Incendio,
IDPOL00015,CAD120250156,25/9/2025,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES A CONSECUENCIA DIRECTA DE HUELGA, SAQUEO, DESORDEN POPULAR O ACTOS TERRORISTAS PARA ESTABLECIMIENTOS EDUCACIONALES ADQUIRIDOS CON CRÉDITOS CORFO",POL120250147,- Incendio,
IDPOL00016,CAD120250155,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES A CONSECUENCIA DE FENOMENOS DE LA NATURALEZA,POL120250147,- Incendio,
IDPOL00017,CAD120250154,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE INCENDIO A CONSECUENCIA FENOMENOS DE LA NATURALEZA EXCEPTO SISMO,POL120250147,- Incendio,
IDPOL00018,CAD120250153,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE DAÑOS MATERIALES CAUSADOS SALIDA DE MAR,POL120250147,- Incendio,
IDPOL00019,CAD120250152,25/9/2025,CHUBB SEGUROS CHILE S.A.,"COBERTURA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR ROTURAS DE CAÑERÍAS, DESAGÜES Y POR DESBORDAMIENTO DE ESTANQUES MATRICES",POL120250147,- Incendio,
IDPOL00020,CAD120250151,25/9/2025,CHUBB SEGUROS CHILE S.A.,COBERTURA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR PESO DE NIEVE O HIELO,POL120250147,- Incendio,
