ID,Plan,Descripción
plan0001,Ded S/D,
plan0002,Ded UF3,
plan0003,Ded UF4,
plan0004,Ded UF5,
plan0005,Ded UF6,
plan0006,Ded UF10,
plan0007,Ded UF15,
plan0008,Ded UF20,
plan0009,Ded UF25,
plan0010,Ded UF30,
plan0011,Ded UF35,
plan0012,Ded UF40,
plan0013,Ded UF45,
plan0014,Ded UF50,
plan0015,Ded UF100,
plan0016,Ded 10% Mín UF10,
plan0017,Ded 20% Mín UF10,
plan0018,Ded 15%,
plan0019,Ded Varios,
plan0020,Incendio,
plan0021,Incendio + Sismo,
plan0022,Incendio + Robo,
plan0023,I+S+R,
plan0024,Ded 15% Mín UF10,
