ID,Producto,Seguro,Compañía,Ramo,Tipo Comisión,Canal,Convenio,Tipo Renovación,Uso,Comisión Afecta,Comisión Exenta,PDF Cobertura
Pro0001,AF Plus,Seg0028,Com0010,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0002,AP Individual,Seg0001,Com0007,Ra0001,Anual,Web,,Manual,,,,
Pro0003,AP y PF,Seg0001,Com0001,Ra0001,Anual,Web,,Manual,,,,
Pro0004,Asiento Pasajero Full,Seg0003,Com0002,Ra0001,Anual,ANS,,Automática,,,,
Pro0005,Auto Comercial Rent-a-Car,Seg0028,Com0001,Ra0012,Anual,Directo,,Manual,Comercial,,,
Pro0006,Auto Fácil,Seg0028,Com0010,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0007,Auto Flotas,Seg0028,Com0007,Ra0012,Anual,Directo,,Manual,Particular,,,
Pro0008,Auto Full SS,Seg0028,Com0010,Ra0012,Anual,ANS,SS,Automática,Particular,,,
Pro0009,Auto Más,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,,,
Pro0010,Auto Plus,Seg0028,Com0008,Ra0012,Anual,ANS,SS,Automática,Particular,,,
Pro0011,Auto Seguro,Seg0028,Com0001,Ra0012,Anual,ANS,SS,Automática,Particular,,,
Pro0012,Auto Web,Seg0028,Com0006,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0013,Auto Web Comercial,Seg0028,Com0006,Ra0012,Anual,Web,,Manual,Comercial,,,
Pro0014,Auto Web T Marca,Seg0028,Com0006,Ra0012,Anual,Web,,Manual,Particular,,,
Pro0015,Autónomo,Seg0028,Com0004,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0016,Autopremium Comercial,Seg0028,Com0001,Ra0012,Anual,Web,,Automática,Comercial,,,
Pro0017,Autopremium Comercial Más,Seg0028,Com0001,Ra0012,Anual,Web,,Automática,Comercial,,,
Pro0018,Cabotaje,Seg0026,Com0006,Ra0011,Anual,Directo,,Manual,,,,
Pro0019,Cabotaje CO,Seg0026,Com0005,Ra0011,Anual,Web,,Manual,,,,
Pro0020,Cabotaje Plan Full,Seg0026,Com0010,Ra0011,Anual,ANS,,Manual,,,,
Pro0021,Cabotaje RMX,Seg0026,Com0011,Ra0011,Anual,Directo,,Manual,,,,
Pro0022,Classic,Seg0028,Com0009,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0023,Classic Comercial,Seg0028,Com0009,Ra0012,Anual,Web,,Automática,Comercial,,,
Pro0024,Club Pesado,Seg0028,Com0006,Ra0012,Anual,Web,,Manual,Comercial,,,
Pro0025,Cobertura Completa,Seg0028,Com0010,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0026,Cobertura Preferente,Seg0028,Com0010,Ra0012,Anual,Web,,Automática,Particular,,,
Pro0027,Comercial Full,Seg0028,Com0004,Ra0012,Anual,Web,,Manual,Comercial,,,
Pro0028,Comunidades Liberty,Seg0000,Com0006,Ra0006,Anual,Directo,,Manual,,,,
Pro0029,Equipo Móvil,Seg0011,Com0001,Ra0004,Anual,ANS,,Automática,,,,
Pro0030,Extra Hogar 2.0 I,Seg0014,Com0001,Ra0006,Anual,ANS,,Automática,,,,
Pro0031,Extra Hogar 2.0 I + S,Seg0014,Com0001,Ra0006,Anual,ANS,,Automática,,,,
Pro0032,Extramóvil Plus,Seg0028,Com0001,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,
Pro0033,Extramóvil Plus,Seg0028,Com0004,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,
Pro0034,Extramóvil Plus,Seg0028,Com0010,Ra0012,Anual,ANS,,Automática,Particular,17%,0%,
Pro0035,Full Hogar Standard 2.0,Seg0014,Com0010,Ra0006,Anual,ANS,,Automática,,,,
Pro0036,Full House I+S,Seg0014,Com0008,Ra0006,Anual,ANS,,Automática,,,,
Pro0037,Hipotecario Individual,Seg0014,Com0006,Ra0006,Anual,Web,,Manual,,,,
Pro0038,Hogar Plus I + S,Seg0014,Com0003,Ra0006,Anual,ANS,,Automática,,,,
Pro0039,Hogar Protegido I + R,Seg0014,Com0002,Ra0006,Anual,ANS,,Automática,,,,
Pro0040,Hogar Seguro I,Seg0014,Com0001,Ra0006,Anual,ANS,SS,Automática,,,,
Pro0041,Hogar Seguro I + S,Seg0014,Com0001,Ra0006,Anual,ANS,SS,Automática,,,,
Pro0042,Hogar Web,Seg0014,Com0006,Ra0006,Anual,Web,,Automática,,,,
Pro0043,Home Plus,Seg0014,Com0008,Ra0006,Anual,Web,,Automática,,,,
Pro0044,Incendio Comercial,Seg0017,Com0006,Ra0006,Anual,Directo,,Manual,Comercial,,,
Pro0045,Incendio Hogar Web,Seg0014,Com0007,Ra0006,Anual,Web,,Automática,,,,
