ID,Ramo,Código
Ra0006,Incendio,1
gseghs,Perdida de Beneficio por Incendio,2
agreg,Otros Riesgos adicionales a Incendio,3
rjsyjswrtj,Terremoto y Tsumani,4
sjrrytj6456,Perd. Beneficio por Terremoto,5
56dej5,Otros Riesgos de la Naturaleza,6
56ejj5k,Terrorismo,7
56ej5r6,Robo,8
bznmur,Cristales,9
Ra0012,Daños Físicos Veh. Motorizados,10
reib7u,Casco Marítimo,11
w7vi75,Casco Aéreo,12
wv7i76,Responsabilidad Civil Hogar y Condominios,13
azryztr,Responsabilidad Civil Profesional,14
Ra0010,"Responsabilidad Civil Industria, Infraestructura y Comercio",15
hstru,Responsabilidad Civil Veh. Motorizados,16
Ra0011,Transporte Terrestre,17
strhsrth,Transporte Marítimo,18
trsyu6,Transporte Aéreo,19
Ra0004,Equipo Contratista,20
6849682t5rhs,Todo Riesgo Construcción y Montaje,21
hsrt6851hrt65,Avería Maquinaria,22
thsjuyyoiuo968,Equipos Electrónicos,23
Ra0005,Garantía,24
ytri4uy51,Fidelidad,25
ytuty9uy8u,Extensión y Garantía,26
8y8u7yu5y,Crédito por Ventas a Plazo,27
eru23art5,Crédito a la exportación,28
r5qewr15wq,Otros Seguros de Crédito,29
Ra0013,Salud,30
Ra0001,Accidentes Personales,31
FEW695129582,SOAP,32
fwetfwreg,Cesantía,33
541651tGRE,Título,34
5473658SE,Agrícola,35
63SWHTRTH,Asistencia,36
HSTRHAZ435tg,Otros Seguros,50
