Tabla,Campo,Tipo,Formula
contabilidad contables,estado comisión base,text,"if([Tipo Documento]=""FA"",if([Tipo Movimiento]=""Venta"",if([Estado Documento]=""Ok"",[Comisión Base].[Estado Comisión],""Ok""),""No Aplica""),""No Aplica"")"
contabilidad contables,Estado Ingreso,text,"if([Estado Documento]=""Ok"",IF([Doc Ingresado?]=TRUE,""Ok"",""Pendiente""),""Ok"")"
contabilidad contables,Estado Pago,text,"if([Tipo Documento]=""FA"",if([Estado Documento]=""Ok"",IF(ISNOTBLANK([Cta Cte]),""Ok"",""Pendiente""),""Ok""),""Ok"")"
Contabilidad Liquidaciones,Estado,text,"IF(ISBLANK([Fecha Pago]),""Pendiente"",""Ok"")"
Contabilidad Liquidaciones,Gestión,text,"IF([Estado]=""Pendiente"";""Pendiente"";""Ok"")"
Contabilidad Liquidaciones,total a pagar,price,SUM([Documentos][Comisión a Pagar])
Cruce DocumentosXComisión,EsSaldo?,yes/no,"IF([Comisión Emitida].[Monto Afecto]+[Comisión Emitida].[Monto Exento]<=0,TRUE,FALSE)"
Gestión Cobranza,Hay Cuota Pendiente?,yes/no,"IN(""Pendiente"",[Cuotas][Estado Cuota])"
Gestión Cobranza,Estado Cobranza,text,"IF([Hay Cuota Pendiente?]=TRUE,""Pendiente"",""Ok"")"
Gestión Cobranza,Estado Gestión,text,"if(ISBLANK([Cuotas]),""Cargar"",IF(any([Related Comunicación Cobranzas][Envío])=""Enviado"",""Ok"",any([Related Comunicación Cobranzas][Envío])))"
Gestión Comisiones,N° Facturas,Number,"IF([Facturación]=""Separada"",2,1)"
Gestión Comisiones,Total Documentado,price,"sum(select([Facturas][Monto Factura],[Estado Factura]=""Ok""))"
Gestión Comisiones,Estado Comisión,text,"IF([Movimiento]=""Saldo"";""Ok"";IF([Cantidad Documentos]<>[N° Documentos Cargados],""Diferencia Docs"",IF(COUNT([Facturas])<[N° Facturas],""Facturar"",""Ok"")))"
Gestión Cotizaciones,Estado Vigencia,text,"IF(TOTALHOURS([Vencimiento]-TODAY())/24=<0,""Vencida"",""Vigente"")"
Gestión Cuotas,Estado Cuota,Text,"IF([Estado Plan de Pago]=""Inactivo"",  ""Ok"",  IF(ISBLANK([Vencimiento]),    ""Cargar"",    IF(ISNOTBLANK([Control Pago]),""Pagada"",      IF([Póliza].[Estado Seguro]=""Ok"",        IF(            OR(                YEAR([Vencimiento])<YEAR(TODAY());                AND(                    YEAR([Vencimiento])=YEAR(TODAY());                    ONTH([Vencimiento])<=MONTH(TODAY())                )            );            ""Pendiente"";            ""Vigente""        ),        [Estado Póliza]      )      )  )  )"
Gestión Cuotas,Estado Gestión,Text,"IF([Estado Cuota]=""Pagada"";IF([Control Pago]=""Transferencia"";IF([Cursado]=TRUE;""Ok"";""Pendiente"");""Ok"");IF([Estado Cuota]=""Vigente"";""Ok"";IF([Póliza].[Estado Póliza]=""Ok"";""Pendiente"";""Ok"")))"
Gestión Documentos,Días de Vigencia,number,Floor(totalhours([F Vigencia]-[I Vigencia])/24)
Gestión Documentos,Estado Comisión,text,"if([Estado Documento]=""Pendiente"",""Ok"",IF([Comisión?]=TRUE,IF(ISBLANK([Comisiones]),""Pendiente"",IF([Tipo Comisión]=""Anual"",If([Diferencia Comisión Válida?]=TRUE,IF([Invalidar Diferencia?]=FALSE,""Diferencia"",""Ok"");""Ok""),IF(COUNT([Comisiones])<[Contador de Meses Vigentes],IF([Comisión Total a Pagar]=[Total Comisionado],""Ok"",""Pendiente""),""Ok""))),""Sin Comisión""))"
Gestión Documentos,Diferencia Comisión Válida?,yes/no,"IF([Moneda]<>""CLP"",IF(([Comisión Total a Pagar]-[Total Comisionado])>0.01,TRUE,IF(([Total Comisionado]-[Comisión Total a Pagar])<-0.01,TRUE,FALSE)),IF(([Comisión Total a Pagar]-[Total Comisionado])>500,TRUE,IF(([Total Comisionado]-[Comisión Total a Pagar])>1000,TRUE,FALSE)))"
Gestión Documentos,Contador de Meses Vigentes,number,"(  (YEAR(TODAY()) - YEAR([I Vigencia])) * 12)+(  MONTH(TODAY()) - MONTH([I Vigencia]))-IF(  DAY(TODAY()) < DAY([I Vigencia]),  1,  0)"
Gestión Documentos,Estado Liquidación,text,"if(ISBLANK([Partner]);""No Aplica"";IF(ISBLANK([Liquidaciones][Estado Liquidación]);""Falta Liquidar"";IF(any([Liquidaciones][Estado Liquidación])=""Pendiente"";""Pendiente"";""Ok"")))"
Gestión Documentos,Estado Envío,Text,"if([Enviado?]=TRUE,""Ok"",IF(ISBLANK([Comunicación Documentos]),""Cargar Envío"",SWITCH(ANY([Comunicación Documentos][Estado Envío]),""Enviado"",""Enviado"","""",""Enviar"",""Enviar"",""Enviando"",""Pendiente"")))"
Gestión Documentos,% Comisión Partner,Percet,"IF([Tipo Registro]=""Renovación"",[Partner].[Comisión Renovaciones],[Partner].[Comisión Nuevos])"
Gestión Documentos,Comisión Partner,price,[Total Pagado Comisión]*[% Comisión Partner]
Gestión Documentos,Estado Plan de Pago,Text,"IF(IN(""Verificar Cuotas"",[Planes de Pago][Estado Plan de Pago])=TRUE,""Verficar Cuotas"",IF(IN(""Pendiente"",[Planes de Pago][Estado Plan de Pago])=TRUE,""Pendiente"",""Ok""))"
Gestión Documentos,Estado Materia,Text,"IF(ISBLANK([Materias]);""Falta"";""Ok"")"
Gestión Documentos,Estado Documento,Text,"if([Póliza].[Estado Seguro]=""Nulo"",""Ok"",IF([Estado Póliza]=""Pendiente"",""Ok"",IF(AND([Requiere Doc?]=TRUE,ISBLANK([PDF])),""Pendiente"",""Ok"")))"
Gestión Documentos,Diferencia Comisión,Decimal,"IF([Invalidar Diferencia?]=FALSE,[Comisión Total a Pagar]-[Total Comisionado],0)"
Gestión Documentos,Plan,ref,"If([Póliza].[Registro Padre].[Tipo Materia]=""Individual"",ANY([Materias][Deducible]),"""")"
Gestión Materias,Estado Cobertura,Text,"IF(or([Estado Póliza]=""Ok"",[Estado Póliza]=""Espera"",[Estado Póliza]=""Pendiente""),IF(OR([Tipo Documento]=""Póliza"",[Tipo Documento]=""Inclusión"",[Tipo Documento]=""Prórroga"",[Tipo Documento]=""Modificación"",[Tipo Documento]=""Rehabilitación""),""Activa"",""Inactiva""),""Inactiva"")"
Gestión Materias,Estado Materia,Text,"IF(OR([Estado Póliza]=""Ok"",[Estado Póliza]=""Espera"",[Estado Póliza]=""Ok""),IF([Estado Cobertura]=""Activa"",""Cubierta"",""No Cubierta""),""No Cubierta"")"
Gestión Planes de Pago,Estado Plan de Pago,Text,"if([Estado Póliza]=""Pendiente"",""Pendiente"",IF([Activo?]=TRUE,IF(COUNT([Cuotas])<>[N° Cuotas],""Verificar Cuotas"",IF(or([Estado Póliza]=""Ok"",[Estado Póliza]=""Recotizar""),""Ok"",[Estado Póliza]));""Inactivo""))"
Gestión Planes de Pago,Estado Gestión,Text,"IF([Activo?]=FALSE,""Ok"",IF([Firmado?]=FALSE,""Firmar"",IF([Enviado?]=FALSE,""Enviar"",IF(ISBLANK([Recibo Envío]),""Pendiente"",""Ok""))))"
Gestión Pólizas,Días de Vigencia,number,"IF([Estado Seguro]=""Cancelado"",FLOOR(abs(TOTALHOURS([Fecha Cancelación]-[I Vigencia])/24)),FLOOR(abs(TOTALHOURS([F Vigencia]-[I Vigencia]))/24))"
Gestión Pólizas,Estado Vigencia,Text,"IF(TOTALHOURS([I Vigencia]-today())<=0,IF(totalhours([F Vigencia]-today())>0;""Ok"";""Finalizada""),""Pendiente"")"
Gestión Pólizas,Estado Póliza,Text,"Switch([Estado Seguro],""Consumido"",""Consumida"",""Cancelado"",""Cancelada"",""Anulado"",""Anulada"",""Nulo"",""Nula"",IF([N° Póliza]=""Pendiente"",""Pendiente"",IF([Recotizar?]=True,""Recotizar"",IF([Estado Vigencia]=""Pendiente"",""Espera"",[Estado Vigencia]))))"
Gestión Pólizas,Estado Forma de Pago,Text,"if([Estado Póliza]<>""Vigente"";""Ok"",IF([Forma de Pago]=""Directa"";""Ok"";IF([Pago Activo?]=FALSE,""Activar Pago"",""Ok"")))"
Gestión Pólizas,Estado Envío,Text,"if([N° Póliza]=""Pendiente"";""Ok"";IF(IN(FALSE,[Documentos][Enviado?]),IF([Envío PDF]<>""Enviado"",IF(COUNT(SELECT([Documentos][ID],[Estado Envío]<>""Enviado""))>0,""Pendiente"",""Ok""),""Ok""),""Ok""))"
Gestión Pólizas,Estado Pago Cuotas,Text,"if(ISBLANK([Cuotas]),""Cargar Cuotas"",if(IN(""Pendiente"",[Cuotas][Estado Cuota])=true,""Pendiente"",IF(IN(""Vigente"",[Cuotas][Estado Cuota])=true,""Ok"",""Finalizada"")))"
Gestión Pólizas,Estado Renovación,Text,"IF(and([Renovar?]=yes,[Estado Seguro]=""Ok"");IF(ISBLANK([Registro Renovación]);IF((totalhours([F Vigencia]-today())/24)>45;""Ok"";""Falta"");IF(ANY([Registro Renovación][Estado Renovación])=""Pendiente"";""Pendiente"";""Ok""));""No Renovar"")"
Gestión Pólizas,Estado Solicitud,Text,"IF(ISNOTBLANK([Solicitudes]),IF(IN(""Pendiente"",[Solicitudes][Estado Solicitud])=TRUE,""Pendiente"",IF(IN(""Falta Recibo"",[Solicitudes][Estado Solicitud])=TRUE,""Falta Recibo"",IF(IN(""Falta Folio"",[Solicitudes][Estado Solicitud])=TRUE,""Falta Folio"",""Ok""))),""Ok"")"
Gestión Pólizas,Estado Carga Materias,Text,"if([Estado Póliza]=""Pendiente"",""Ok"",IF(ISBLANK([Materias]),""Pendiente"",""Ok""))"
Gestión Pólizas,Estado Carga Cuotas,Text,"if(in(""Verificar Cuotas"";[Planes de Pagos][Estado Plan de Pago])=TRUE,""Pendiente"",if(in(""Pendiente"";[Planes de Pagos][Estado Plan de Pago])=TRUE,""Pendiente"",""Ok""))"
Gestión Pólizas,Estado Comisión,Text,"if([Comisión?]=TRUE,if(ISBLANK([Comisiones]);""Pendiente"";IF(IN(""Pendiente"",[Documentos][Estado Comisión])=true,""Pendiente"",if(IN(""Diferencia"",[Documentos][Estado Comisión])=TRUE,""Diferencia"",""Ok""))),""Ok"")"
Gestión Pólizas,Estado Plan de Pago,Text,"IF(IN(""Verificar Cuotas"",[Planes de Pagos][Estado Plan de Pago])=TRUE,""Verificar Cuotas"",IF(IN(""Pendiente"",[Planes de Pagos][Estado Plan de Pago])=TRUE,""Pendiente"",""Ok""))"
Gestión Pólizas,Estado Siniestro,Text,"IF(ISNOTBLANK([Siniestros]),""Ok"",IF(IN(""Abierto"",[Siniestros][Estado Siniestro])=TRUE,""Pendiente"",""Ok""))"
Gestión Pólizas,Estado Materia,Text,"IF(IN(""Falta"",[Documentos][Estado Materia])=TRUE,""Falta"",""Ok"")"
Gestión Pólizas,Días Pol,number,FLOOR(abs(TOTALHOURS([F Vigencia]-[I Vigencia]))/24)
Gestión Pólizas,Grupo Materia,ref,"IF(COUNT([Materias])=1,any([Materias][Base Materia]),"""")"
Gestión Pólizas,N° Items Activos,number,"COUNT(SELECT([Materias][Estado Materia],[Estado Materia]=""Cubierta""))"
Gestión Pólizas,Plan,ref,"If([Registro Padre].[Tipo Materia]=""Individual"",ANY([Documentos][Plan]),"""")"
Gestión Pólizas,Estado Carga Docs,text,"IF(IN(""Pendiente"",[Documentos][Estado Documento]),""Pendiente"",""Ok"")"
Gestión Registros,Estado Gestión,text,"SWITCH([Tipo Registro],""Negocio"",IF([Estado Negocio]<>""Pendiente"",""Ok"",""Pendiente""),""Renovación"",IF([Estado Renovación]<>""Pendiente"",""Ok"",""Pendiente""),""Traspaso"",IF([Estado Traspaso]<>""Pendiente"",""Ok"",""Pendiente""),""Prospecto"",IF([Estado Prospecto]<>""Pendiente"",IF(OR([Estado Prospecto]=""Ganado"",[Estado Prospecto]=""Perdido""),""Ok"",""Pendiente""),""Pendiente""),""Ok"")"
Gestión Registros,Días Gestión,number,"IF([Estado Gestión]=""Pendiente"",TOTALHOURS(TODAY()-[Fecha Registro])/24,TOTALHOURS([Fin Gestión]-[Fecha Registro])/24)"
Gestión Solicitudes,Estado Solicitud,text,"IF(ISBLANK([PDF Folio]),""Falta Folio"",IF(ISBLANK([Recibo]),""Falta Recibo"",IF([Solicitud Finalizada?]=FALSE,""Pendiente"",""Ok"")))"
Gestión Solicitudes,Estado Gestión,text,"IF([Estado Solicitud]=""Ok"",""Ok"",""Pendiente"")"
Grupos Materias,Materia Asegurada?,yes/no,"in(""Cubierta"",SELECT(Gestión Materias[Estado Materia],[Verificador]=[_THISROW].[Verificador]))"
Grupos Materias,Estado Materia,text,"IF([Activa?]=FALSE,IF(or(IN(""Activa"",[Gestión Materias][Estado Materia])=TRUE,IN(""Espera"",[Gestión Materias][Estado Materia])=TRUE,IN(""Pendiente"",[Gestión Materias][Estado Materia])=TRUE),""Activar"",""Inactiva""),""Activa"")"
Grupos Materias,Verificador Registro,yes/no,"IN(""Pendiente"",select([MateriasXRegistros][Estado Gestión],[Registro].[Tipo Registro]=""Prospecto""))"
Grupos Materias,Verificador Seguro Vehicular,text,"If(and([Seguro].[Seguro]=""Vehículo"",[Tipo]=""Vehículo""),[Seguro].[Seguro]&"" ""&[Vehículo].[Vehículo],"""")"
