Tablero,Vista,Campos,Detalles
Registros,Tabla Filtrada,Fecha Registro,
Registros,Tabla Filtrada,Cliente,Formato código: D Brzovic
Registros,Tabla Filtrada,Seguro,
Registros,Tabla Filtrada,Contratante,Formato Nombre completo rut
Registros,Tabla Filtrada,Materia,Resumen breve
Registros,Tabla Filtrada,Días en gestión,
Registros,Detalles Registro,Tipo Registro,
Registros,Detalles Registro,Estado Gestión,
Registros,Detalles Registro,Estado Registro,
Registros,Detalles Registro,Seguro,
Registros,Detalles Registro,Cliente,Formato código: D Brzovic
Registros,Detalles Registro,Contratante,Formato Nombre completo rut
Registros,Detalles Registro,Detalle Datos Contratante,"Muestra los detalles de contacto como teléfonos, correos y domicilio"
Registros,Detalles Registro,Asegurado,Formato Nombre completo rut
Registros,Detalles Registro,Detalle Datos Asegurado,"Muestra los detalles de contacto como teléfonos, correos y domicilio"
Registros,Detalles Registro,Pagador,
Registros,Detalles Registro,cotización Aceptada,acá va la cotización aceptada
Registros,Detalles Registro,Comisión?,campo que determina si ese registro debe tener comisión o no
Registros,Detalles Registro,Moneda,
Registros,Detalles Registro,Prima Afecta,
Registros,Detalles Registro,Prima Exenta,
Registros,Detalles Registro,Tipo Inspección,
Registros,Detalles Registro,N° inspección,
Registros,Detalles Materia,Materia,"resumen breve de la materia, lo suficiento como para poder indentificarla"
Registros,Detalles Materia,Más información Materia,el resto de la información de la manteria. Todos los detalles nevecesarios para poder cotizar
Registros,Detalles Materia,Asegurado,Formato Nombre completo rut
Registros,Detalles Cotización,Estado Vigencia,
Registros,Detalles Cotización,Vencimiento,
Registros,Detalles Cotización,N° Cotización,
Registros,Detalles Cotización,Producto,
Registros,Detalles Cotización,Resumen de valores,
Registros,Detalles Cotización,Monto asegurado,
Registros,Detalles Cotización,Cuotas,
Renovaciones,Tabla Filtrada,F vigencia,
Renovaciones,Tabla Filtrada,Póliza,
Renovaciones,Tabla Filtrada,Contratante,Formato Nombre completo rut
Renovaciones,Tabla Filtrada,Materia,
Renovaciones,Tabla Filtrada,Cliente,Formato código: D Brzovic
Renovaciones,Tabla Filtrada,Comisión?,
Renovaciones,Detalles Registro,Estado Gestión,
Renovaciones,Detalles Registro,Estado Renovación,
Renovaciones,Detalles Registro,Fecha registro,
Renovaciones,Detalles Registro,Seguro,
Renovaciones,Detalles Registro,CLiente,Formato código: D Brzovic
Renovaciones,Detalles Registro,contratante,Formato Nombre completo rut
Renovaciones,Detalles Registro,Asegurado,Formato Nombre completo rut
Renovaciones,Detalles Registro,pagador,
Renovaciones,Detalles Registro,n° items activos,
Renovaciones,Detalles Registro,póliza,
Renovaciones,Detalles Registro,Cot aceptada,
Renovaciones,Detalles Registro,Producto,
Renovaciones,Detalles Registro,Moneda,
Renovaciones,Detalles Registro,Forma de PAgo,
Renovaciones,Detalles Registro,Tipo Inspeccipon,
Renovaciones,Detalles Registro,N° Inspeccipon,
Renovaciones,Detalles Registro,I Vigencia,
Renovaciones,Detalles Registro,Prima afecta actual,
Renovaciones,Detalles Registro,Prima exenta actual,
Renovaciones,Detalles Registro,Prima Neta ACtual,
Renovaciones,Detalles Registro,Prima Bruta Actual,
Renovaciones,Detalles Registro,%Comisión Afecta actual,
Renovaciones,Detalles Registro,% Comisión Exenta Actual,
Renovaciones,Detalles Registro,Comisipon afecta actual,
Renovaciones,Detalles Registro,comisión exenta actual,
Renovaciones,Detalles Registro,prima afecta nueva,
Renovaciones,Detalles Registro,prima exenta nueva,
Renovaciones,Detalles Registro,prima neta nueva,
Renovaciones,Detalles Registro,%comisión afecta nueva,
Renovaciones,Detalles Registro,%comisipon exenta nueva,
Renovaciones,Detalles Registro,comisión afecta nueva,
Renovaciones,Detalles Registro,comisión exenta nueva,
Renovaciones,Detalles Materia,Materia,
Renovaciones,Detalles Materia,Más información Materia,
Renovaciones,Detalles Materia,Asegurado,Formato Nombre completo rut
Renovaciones,Detalles Cotización,Estado Vigencia,
Renovaciones,Detalles Cotización,Vencimiento,
Renovaciones,Detalles Cotización,N° Cotización,
Renovaciones,Detalles Cotización,Producto,
Renovaciones,Detalles Cotización,Resumen de valores,
Renovaciones,Detalles Cotización,Monto asegurado,
Renovaciones,Detalles Cotización,Cuotas,
Pólizas,Tabla Filtrada,Fecha emisión,
Pólizas,Tabla Filtrada,Cliente,Formato código: D Brzovic
Pólizas,Tabla Filtrada,Póliza,
Pólizas,Tabla Filtrada,Materias,
Pólizas,Tabla Filtrada,Contratante,Formato Nombre completo rut
Pólizas,Tabla Filtrada,Asegurado,Formato Nombre completo rut
Pólizas,Tabla Filtrada,Moneda,
Pólizas,Tabla Filtrada,Prima Brita,
Pólizas,Tabla Filtrada,I Vigencia,
Pólizas,Tabla Filtrada,F vigencia,
Pólizas,Tabla Filtrada,Producto,
Pólizas,Tabla Filtrada,Comisión Total,
Pólizas,Detalles Registro,Registro padre,
Pólizas,Detalles Registro,Estados,
Pólizas,Detalles Registro,Póliza anterior,
Pólizas,Detalles Registro,Vigencia,
Pólizas,Detalles Registro,Producto,
Pólizas,Detalles Registro,Plan,
