Tabla,Campo,Referencia a,Tipo de relación
Agenda Obligaciones,Categoría,Agenda Categorías,1:1
Agenda Obligaciones,Categoría,Agenda Categorías,N:1
Agenda Obligaciones,Entidad,Grupos Entidades,N:1
Agenda Obligaciones,Compañía,Operaciones Compañías,N:1
Agenda Obligaciones,Póliza,Gestión Pólizas,N:1
Agenda Obligaciones,Partner,Operaciones Partners,N:1
Agenda Obligaciones,Gestor,Operaciones Gestores,N:1
Agenda Tareas,Categoría,Agenda Categorías,N:1
Agenda Tareas,Entidad,Grupos Entidades,N:1
Agenda Tareas,Compañía,Operaciones Compañías,N:1
Agenda Tareas,Póliza,Gestión Pólizas,N:1
Agenda Tareas,Partner,Operaciones Partners,N:1
Agenda Tareas,Gestor,Operaciones Gestores,N:1
Agenda Tareas,Obligación,Agenda Obligaciones,N:1
Comunicación Clientes,Cliente,Grupos Clientes,1:1 (Espejo)
Comunicación Cobranza,Cobranza,Gestión Cobranza,1:1 (Espejo)
Comunicación Cobranza,Cliente,Grupos Clientes,N:1
Comunicación Cobranza,Contratante,Datos RUTs,N:1
Comunicación Comisiones,Compañía,Operaciones Compañías,1:1 (Espejo)
Comunicación Documentos,Documento,Gestión Documentos,1:1 (Espejo)
Comunicación Liquidaciones,Partner,Operaciones Partners,1:1 (Espejo)
Comunicación Materias,Materias,Cruce MateriasXEnvío,N:1
Comunicación Otros,Destinatario,Grupos Entidades,N:1
Comunicación Planes De Pago,Plan Pago,Gestión Planes de Pago,1:1 (Espejo)
Comunicación Pólizas,Póliza,Gestión Pólizas,1:1 (Espejo)
Comunicación Registros,Registro,Gestión Registros,1:1 (Espejo)
Config Filtros,Usuario,Config Usuarios,N:1
Config Filtros,Destinatario,Grupos Clientes,N:1
Config Filtros,Entidad,Grupos Entidades,N:1
Config Filtros,Negocio / Renovación / Prospecto,Gestión Registros,N:1
Config Filtros,Cliente,Grupos Clientes,N:1
Config Filtros,Contratante / Asegurado,Datos RUTs,N:1
Config Filtros,Ramo,Operaciones Ramos,N:1
Config Filtros,Seguro,Operaciones Seguros,N:1
Config Filtros,Compañía,Operaciones Compañías,N:1
Config Filtros,Partner,Operaciones Partners,N:1
Config Filtros,Producto,Operaciones Productos,N:1
Config Filtros,Cotización,Gestión Cotizaciones,N:1
Config Filtros,Póliza,Gestión Pólizas,N:1
Config Filtros,Documento,Gestión Documentos,N:1
Config Filtros,Grupo Materia,Grupos Materias,N:1
Config Filtros,Materia,Gestión Materias,N:1
Config Filtros,Cuota,Gestión Cuotas,N:1
Config Filtros,Cobranza,Gestión Cobranza,N:1
Config Filtros,Solicitud,Gestión Solicitudes,N:1
Config Filtros,Siniestro,Gestión Siniestros,N:1
Config Filtros,Comisión,Gestión Comisiones,N:1
Config Filtros,Factura / Doc Contable,Contabilidad Contables,N:1
Config Filtros,Liquidación,Contabilidad Liquidaciones,N:1
Contabilidad Cartolas,Banco,Operaciones Bancos,N:1
Contabilidad Cartolas,Cta Cte,Contabilidad Cta Cte,N:1
Contabilidad Contables,Entidad,Grupos Entidades,N:1
Contabilidad Contables,Cta Cte,Contabilidad Cta Cte,N:1
Contabilidad Cta Cte,Banco,Operaciones Bancos,N:1
Contabilidad Cta Cte,Rut,Datos RUTs,N:1
Contabilidad FECU,Compañía,Operaciones Compañías,N:1
Contabilidad Liquidaciones,Partner,Operaciones Partners,N:1
Cruce CoberturasXProductos,Cobertura,Operaciones Coberturas,N:1 (Puente N:M)
