Esquema,Tabla,Campo,Tipo_de_Dato,Relacion_Target,Es_Label,Reglas_Visibilidad,Accion_Requerida
datos,inmueble,adicional,String(300),,,,
datos,inmueble,anio_construccion,Integer,,,,
datos,inmueble,calle,String(200),,,,
datos,inmueble,comentarios,Text,,,,
datos,inmueble,comuna_id,Integer,operaciones.comuna,,,
datos,inmueble,comuna_nombre,String(100),,,,
datos,inmueble,created_at,DateTime(tz),,,,
datos,inmueble,detalles_dir,String(200),,,,
datos,inmueble,distancia_agua,String(60),,,,
datos,inmueble,espacios_comunes,String(300),,,,
datos,inmueble,ficha,String(500),,,,
datos,inmueble,id,Integer,,,,
datos,inmueble,monto_contenidos,"Numeric(14,2)",,,,
datos,inmueble,monto_edificio,"Numeric(14,2)",,,,
datos,inmueble,monto_mercaderia,"Numeric(14,2)",,,,
datos,inmueble,monto_unidades,"Numeric(14,2)",,,,
datos,inmueble,mt2_construido,"Numeric(10,2)",,,,
datos,inmueble,n_pisos,Integer,,,,
datos,inmueble,n_subterraneos,Integer,,,,
datos,inmueble,n_torres,Integer,,,,
datos,inmueble,n_trabajadores,Integer,,,,
datos,inmueble,n_unidades,Integer,,,,
datos,inmueble,numero,String(20),,,,
datos,inmueble,ocupacion,String(60),,,,
datos,inmueble,propietario_id,Integer,datos.rut,,,
datos,inmueble,seguridad_incendio,String(200),,,,
datos,inmueble,seguridad_robo,String(200),,,,
datos,inmueble,tipo_construccion,String(60),,,,
datos,inmueble,tipo_inmueble,String(60),,,,
datos,inmueble,updated_at,DateTime(tz),,,,
datos,inmueble,uso,String(60),,,,
datos,inmueble,zona,String(60),,,,
datos,inmueble,comuna_rel,relationship(MANYTOONE),operaciones.comuna,,,
datos,inmueble,grupos_materia,relationship(ONETOMANY),grupos.grupo_materia,,,
datos,inmueble,otras,relationship(ONETOMANY),datos.otra,,,
datos,inmueble,propietario,relationship(MANYTOONE),datos.rut,,,
datos,otra,comentarios,Text,,,,
datos,otra,created_at,DateTime(tz),,,,
datos,otra,ficha,String(500),,,,
datos,otra,id,Integer,,,,
datos,otra,informacion_adicional,Text,,,,
datos,otra,inmueble_id,Integer,datos.inmueble,,,
datos,otra,materia_asegurada,String(300),,,,
datos,otra,tipo_otra,String(100),,,,
datos,otra,vehiculo_id,Integer,datos.vehiculo,,,
datos,otra,grupos_materia,relationship(ONETOMANY),grupos.grupo_materia,,,
datos,otra,inmueble,relationship(MANYTOONE),datos.inmueble,,,
datos,otra,vehiculo,relationship(MANYTOONE),datos.vehiculo,,,
datos,rut,activo,Boolean,,,,
datos,rut,apellido_materno,String(100),,,,
datos,rut,apellido_paterno,String(100),,,,
datos,rut,ciudad,String(100),,,,
datos,rut,comuna,String(100),,,,
datos,rut,contacto,String(200),,,,
datos,rut,corto,String(80),,,,
datos,rut,created_at,DateTime(tz),,,,
datos,rut,cuenta_corriente,String(100),,,,
datos,rut,depto,String(200),,,,
datos,rut,direccion,String(500),,,,
datos,rut,email,String(150),,,,
datos,rut,email2,String(150),,,,
datos,rut,fecha_nacimiento,Date,,,,
datos,rut,giro,String(200),,,,
datos,rut,id,Integer,,,,
datos,rut,nombre,String(100),,,,
datos,rut,nombre2,String(100),,,,
datos,rut,numero,String(50),,,,
datos,rut,observaciones,Text,,,,
datos,rut,personeria,"Enum(natural, juridica)",,,,
datos,rut,razon_social,String(200),,,,
datos,rut,region,String(100),,,,
datos,rut,relacion_cliente,String(100),,,,
datos,rut,rut,String(15),,,,
datos,rut,sexo,String(10),,,,
datos,rut,tarjeta_credito,String(50),,,,
datos,rut,telefono,String(25),,,,
datos,rut,telefono_secundario,String(25),,,,
datos,rut,tipo_cliente,String(50),,,,
datos,rut,updated_at,DateTime(tz),,,,
datos,rut,cargas,relationship(ONETOMANY),datos.vida_salud_carga,,,
datos,rut,grupos_cliente,relationship(ONETOMANY),grupos.grupo_cliente,,,
datos,rut,grupos_materia_asegurado,relationship(ONETOMANY),grupos.grupo_materia,,,
datos,rut,inmuebles,relationship(ONETOMANY),datos.inmueble,,,
datos,rut,vehiculos,relationship(ONETOMANY),datos.vehiculo,,,
datos,rut,vida_salud,relationship(ONETOMANY),datos.vida_salud,,,
datos,vehiculo,anio,Integer,,,,
datos,vehiculo,categoria,String(30),,,,
datos,vehiculo,chasis,String(60),,,,
datos,vehiculo,color,String(50),,,,
datos,vehiculo,combustible,String(30),,,,
datos,vehiculo,comentarios,Text,,,,
datos,vehiculo,created_at,DateTime(tz),,,,
datos,vehiculo,factura,String(200),,,,
datos,vehiculo,guia_despacho,String(200),,,,
datos,vehiculo,id,Integer,,,,
datos,vehiculo,marca,String(80),,,,
