Tabla,Campo,Referencia a,Tipo de relación
agenda.obligacion,categoria_id,agenda.categoria,N:1 (FK)
agenda.obligacion,entidad_rut_id,datos.rut,N:1 (FK)
agenda.tarea,categoria_id,agenda.categoria,N:1 (FK)
agenda.tarea,entidad_rut_id,datos.rut,N:1 (FK)
agenda.tarea,obligacion_id,agenda.obligacion,N:1 (FK)
audiencia.hito_fidelizacion,rut_id,datos.rut,N:1 (FK)
audiencia.lead,rut_id,datos.rut,N:1 (FK)
comunicacion.com_cliente,grupo_cliente_id,grupos.grupo_cliente,N:1 (FK)
comunicacion.com_cobranza,cobranza_id,gestion.cobranza,N:1 (FK)
comunicacion.com_comision,comision_id,gestion.comision,N:1 (FK)
comunicacion.com_documento,documento_id,gestion.documento,N:1 (FK)
comunicacion.com_liquidacion,partner_id,operaciones.partner,N:1 (FK)
comunicacion.com_otros,destinatario_id,grupos.grupo_entidad,N:1 (FK)
comunicacion.com_plan_pago,plan_pago_id,gestion.plan_pago,N:1 (FK)
comunicacion.com_poliza,poliza_id,gestion.poliza,N:1 (FK)
comunicacion.com_registro,registro_id,gestion.registro,N:1 (FK)
contabilidad.cartola,banco_id,operaciones.banco,N:1 (FK)
contabilidad.contable,entidad_rut_id,datos.rut,N:1 (FK)
contabilidad.contable,cta_cte_id,contabilidad.cta_cte,N:1 (FK)
contabilidad.cta_cte,banco_id,operaciones.banco,N:1 (FK)
contabilidad.cta_cte,rut_id,datos.rut,N:1 (FK)
contabilidad.cta_cte,cartola_id,contabilidad.cartola,N:1 (FK)
contabilidad.fecu,compania_id,operaciones.compania,N:1 (FK)
contabilidad.liquidacion,partner_id,operaciones.partner,N:1 (FK)
contabilidad.pago_cliente,rut_id,datos.rut,N:1 (FK)
cruce_tablas.coberturas_x_productos,producto_id,operaciones.producto,N:M (Bridge table)
cruce_tablas.coberturas_x_productos,cobertura_id,operaciones.cobertura,N:M (Bridge table)
cruce_tablas.cuotas_x_cobranza,cobranza_id,gestion.cobranza,N:M (Bridge table)
cruce_tablas.cuotas_x_cobranza,cuota_id,gestion.cuota,N:M (Bridge table)
cruce_tablas.cuotas_x_cobranza,grupo_cliente_id,grupos.grupo_cliente,N:M (Bridge table)
cruce_tablas.documentos_x_comision,comision_id,gestion.comision,N:M (Bridge table)
cruce_tablas.documentos_x_comision,documento_id,gestion.documento,N:M (Bridge table)
cruce_tablas.documentos_x_liquidacion,liquidacion_id,contabilidad.liquidacion,N:M (Bridge table)
cruce_tablas.documentos_x_liquidacion,documento_id,gestion.documento,N:M (Bridge table)
cruce_tablas.facturas_x_comision,comision_id,gestion.comision,N:M (Bridge table)
cruce_tablas.facturas_x_comision,contable_id,contabilidad.contable,N:M (Bridge table)
cruce_tablas.items_x_envio_cliente,com_cliente_id,comunicacion.com_cliente,N:M (Bridge table)
