Tabla_AppSheet_Origen,Campo_AppSheet_Origen,Tabla_PostgreSQL_Destino,Campo_PostgreSQL_Destino,Tipo_de_Dato_o_Relacion,Explicacion_Arquitectonica
Agenda Categorías,ID,agenda.categoria,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Categorías,Categoría,agenda.categoria,categoria,VARCHAR(150),
Agenda Obligaciones,ID,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Categoria,agenda.obligacion,categoria_id,FK → agenda.categoria,FK resuelta vía maps[...] (appsheet_id → id)
Agenda Obligaciones,Entidad,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Compañía,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Póliza,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Partner,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Gestor,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,Nombre,agenda.obligacion,nombre,VARCHAR(200),
Agenda Obligaciones,Descripcion,agenda.obligacion,descripcion,TEXT,
Agenda Obligaciones,Frecuencia,agenda.obligacion,frecuencia,VARCHAR(7),
Agenda Obligaciones,Intervalo,agenda.obligacion,intervalo,INTEGER,
Agenda Obligaciones,DiaDelMes,agenda.obligacion,dia_del_mes,INTEGER,
Agenda Obligaciones,MesDelAño,agenda.obligacion,mes_del_anio,INTEGER,
Agenda Obligaciones,DiaSemana,agenda.obligacion,dia_semana,VARCHAR(15),
Agenda Obligaciones,FechaInicio,agenda.obligacion,fecha_inicio,DATE,
Agenda Obligaciones,FechaFin,agenda.obligacion,fecha_fin,DATE,
Agenda Obligaciones,Activa,agenda.obligacion,activa,BOOLEAN,
Agenda Obligaciones,Prioridad,agenda.obligacion,prioridad,VARCHAR(5),
Agenda Obligaciones,DiasAnticipacionAviso,agenda.obligacion,dias_anticipacion,INTEGER,
Agenda Obligaciones,UltimaGeneracion,agenda.obligacion,ultima_generacion,DATE,
Agenda Obligaciones,FechaCreacion,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Agenda Obligaciones,FechaActualizacion,agenda.obligacion,(ninguno),—,DROPPED — sin destino en el schema nuevo
Comunicación Clientes,ID,comunicacion.com_cliente,appsheet_id,VARCHAR(50),Tabla espejo 1:1
Comunicación Clientes,Fecha,comunicacion.com_cliente,fecha,DATE,Tabla espejo 1:1
Comunicación Clientes,Estado,comunicacion.com_cliente,estado,VARCHAR(50),Tabla espejo 1:1
Comunicación Clientes,Cliente,comunicacion.com_cliente,grupo_cliente_id,FK → grupos.grupo_cliente,Tabla espejo 1:1 · FK resuelta vía maps[...] (appsheet_id → id)
Comunicación Clientes,Correo Cliente,comunicacion.com_cliente,correo_cliente,VARCHAR(150),Tabla espejo 1:1
Comunicación Clientes,CC Envío,comunicacion.com_cliente,cc_envio,VARCHAR(300),Tabla espejo 1:1
Comunicación Clientes,CC Correos,comunicacion.com_cliente,cc_correos,VARCHAR(300),Tabla espejo 1:1
Comunicación Clientes,Tipo de Envío,comunicacion.com_cliente,tipo_envio,VARCHAR(60),Tabla espejo 1:1
Comunicación Clientes,Asunto,comunicacion.com_cliente,asunto,VARCHAR(300),Tabla espejo 1:1
Comunicación Clientes,Cuerpo Inicial,comunicacion.com_cliente,cuerpo_inicial,TEXT,Tabla espejo 1:1
